gene	26Dimethylpyrazine	MBO	Vanillin	BMIMCl	CoumaroylAmide	FerulicAcid	EMIMCl	SodiumAcetate	Furfural	Benomyl	CV	MMS-A	SinapicAcid	Mycobutanil	QUADRIS1	Acetamide	4OHBenzoicAcid	NAO	CinnamicAcid	GVL	AzelaicAcid	CoumaricAcid	24Dimethylimidazole	AcetoSyringone	Isobutanol	BenzoicAcid	VanillicAcid	CaffeicAcid	SyringicAcid	QUADRIS2	LevulinicAcid	SodiumButyrate	45Methylimidazole	Syringaldehyde	4OHAcetophenone	DMSO	2Methylimidazole	SodiumGlyoxylate	Acetovanillone	4OHBenzaldehyde	5HMF	EtOH	MMS-BC	FeruloylAmide	22Dipyridyl	Methylglyoxal
YAL004W	0.649959456407446	-0.802685010927588	0.0	0.0	0.0	0.0	-0.773955399238048	0.0	0.0	0.0	0.7776442554771701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49681513254424103	0.0	-0.504281067969838	0.0	0.0	-0.957754586493769	0.0	0.0	0.0	0.0	0.6460056576745269	0.0	0.0	0.0	0.0	0.8447567862566391	0.0	0.0	0.0	0.0	-0.517671293233149	0.0	0.0	1.15042989179564	0.0	0.0	0.0	0.0
YAL005C	0.717080482408537	-0.8953354892582379	0.0	0.0	0.0	0.0	-0.79655494021752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.427237319789382	0.0	0.0	0.0	0.0	0.0	-0.9140867638114459	-0.602497463386052	0.0	0.45155934671422293	0.0	1.03147836272606	0.0	0.0	0.0	0.0	0.9403002723855179	0.0	0.0	0.0	0.0	-0.581577843579694	0.0	0.0	1.4039381549943901	0.0	0.0	0.0	0.0
YAL008W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.8693010969989441	0.0	0.0	0.0	0.0	0.0	0.0	-0.376799526637739	0.0	0.0	0.0	0.0	0.0	-0.47378171739021396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.388212059786758	0.0	0.0	0.0	0.0
YAL010C	-2.1259911764923602	-4.26611692281704	0.0	0.0	0.0	1.75358886948304	0.0	0.0	0.0	0.0	-3.79654824373411	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.97071146121385	0.0	0.0	0.0	0.0	-5.17813174635692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAL011W	0.0	0.0	0.0	0.0	-1.89873646659361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-4.717953745293269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.42099103526001	-2.50174687413837	0.0	0.0	-5.89366817667332	0.0	0.0	0.0	0.0	-6.941189235738679	0.0	0.0
YAL013W	-0.8512601689652951	-1.04661423607744	0.0	0.0	0.0	0.0	0.7532026254695551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62661940142219	-1.40131903759743	0.0	-0.8919836158277091	0.0	0.0	0.0	-1.3215652596004	0.0	-1.78643189344955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YAL014C	0.45961930825422204	0.0	0.0	0.0	0.0	0.0	-0.635982998855575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.426040805653399	0.0	0.0	-0.631645595278998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.509469748064855	0.0	0.0	0.0	0.0	-0.628366329476727	0.0	0.0	0.7795899818153241	0.0	0.0	0.0	0.0
YAL015C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.532024603562932	0.0	0.0	0.0	0.0	0.0	0.0	-0.5588078158360589	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46332525158603294	0.0	0.0	0.0	0.0
YAL017W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.648696580547546	0.5262999094583489	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6714478587187989	0.0	0.0	0.0	0.0
YAL018C	0.0	-0.38519046899756104	0.0	0.0	0.0	0.0	-0.45103347995820997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.53660548488599	-0.384275249337586	0.0	0.0	0.0	0.385311345688906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.476047893015365	0.0	0.0	0.0	0.0
