ID	Inhibitor.1	Inhibitor.2	Pearson.cor.coef	p.value	Bonf_adj_p.value	class_comparison	sign	all_same.	observed	possible	obs_poss
1	Alcohol - Cationic toxin/IL	Alcohol	Cationic toxin/IL	-0.3538887	3.09e-09	5.26e-07	Interclass	TRUE	same	1	8	1/8
2	Alcohol - Phenolic acid	Phenolic acid	Alcohol	0.3370796	2.08e-08	3.53e-06	Interclass	FALSE	same	2	20	2/20
3	Alcohol - Phenolic acid	Phenolic acid	Alcohol	0.3726732	1.6e-08	2.72e-06	Interclass	FALSE	same	2	20	2/20
4	Alcohol - Phenolic aldehyde	Phenolic aldehyde	Alcohol	0.3392566	2.22e-09	3.78e-07	Interclass	FALSE	same	3	6	3/6
5	Alcohol - Phenolic aldehyde	Phenolic aldehyde	Alcohol	0.2813984	2.22e-06	0.000377	Interclass	FALSE	same	3	6	3/6
6	Alcohol - Phenolic aldehyde	Phenolic aldehyde	Alcohol	0.2822765	2.95e-07	5.02e-05	Interclass	FALSE	same	3	6	3/6
7	Alcohol - Pyrazine	Alcohol	Pyrazine	0.5965441	3.04e-21	5.17e-19	Interclass	FALSE	same	1	2	1/2
8	Alcohol - Solvent	Alcohol	Solvent	0.4127904	1.25e-10	2.13e-08	Interclass	FALSE	same	2	6	2/6
9	Alcohol - Solvent	Solvent	Alcohol	0.5471543	3.2e-20	5.44e-18	Interclass	FALSE	same	2	6	2/6
10	Alcohol - Terpene	Terpene	Alcohol	0.4217628	6.91e-15	1.17e-12	Interclass	FALSE	same	2	2	2/2
11	Alcohol - Terpene	Terpene	Alcohol	0.757824	5.19e-49	8.82e-47	Interclass	FALSE	same	2	2	2/2
12	Aldehyde - Azole	Aldehyde	Azole	-0.2649477	8.05e-07	0.000137	Interclass	TRUE	same	1	6	1/6
13	Aldehyde - Salt	Salt	Aldehyde	0.5525087	8.08e-17	1.37e-14	Interclass	FALSE	same	1	2	1/2
14	Azole - Cationic toxin/IL	Cationic toxin/IL	Azole	0.4087539	3.04e-11	5.17e-09	Interclass	FALSE	same	2	12	2/12
15	Azole - Cationic toxin/IL	Cationic toxin/IL	Azole	0.4978632	1.51e-13	2.57e-11	Interclass	FALSE	same	2	12	2/12
16	Azole - Iron chelator	Azole	Iron chelator	0.5720556	8.01e-20	1.36e-17	Interclass	FALSE	same	1	3	1/3
17	Azole - Phenolic acid	Phenolic acid	Azole	0.4924341	9.4e-13	1.6e-10	Interclass	FALSE	same	5	30	5/30
18	Azole - Phenolic acid	Phenolic acid	Azole	0.5881681	4.45e-16	7.56e-14	Interclass	FALSE	same	5	30	5/30
19	Azole - Phenolic acid	Phenolic acid	Azole	0.4493776	5.65e-15	9.61e-13	Interclass	FALSE	same	5	30	5/30
20	Azole - Phenolic acid	Phenolic acid	Azole	0.6355439	3.37e-27	5.74e-25	Interclass	FALSE	same	5	30	5/30
21	Azole - Phenolic acid	Phenolic acid	Azole	0.7293895	6.23e-45	1.06e-42	Interclass	FALSE	same	5	30	5/30
22	Cationic toxin/IL - Iron chelator	Cationic toxin/IL	Iron chelator	0.8114728	5.16e-49	8.77e-47	Interclass	FALSE	mixed	3	4	3/4
23	Cationic toxin/IL - Iron chelator	Cationic toxin/IL	Iron chelator	-0.4907778	5.53e-19	9.4e-17	Interclass	TRUE	mixed	3	4	3/4
24	Cationic toxin/IL - Iron chelator	Cationic toxin/IL	Iron chelator	0.7142109	7.32e-42	1.24e-39	Interclass	FALSE	mixed	3	4	3/4
25	Cationic toxin/IL - Phenolic acid	Cationic toxin/IL	Phenolic acid	-0.4886933	1.25e-15	2.12e-13	Interclass	TRUE	mixed	13	40	13/40
26	Cationic toxin/IL - Phenolic acid	Phenolic acid	Cationic toxin/IL	-0.5791225	1.46e-20	2.48e-18	Interclass	TRUE	mixed	13	40	13/40
27	Cationic toxin/IL - Phenolic acid	Cationic toxin/IL	Phenolic acid	-0.4918694	8.81e-16	1.5e-13	Interclass	TRUE	mixed	13	40	13/40
28	Cationic toxin/IL - Phenolic acid	Phenolic acid	Cationic toxin/IL	-0.4838843	1.51e-16	2.56e-14	Interclass	TRUE	mixed	13	40	13/40
29	Cationic toxin/IL - Phenolic acid	Phenolic acid	Cationic toxin/IL	-0.4750235	1.61e-11	2.74e-09	Interclass	TRUE	mixed	13	40	13/40
30	Cationic toxin/IL - Phenolic acid	Phenolic acid	Cationic toxin/IL	0.4497794	6.73e-16	1.14e-13	Interclass	FALSE	mixed	13	40	13/40
