Inhibitor	Significant_up_deletions	Significant_down_deletions
1	24Dimethylimidazole	YLL025W	NA
2	24Dimethylimidazole	YJL101C	NA
3	24Dimethylimidazole	YDR294C	NA
4	24Dimethylimidazole	YJL024C	NA
5	24Dimethylimidazole	YOL112W	NA
6	24Dimethylimidazole	YBL078C	NA
7	24Dimethylimidazole	YGR157W	NA
8	24Dimethylimidazole	YOR289W	NA
9	24Dimethylimidazole	YOL083W	NA
10	24Dimethylimidazole	YMR226C	NA
11	24Dimethylimidazole	YOL085C	NA
12	24Dimethylimidazole	YOL128C	NA
13	24Dimethylimidazole	YNL098C	NA
14	24Dimethylimidazole	YGL197W	NA
15	24Dimethylimidazole	YER046W	NA
16	24Dimethylimidazole	YNL140C	NA
17	24Dimethylimidazole	YMR015C	NA
18	24Dimethylimidazole	YEL001C	NA
19	24Dimethylimidazole	YOR284W	NA
20	24Dimethylimidazole	YIL103W	NA
21	24Dimethylimidazole	YNR019W	NA
22	24Dimethylimidazole	YMR178W	NA
23	24Dimethylimidazole	YDR452W	NA
24	24Dimethylimidazole	YBL056W	NA
25	24Dimethylimidazole	YNL274C	NA
26	24Dimethylimidazole	YJR003C	NA
27	24Dimethylimidazole	YOR288C	NA
28	24Dimethylimidazole	YLR023C	NA
29	24Dimethylimidazole	YOR012W	NA
30	24Dimethylimidazole	YKL139W	NA
31	24Dimethylimidazole	YLR315W	NA
32	24Dimethylimidazole	YBR084W	NA
33	24Dimethylimidazole	YDR503C	NA
34	24Dimethylimidazole	YPL183C	NA
35	24Dimethylimidazole	YFL056C	NA
36	24Dimethylimidazole	YLR313C	NA
37	24Dimethylimidazole	YLR381W	NA
38	24Dimethylimidazole	YER042W	NA
39	24Dimethylimidazole	YOR342C	NA
40	24Dimethylimidazole	YOL116W	NA
41	24Dimethylimidazole	YPR141C	NA
42	24Dimethylimidazole	YGR263C	NA
43	24Dimethylimidazole	YMR198W	NA
44	24Dimethylimidazole	YDR239C	NA
45	24Dimethylimidazole	YOR177C	NA
46	24Dimethylimidazole	YBR148W	NA
47	24Dimethylimidazole	YPL053C	NA
48	24Dimethylimidazole	YOR071C	NA
49	24Dimethylimidazole	YPL127C	NA
50	24Dimethylimidazole	YCR088W	NA
51	24Dimethylimidazole	YKL176C	NA
52	24Dimethylimidazole	YMR157C	NA
53	24Dimethylimidazole	YJL079C	NA
54	24Dimethylimidazole	YIL096C	NA
55	24Dimethylimidazole	YBR209W	NA
56	24Dimethylimidazole	YAL045C	NA
57	24Dimethylimidazole	YOR267C	NA
58	24Dimethylimidazole	YHR115C	NA
59	24Dimethylimidazole	YML005W	NA
60	24Dimethylimidazole	YBR045C	NA
61	24Dimethylimidazole	YJR096W	NA
62	24Dimethylimidazole	YMR153C-A	NA
63	24Dimethylimidazole	YGR224W	NA
64	24Dimethylimidazole	YER028C	NA
65	24Dimethylimidazole	YNL153C	NA
66	24Dimethylimidazole	YGL079W	NA
67	24Dimethylimidazole	YER078C	NA
68	24Dimethylimidazole	YPL009C	NA
69	24Dimethylimidazole	YKL105C	NA
70	24Dimethylimidazole	YDL236W	NA
71	24Dimethylimidazole	YKR053C	NA
72	24Dimethylimidazole	YER115C	NA
73	24Dimethylimidazole	YGR239C	NA
74	24Dimethylimidazole	YGL126W	NA
75	24Dimethylimidazole	YMR120C	NA
76	24Dimethylimidazole	YGR129W	NA
77	24Dimethylimidazole	YGR071C	NA
78	24Dimethylimidazole	YKL017C	NA
79	24Dimethylimidazole	YBR032W	NA
80	24Dimethylimidazole	YDR134C	NA
81	24Dimethylimidazole	YDL156W	NA
82	24Dimethylimidazole	YER118C	NA
83	24Dimethylimidazole	YJR060W	NA
84	24Dimethylimidazole	YMR060C	NA
85	24Dimethylimidazole	YNL013C	NA
86	24Dimethylimidazole	YJL124C	NA
87	24Dimethylimidazole	YHR094C	NA
88	24Dimethylimidazole	YJL043W	NA
89	24Dimethylimidazole	YDL133C-A	NA
90	24Dimethylimidazole	YLR341W	NA
91	24Dimethylimidazole	YPL158C	NA
92	24Dimethylimidazole	YML026C	NA
93	24Dimethylimidazole	YLR267W	NA
94	24Dimethylimidazole	YFR032C	NA
95	24Dimethylimidazole	YMR187C	NA
96	24Dimethylimidazole	YMR225C	NA
