Inhibitor	Significant_up_deletions	Significant_down_deletions
1	45Methylimidazole	YLL025W	NA
2	45Methylimidazole	YKR097W	NA
3	45Methylimidazole	YOR121C	NA
4	45Methylimidazole	YMR272C	NA
5	45Methylimidazole	YNL223W	NA
6	45Methylimidazole	YGR149W	NA
7	45Methylimidazole	YLR262C	NA
8	45Methylimidazole	YNL278W	NA
9	45Methylimidazole	YBR130C	NA
10	45Methylimidazole	YBR056W	NA
11	45Methylimidazole	YIL028W	NA
12	45Methylimidazole	YLR187W	NA
13	45Methylimidazole	YMR031W-A	NA
14	45Methylimidazole	YJR053W	NA
15	45Methylimidazole	YML106W	NA
16	45Methylimidazole	YLR094C	NA
17	45Methylimidazole	YMR303C	NA
18	45Methylimidazole	YPR172W	NA
19	45Methylimidazole	YDR055W	NA
20	45Methylimidazole	YDR285W	NA
21	45Methylimidazole	YOL160W	NA
22	45Methylimidazole	YDL019C	NA
23	45Methylimidazole	YJL149W	NA
24	45Methylimidazole	YNL196C	NA
25	45Methylimidazole	YLR057W	NA
26	45Methylimidazole	YLR281C	NA
27	45Methylimidazole	YBR293W	NA
28	45Methylimidazole	YHL028W	NA
29	45Methylimidazole	YNL041C	NA
30	45Methylimidazole	YPL214C	NA
31	45Methylimidazole	YER095W	NA
32	45Methylimidazole	YIR039C	NA
33	45Methylimidazole	YIR038C	NA
34	45Methylimidazole	YJR050W	NA
35	45Methylimidazole	YBR283C	NA
36	45Methylimidazole	YCL027W	NA
37	45Methylimidazole	YDL191W	NA
38	45Methylimidazole	YDR245W	NA
39	45Methylimidazole	YDR309C	NA
40	45Methylimidazole	YHL035C	NA
41	45Methylimidazole	YBR118W	NA
42	45Methylimidazole	YOL122C	NA
43	45Methylimidazole	YDR093W	NA
44	45Methylimidazole	YMR316C-B	NA
45	45Methylimidazole	YGL002W	NA
46	45Methylimidazole	YBL029W	NA
47	45Methylimidazole	YLR413W	NA
48	45Methylimidazole	YMR068W	NA
49	45Methylimidazole	YLR037C	NA
50	45Methylimidazole	YGL258W	NA
51	45Methylimidazole	YPL121C	NA
52	45Methylimidazole	YPL038W	NA
53	45Methylimidazole	YHR082C	NA
54	45Methylimidazole	YNL058C	NA
55	45Methylimidazole	YDR100W	NA
56	45Methylimidazole	YMR310C	NA
57	45Methylimidazole	YOR033C	NA
58	45Methylimidazole	YFR046C	NA
59	45Methylimidazole	YGR069W	NA
60	45Methylimidazole	YNL194C	NA
