Inhibitor	Significant_up_deletions	Significant_down_deletions
1	4OHAcetophenone	YMR143W	NA
2	4OHAcetophenone	YER092W	NA
3	4OHAcetophenone	YGL105W	NA
4	4OHAcetophenone	YBR115C	NA
5	4OHAcetophenone	YBR266C	NA
6	4OHAcetophenone	YHR018C	NA
7	4OHAcetophenone	YKL124W	NA
8	4OHAcetophenone	YPR123C	NA
9	4OHAcetophenone	YGR184C	NA
10	4OHAcetophenone	YMR039C	NA
11	4OHAcetophenone	YEL063C	NA
12	4OHAcetophenone	YGL005C	NA
13	4OHAcetophenone	YIL148W	NA
14	4OHAcetophenone	YBR082C	NA
15	4OHAcetophenone	YPR173C	NA
16	4OHAcetophenone	YIL053W	NA
17	4OHAcetophenone	YOL050C	NA
18	4OHAcetophenone	YFL013C	NA
19	4OHAcetophenone	YBR005W	NA
20	4OHAcetophenone	YBR291C	NA
21	4OHAcetophenone	YGR089W	NA
22	4OHAcetophenone	YNL003C	NA
23	4OHAcetophenone	YHR206W	NA
24	4OHAcetophenone	YNR041C	NA
25	4OHAcetophenone	YGL017W	NA
26	4OHAcetophenone	YJR118C	NA
27	4OHAcetophenone	YIR033W	NA
28	4OHAcetophenone	YER129W	NA
29	4OHAcetophenone	YMR216C	NA
30	4OHAcetophenone	YDL013W	NA
31	4OHAcetophenone	YJL071W	NA
32	4OHAcetophenone	YFL013W-A	NA
33	4OHAcetophenone	YOR304W	NA
34	4OHAcetophenone	YIL020C	NA
35	4OHAcetophenone	YDR393W	NA
36	4OHAcetophenone	YKL057C	NA
37	4OHAcetophenone	YNL297C	NA
38	4OHAcetophenone	YGR022C	NA
39	4OHAcetophenone	YDL142C	NA
40	4OHAcetophenone	YOR182C	NA
41	4OHAcetophenone	YGL147C	NA
42	4OHAcetophenone	YDR007W	NA
43	4OHAcetophenone	YDR006C	NA
44	4OHAcetophenone	YPL095C	NA
45	4OHAcetophenone	YCR028C-A	NA
46	4OHAcetophenone	YDR289C	NA
47	4OHAcetophenone	YGL010W	NA
48	4OHAcetophenone	YNL235C	NA
49	4OHAcetophenone	YJL120W	NA
50	4OHAcetophenone	YHR073W	NA
51	4OHAcetophenone	YOL095C	NA
52	4OHAcetophenone	YDR126W	NA
53	4OHAcetophenone	YER108C	NA
54	4OHAcetophenone	YDL002C	NA
55	4OHAcetophenone	YOR233W	NA
56	4OHAcetophenone	YBR200W	NA
57	4OHAcetophenone	YMR294W	NA
58	4OHAcetophenone	YDR121W	NA
59	4OHAcetophenone	YKL081W	NA
60	4OHAcetophenone	YIL094C	NA
61	4OHAcetophenone	YDR019C	NA
62	4OHAcetophenone	YKR035W-A	NA
63	4OHAcetophenone	YNL081C	NA
64	4OHAcetophenone	YBL017C	NA
65	4OHAcetophenone	YER011W	NA
66	4OHAcetophenone	YPL179W	NA
67	4OHAcetophenone	YML103C	NA
68	4OHAcetophenone	YDR276C	NA
69	4OHAcetophenone	YMR016C	NA
70	4OHAcetophenone	YCL063W	NA
71	4OHAcetophenone	YKR048C	NA
72	4OHAcetophenone	YNR006W	NA
73	4OHAcetophenone	YKR057W	NA
74	4OHAcetophenone	YKR051W	NA
75	4OHAcetophenone	YGR208W	NA
76	4OHAcetophenone	YMR289W	NA
77	4OHAcetophenone	YML001W	NA
78	4OHAcetophenone	YGL009C	NA
79	4OHAcetophenone	YBL051C	NA
80	4OHAcetophenone	YPL178W	NA
81	4OHAcetophenone	YKL079W	NA
82	4OHAcetophenone	YDL001W	NA
83	4OHAcetophenone	YPL037C	NA
84	4OHAcetophenone	YOR221C	NA
85	4OHAcetophenone	YML013C-A	NA
86	4OHAcetophenone	YBR162C	NA
87	4OHAcetophenone	YOR085W	NA
88	4OHAcetophenone	YER151C	NA
89	4OHAcetophenone	YHR021C	NA
90	4OHAcetophenone	YBR009C	NA
91	4OHAcetophenone	YGR032W	NA
92	4OHAcetophenone	YOL071W	NA
93	4OHAcetophenone	YMR070W	NA
94	4OHAcetophenone	YGR170W	NA
95	4OHAcetophenone	YGL154C	NA
96	4OHAcetophenone	YIL098C	NA
97	4OHAcetophenone	YBL081W	NA
98	4OHAcetophenone	YIL054W	NA
99	4OHAcetophenone	YGL136C	NA
100	4OHAcetophenone	YJL046W	NA
101	4OHAcetophenone	YNL229C	NA
102	4OHAcetophenone	YOR001W	NA
103	4OHAcetophenone	YNL070W	NA
104	4OHAcetophenone	YGL149W	NA
105	4OHAcetophenone	YPL157W	NA
106	4OHAcetophenone	YER056C	NA
107	4OHAcetophenone	YNL140C	NA
108	4OHAcetophenone	YGR101W	NA
109	4OHAcetophenone	YIL059C	NA
110	4OHAcetophenone	YDR174W	NA
111	4OHAcetophenone	YDR477W	NA
112	4OHAcetophenone	YKL053C-A	NA
113	4OHAcetophenone	YIR005W	NA
114	4OHAcetophenone	YGL167C	NA
115	4OHAcetophenone	YHR081W	NA
116	4OHAcetophenone	YMR307W	NA
117	4OHAcetophenone	YGR227W	NA
118	4OHAcetophenone	YBL083C	NA
119	4OHAcetophenone	YKR040C	NA
120	4OHAcetophenone	YGL195W	NA
121	4OHAcetophenone	YKL050C	NA
