Inhibitor	Significant_up_deletions	Significant_down_deletions
1	4OHBenzaldehyde	YMR143W	NA
2	4OHBenzaldehyde	YJL120W	NA
3	4OHBenzaldehyde	YGL105W	NA
4	4OHBenzaldehyde	YDR121W	NA
5	4OHBenzaldehyde	YER092W	NA
6	4OHBenzaldehyde	YPR123C	NA
7	4OHBenzaldehyde	YMR307W	NA
8	4OHBenzaldehyde	YBR115C	NA
9	4OHBenzaldehyde	YIR033W	NA
10	4OHBenzaldehyde	YGR184C	NA
11	4OHBenzaldehyde	YBR200W	NA
12	4OHBenzaldehyde	YHR018C	NA
13	4OHBenzaldehyde	YKR051W	NA
14	4OHBenzaldehyde	YML001W	NA
15	4OHBenzaldehyde	YHR181W	NA
16	4OHBenzaldehyde	YBR266C	NA
17	4OHBenzaldehyde	YIL053W	NA
18	4OHBenzaldehyde	YMR039C	NA
19	4OHBenzaldehyde	YEL063C	NA
20	4OHBenzaldehyde	YPL095C	NA
21	4OHBenzaldehyde	YJL071W	NA
22	4OHBenzaldehyde	YLL045C	NA
23	4OHBenzaldehyde	YGR089W	NA
24	4OHBenzaldehyde	YGL005C	NA
25	4OHBenzaldehyde	YFL013C	NA
26	4OHBenzaldehyde	YGR088W	NA
27	4OHBenzaldehyde	YER011W	NA
28	4OHBenzaldehyde	YKL124W	NA
29	4OHBenzaldehyde	YER048C	NA
30	4OHBenzaldehyde	YCR081W	NA
31	4OHBenzaldehyde	YDL013W	NA
32	4OHBenzaldehyde	YHR097C	NA
33	4OHBenzaldehyde	YDR425W	NA
34	4OHBenzaldehyde	YIL076W	NA
35	4OHBenzaldehyde	YEL033W	NA
36	4OHBenzaldehyde	YIL054W	NA
37	4OHBenzaldehyde	YBR005W	NA
38	4OHBenzaldehyde	YML103C	NA
39	4OHBenzaldehyde	YER177W	NA
40	4OHBenzaldehyde	YBR174C	NA
41	4OHBenzaldehyde	YBL089W	NA
42	4OHBenzaldehyde	YNL226W	NA
43	4OHBenzaldehyde	YGL027C	NA
44	4OHBenzaldehyde	YNL235C	NA
45	4OHBenzaldehyde	YGL149W	NA
46	4OHBenzaldehyde	YPL195W	NA
47	4OHBenzaldehyde	YKR089C	NA
48	4OHBenzaldehyde	YNL297C	NA
49	4OHBenzaldehyde	YDR006C	NA
50	4OHBenzaldehyde	YGR032W	NA
51	4OHBenzaldehyde	YOR038C	NA
52	4OHBenzaldehyde	YOR322C	NA
53	4OHBenzaldehyde	YGL010W	NA
54	4OHBenzaldehyde	YHR073W	NA
55	4OHBenzaldehyde	YKL050C	NA
56	4OHBenzaldehyde	YDR019C	NA
57	4OHBenzaldehyde	YDR074W	NA
58	4OHBenzaldehyde	YOR135C	NA
59	4OHBenzaldehyde	YBR248C	NA
60	4OHBenzaldehyde	YNR041C	NA
61	4OHBenzaldehyde	YNR030W	NA
62	4OHBenzaldehyde	YDR245W	NA
63	4OHBenzaldehyde	YOR233W	NA
64	4OHBenzaldehyde	YPL037C	NA
65	4OHBenzaldehyde	YDR393W	NA
66	4OHBenzaldehyde	YOR081C	NA
67	4OHBenzaldehyde	YOL001W	NA
68	4OHBenzaldehyde	YBR082C	NA
69	4OHBenzaldehyde	YFL013W-A	NA
70	4OHBenzaldehyde	YBL017C	NA
71	4OHBenzaldehyde	YGL136C	NA
72	4OHBenzaldehyde	YMR186W	NA
73	4OHBenzaldehyde	YBR001C	NA
74	4OHBenzaldehyde	YMR129W	NA
75	4OHBenzaldehyde	YDR383C	NA
76	4OHBenzaldehyde	YMR070W	NA
77	4OHBenzaldehyde	YER056C	NA
78	4OHBenzaldehyde	YOL050C	NA
79	4OHBenzaldehyde	YDL082W	NA
80	4OHBenzaldehyde	YML128C	NA
81	4OHBenzaldehyde	YOL064C	NA
82	4OHBenzaldehyde	YMR138W	NA
83	4OHBenzaldehyde	YJR140C	NA
84	4OHBenzaldehyde	YCR020C-A	NA
85	4OHBenzaldehyde	YHR082C	NA
86	4OHBenzaldehyde	YDL002C	NA
87	4OHBenzaldehyde	YNL242W	NA
88	4OHBenzaldehyde	YJR118C	NA
89	4OHBenzaldehyde	YPL062W	NA
90	4OHBenzaldehyde	YGR256W	NA
91	4OHBenzaldehyde	YHR180W	NA
92	4OHBenzaldehyde	YNL296W	NA
93	4OHBenzaldehyde	YBR162C	NA
94	4OHBenzaldehyde	YDR120C	NA
95	4OHBenzaldehyde	YBR210W	NA
96	4OHBenzaldehyde	YDR414C	NA
97	4OHBenzaldehyde	YDR459C	NA
98	4OHBenzaldehyde	YGR022C	NA
99	4OHBenzaldehyde	YLR061W	NA
