Inhibitor	Significant_up_deletions	Significant_down_deletions
1	AcetoSyringone	YGL136C	NA
2	AcetoSyringone	YDR126W	NA
3	AcetoSyringone	YGR089W	NA
4	AcetoSyringone	YPL095C	NA
5	AcetoSyringone	YLR239C	NA
6	AcetoSyringone	YGL007W	NA
7	AcetoSyringone	YKL124W	NA
8	AcetoSyringone	YER108C	NA
9	AcetoSyringone	YGL105W	NA
10	AcetoSyringone	YIL020C	NA
11	AcetoSyringone	YGR023W	NA
12	AcetoSyringone	YDR006C	NA
13	AcetoSyringone	YMR143W	NA
14	AcetoSyringone	YEL063C	NA
15	AcetoSyringone	YBR115C	NA
16	AcetoSyringone	YDL077C	NA
17	AcetoSyringone	YNR041C	NA
18	AcetoSyringone	YBL003C	NA
19	AcetoSyringone	YBL009W	NA
20	AcetoSyringone	YBR005W	NA
21	AcetoSyringone	YER092W	NA
22	AcetoSyringone	YOR163W	NA
23	AcetoSyringone	YMR039C	NA
24	AcetoSyringone	YHR018C	NA
25	AcetoSyringone	YGR101W	NA
26	AcetoSyringone	YNL215W	NA
27	AcetoSyringone	YGR032W	NA
28	AcetoSyringone	YDR393W	NA
29	AcetoSyringone	YOR309C	NA
30	AcetoSyringone	YGL027C	NA
31	AcetoSyringone	YDL013W	NA
32	AcetoSyringone	YIL094C	NA
33	AcetoSyringone	YDR011W	NA
34	AcetoSyringone	YBR001C	NA
35	AcetoSyringone	YGL005C	NA
36	AcetoSyringone	YDR007W	NA
37	AcetoSyringone	YBR009C	NA
38	AcetoSyringone	YJL071W	NA
39	AcetoSyringone	YDL012C	NA
40	AcetoSyringone	YIL148W	NA
41	AcetoSyringone	YGL004C	NA
42	AcetoSyringone	YDL002C	NA
43	AcetoSyringone	YPR191W	NA
44	AcetoSyringone	YNL003C	NA
45	AcetoSyringone	YCR028C-A	NA
46	AcetoSyringone	YKL081W	NA
47	AcetoSyringone	YHR021C	NA
48	AcetoSyringone	YNL081C	NA
49	AcetoSyringone	YBR266C	NA
50	AcetoSyringone	YGR184C	NA
51	AcetoSyringone	YGR170W	NA
52	AcetoSyringone	YDR276C	NA
53	AcetoSyringone	YDL001W	NA
54	AcetoSyringone	YDL006W	NA
55	AcetoSyringone	YOR221C	NA
56	AcetoSyringone	YBR030W	NA
57	AcetoSyringone	YGL009C	NA
58	AcetoSyringone	YEL065W	NA
59	AcetoSyringone	YKL057C	NA
60	AcetoSyringone	YDL136W	NA
61	AcetoSyringone	YDL078C	NA
62	AcetoSyringone	YNL299W	NA
63	AcetoSyringone	YPL178W	NA
64	AcetoSyringone	YGL017W	NA
65	AcetoSyringone	YKL048C	NA
66	AcetoSyringone	YJL204C	NA
67	AcetoSyringone	YGR208W	NA
68	AcetoSyringone	YOR327C	NA
69	AcetoSyringone	YBR200W	NA
70	AcetoSyringone	YOL095C	NA
71	AcetoSyringone	YPR173C	NA
72	AcetoSyringone	YDR019C	NA
73	AcetoSyringone	YBR204C	NA
74	AcetoSyringone	YOR182C	NA
75	AcetoSyringone	YOR243C	NA
76	AcetoSyringone	YJL130C	NA
77	AcetoSyringone	YNL273W	NA
78	AcetoSyringone	YLR420W	NA
79	AcetoSyringone	YBR018C	NA
80	AcetoSyringone	YGL010W	NA
81	AcetoSyringone	YLR238W	NA
82	AcetoSyringone	YBL005W	NA
83	AcetoSyringone	YDR026C	NA
84	AcetoSyringone	YDR289C	NA
85	AcetoSyringone	YDR004W	NA
86	AcetoSyringone	YBR082C	NA
87	AcetoSyringone	YML121W	NA
88	AcetoSyringone	YGR022C	NA
89	AcetoSyringone	YML001W	NA
90	AcetoSyringone	YDL081C	NA
91	AcetoSyringone	YPL066W	NA
92	AcetoSyringone	YBR291C	NA
93	AcetoSyringone	YDR174W	NA
94	AcetoSyringone	YER120W	NA
95	AcetoSyringone	YOR125C	NA
96	AcetoSyringone	YOR363C	NA
97	AcetoSyringone	YMR294W	NA
98	AcetoSyringone	YER129W	NA
99	AcetoSyringone	YKR048C	NA
100	AcetoSyringone	YKL023W	NA
101	AcetoSyringone	YJL046W	NA
102	AcetoSyringone	YOR304W	NA
103	AcetoSyringone	YBR119W	NA
104	AcetoSyringone	YOR167C	NA
105	AcetoSyringone	YPR123C	NA
106	AcetoSyringone	YOL050C	NA
107	AcetoSyringone	YGR019W	NA
108	AcetoSyringone	YEL015W	NA
109	AcetoSyringone	YOR003W	NA
110	AcetoSyringone	YMR201C	NA
111	AcetoSyringone	YPL212C	NA
112	AcetoSyringone	YML066C	NA
113	AcetoSyringone	YMR216C	NA
114	AcetoSyringone	YGR015C	NA
115	AcetoSyringone	YGR227W	NA
116	AcetoSyringone	YMR116C	NA
117	AcetoSyringone	YGL154C	NA
118	AcetoSyringone	YBR248C	NA
119	AcetoSyringone	YJL141C	NA
120	AcetoSyringone	YPR151C	NA
121	AcetoSyringone	YPL179W	NA
122	AcetoSyringone	YOR293W	NA
123	AcetoSyringone	YGL177W	NA
124	AcetoSyringone	YJL120W	NA
125	AcetoSyringone	YNL167C	NA
