Inhibitor	Significant_up_deletions	Significant_down_deletions
1	BMIMCl	YHL031C	NA
2	BMIMCl	YAL023C	NA
3	BMIMCl	YGL105W	NA
4	BMIMCl	YCR034W	NA
5	BMIMCl	YLR371W	NA
6	BMIMCl	YIL076W	NA
7	BMIMCl	YEL053C	NA
8	BMIMCl	YNL166C	NA
9	BMIMCl	YMR143W	NA
10	BMIMCl	YJL004C	NA
11	BMIMCl	YEL063C	NA
12	BMIMCl	YDR049W	NA
13	BMIMCl	YGR184C	NA
14	BMIMCl	YML121W	NA
15	BMIMCl	YOR067C	NA
16	BMIMCl	YDR121W	NA
17	BMIMCl	YPR123C	NA
18	BMIMCl	YKL074C	NA
19	BMIMCl	YDR455C	NA
20	BMIMCl	YOL124C	NA
21	BMIMCl	YJL154C	NA
22	BMIMCl	YJL141C	NA
23	BMIMCl	YMR003W	NA
24	BMIMCl	YIL135C	NA
25	BMIMCl	YGR224W	NA
26	BMIMCl	YBR164C	NA
27	BMIMCl	YHR057C	NA
28	BMIMCl	YGR208W	NA
29	BMIMCl	YOR309C	NA
30	BMIMCl	YOL129W	NA
31	BMIMCl	YJL101C	NA
32	BMIMCl	YML048W	NA
33	BMIMCl	YNL322C	NA
34	BMIMCl	YPL189W	NA
35	BMIMCl	YLR182W	NA
36	BMIMCl	YLL025W	NA
37	BMIMCl	YPL120W	NA
38	BMIMCl	YNL296W	NA
39	BMIMCl	YNL226W	NA
40	BMIMCl	YDR431W	NA
41	BMIMCl	YIL055C	NA
42	BMIMCl	YDR033W	NA
43	BMIMCl	YKL079W	NA
44	BMIMCl	YOR171C	NA
45	BMIMCl	YMR216C	NA
46	BMIMCl	YOR091W	NA
47	BMIMCl	YHR103W	NA
48	BMIMCl	YOR068C	NA
49	BMIMCl	YMR269W	NA
50	BMIMCl	YLR266C	NA
51	BMIMCl	YBR200W	NA
52	BMIMCl	YOR002W	NA
53	BMIMCl	YGR088W	NA
54	BMIMCl	YBR250W	NA
55	BMIMCl	YIL136W	NA
56	BMIMCl	YPR179C	NA
57	BMIMCl	YOL158C	NA
58	BMIMCl	YKR088C	NA
59	BMIMCl	YDR503C	NA
60	BMIMCl	YFR021W	NA
61	BMIMCl	YOL083W	NA
62	BMIMCl	YOR304W	NA
63	BMIMCl	YML071C	NA
64	BMIMCl	YCR088W	NA
65	BMIMCl	YHR108W	NA
66	BMIMCl	YEL013W	NA
67	BMIMCl	YNL098C	NA
68	BMIMCl	YBL027W	NA
69	BMIMCl	YPL195W	NA
70	BMIMCl	YJL044C	NA
71	BMIMCl	YHR081W	NA
72	BMIMCl	YNL242W	NA
73	BMIMCl	YNR007C	NA
74	BMIMCl	YGR276C	NA
75	BMIMCl	YBR207W	NA
76	BMIMCl	YNL229C	NA
77	BMIMCl	YDR123C	NA
78	BMIMCl	YOR069W	NA
79	BMIMCl	YLR309C	NA
80	BMIMCl	YDR452W	NA
81	BMIMCl	YCR036W	NA
82	BMIMCl	YLR315W	NA
83	BMIMCl	YPL192C	NA
84	BMIMCl	YNL274C	NA
85	BMIMCl	YBL079W	NA
86	BMIMCl	YKL100C	NA
87	BMIMCl	YBR095C	NA
88	BMIMCl	YNL199C	NA
89	BMIMCl	YOR061W	NA
90	BMIMCl	YIL120W	NA
91	BMIMCl	YLL045C	NA
92	BMIMCl	YKR019C	NA
93	BMIMCl	YGL027C	NA
94	BMIMCl	YBR229C	NA
95	BMIMCl	YJL079C	NA
96	BMIMCl	YLR341W	NA
97	BMIMCl	YCL010C	NA
98	BMIMCl	YLR360W	NA
99	BMIMCl	YKL187C	NA
100	BMIMCl	YCR059C	NA
101	BMIMCl	YJL177W	NA
102	BMIMCl	YPL105C	NA
103	BMIMCl	YOR071C	NA
104	BMIMCl	YDR156W	NA
105	BMIMCl	YMR187C	NA
106	BMIMCl	YJL120W	NA
107	BMIMCl	YDR241W	NA
108	BMIMCl	YGR200C	NA
109	BMIMCl	YMR307W	NA
110	BMIMCl	YDR320C	NA
111	BMIMCl	YER108C	NA
112	BMIMCl	YJR118C	NA
113	BMIMCl	YGR192C	NA
114	BMIMCl	YGL126W	NA
115	BMIMCl	YBR289W	NA
116	BMIMCl	YBL054W	NA
117	BMIMCl	YOR039W	NA
118	BMIMCl	YHR106W	NA
119	BMIMCl	YGR004W	NA
120	BMIMCl	YDL154W	NA
121	BMIMCl	YOL029C	NA
122	BMIMCl	YHR079C-B	NA
123	BMIMCl	YNL326C	NA
124	BMIMCl	YGL007W	NA
125	BMIMCl	YOR382W	NA
126	BMIMCl	YPL053C	NA
127	BMIMCl	YMR132C	NA
128	BMIMCl	YML104C	NA
129	BMIMCl	YFR032C	NA
130	BMIMCl	YIL096C	NA
131	BMIMCl	YGR089W	NA
132	BMIMCl	YER005W	NA
133	BMIMCl	YER120W	NA
134	BMIMCl	YLL048C	NA
135	BMIMCl	YMR278W	NA
136	BMIMCl	YAL026C	NA
137	BMIMCl	YOR144C	NA
138	BMIMCl	YBR126C	NA
139	BMIMCl	YKL061W	NA
140	BMIMCl	YML129C	NA
141	BMIMCl	YOR327C	NA
142	BMIMCl	YHR095W	NA
143	BMIMCl	YBR287W	NA
144	BMIMCl	YPL051W	NA
145	BMIMCl	YKL001C	NA
146	BMIMCl	YKL124W	NA
147	BMIMCl	YOR365C	NA
148	BMIMCl	YDR475C	NA
149	BMIMCl	YER091C	NA
150	BMIMCl	YKL057C	NA
151	BMIMCl	YDR108W	NA
152	BMIMCl	YOL106W	NA
153	BMIMCl	YDR185C	NA
154	BMIMCl	YGR205W	NA
155	BMIMCl	YDR072C	NA
156	BMIMCl	YOR049C	NA
157	BMIMCl	YBR292C	NA
158	BMIMCl	YML124C	NA
159	BMIMCl	YDR126W	NA
