Inhibitor	Significant_up_deletions	Significant_down_deletions
1	BenzoicAcid	YDR156W	NA
2	BenzoicAcid	YMR289W	NA
3	BenzoicAcid	YJR087W	NA
4	BenzoicAcid	YJR014W	NA
5	BenzoicAcid	YNL147W	NA
6	BenzoicAcid	YPR115W	NA
7	BenzoicAcid	YGR040W	NA
8	BenzoicAcid	YOR189W	NA
9	BenzoicAcid	YGL085W	NA
10	BenzoicAcid	YHR151C	NA
11	BenzoicAcid	YOR111W	NA
12	BenzoicAcid	YMR138W	NA
13	BenzoicAcid	YER084W	NA
14	BenzoicAcid	YDR352W	NA
15	BenzoicAcid	YHR080C	NA
16	BenzoicAcid	YMR100W	NA
17	BenzoicAcid	YDR058C	NA
18	BenzoicAcid	YHR014W	NA
19	BenzoicAcid	YDR202C	NA
20	BenzoicAcid	YMR025W	NA
21	BenzoicAcid	YLR154C	NA
22	BenzoicAcid	YJR150C	NA
23	BenzoicAcid	YKL096W-A	NA
24	BenzoicAcid	YOR367W	NA
25	BenzoicAcid	YOR153W	NA
26	BenzoicAcid	YHR156C	NA
27	BenzoicAcid	YBR010W	NA
28	BenzoicAcid	YHR140W	NA
29	BenzoicAcid	YKL032C	NA
30	BenzoicAcid	YGL164C	NA
31	BenzoicAcid	YPL162C	NA
32	BenzoicAcid	YKL139W	NA
33	BenzoicAcid	YMR137C	NA
34	BenzoicAcid	YDR174W	NA
35	BenzoicAcid	YGR078C	NA
36	BenzoicAcid	YBR048W	NA
37	BenzoicAcid	YML068W	NA
38	BenzoicAcid	YBR275C	NA
39	BenzoicAcid	YMR099C	NA
40	BenzoicAcid	YBR263W	NA
41	BenzoicAcid	YER139C	NA
42	BenzoicAcid	YLR134W	NA
43	BenzoicAcid	YNL300W	NA
44	BenzoicAcid	YKR097W	NA
45	BenzoicAcid	YNL141W	NA
46	BenzoicAcid	YER175C	NA
47	BenzoicAcid	YGR097W	NA
48	BenzoicAcid	YOL075C	NA
49	BenzoicAcid	YDL083C	NA
50	BenzoicAcid	YEL037C	NA
51	BenzoicAcid	YHR207C	NA
52	BenzoicAcid	YOR005C	NA
53	BenzoicAcid	YJR116W	NA
54	BenzoicAcid	YER090W	NA
55	BenzoicAcid	YGL023C	NA
56	BenzoicAcid	YBR104W	NA
57	BenzoicAcid	YGL039W	NA
58	BenzoicAcid	YKL033W-A	NA
59	BenzoicAcid	YDR441C	NA
60	BenzoicAcid	YCR086W	NA
61	BenzoicAcid	YOR245C	NA
62	BenzoicAcid	YHR032W	NA
63	BenzoicAcid	YNL120C	NA
64	BenzoicAcid	YNL278W	NA
65	BenzoicAcid	YOR234C	NA
66	BenzoicAcid	YNR058W	NA
67	BenzoicAcid	YBR164C	NA
68	BenzoicAcid	YLR217W	NA
69	BenzoicAcid	YML016C	NA
70	BenzoicAcid	YLR404W	NA
71	BenzoicAcid	YIL101C	NA
72	BenzoicAcid	YGR085C	NA
73	BenzoicAcid	YJL042W	NA
74	BenzoicAcid	YGR182C	NA
75	BenzoicAcid	YDR244W	NA
76	BenzoicAcid	YDR378C	NA
77	BenzoicAcid	YOR101W	NA
78	BenzoicAcid	YLR360W	NA
79	BenzoicAcid	YDR383C	NA
80	BenzoicAcid	YNL041C	NA
81	BenzoicAcid	YLR392C	NA
82	BenzoicAcid	YDR146C	NA
83	BenzoicAcid	YEL011W	NA
84	BenzoicAcid	YNL194C	NA
85	BenzoicAcid	YLR110C	NA
86	BenzoicAcid	YBR258C	NA
87	BenzoicAcid	YBR090C	NA
88	BenzoicAcid	YBR071W	NA
89	BenzoicAcid	YIL059C	NA
90	BenzoicAcid	YLR448W	NA
91	BenzoicAcid	YGL159W	NA
92	BenzoicAcid	YDR120C	NA
93	BenzoicAcid	YOL045W	NA
94	BenzoicAcid	YLR216C	NA
95	BenzoicAcid	YGR001C	NA
96	BenzoicAcid	YKR041W	NA
97	BenzoicAcid	YOR094W	NA
98	BenzoicAcid	YER155C	NA
99	BenzoicAcid	YBR210W	NA
