Inhibitor	Significant_up_deletions	Significant_down_deletions
1	DMSO	YAR028W	NA
2	DMSO	YCL064C	NA
3	DMSO	YNL120C	NA
4	DMSO	YGR208W	NA
5	DMSO	YOL061W	NA
6	DMSO	YMR143W	NA
7	DMSO	YDR007W	NA
8	DMSO	YIL148W	NA
9	DMSO	YIL008W	NA
10	DMSO	YMR264W	NA
11	DMSO	YBR266C	NA
12	DMSO	YDR019C	NA
13	DMSO	YKL057C	NA
14	DMSO	YLR425W	NA
15	DMSO	YJL071W	NA
16	DMSO	YDL142C	NA
17	DMSO	YER129W	NA
18	DMSO	YKL079W	NA
19	DMSO	YOR327C	NA
20	DMSO	YIL094C	NA
21	DMSO	YCR059C	NA
22	DMSO	YPL245W	NA
23	DMSO	YHR087W	NA
24	DMSO	YPL066W	NA
25	DMSO	YDL013W	NA
26	DMSO	YML066C	NA
27	DMSO	YGL211W	NA
28	DMSO	YOR182C	NA
29	DMSO	YMR022W	NA
30	DMSO	YCL029C	NA
31	DMSO	YNL167C	NA
32	DMSO	YNL119W	NA
33	DMSO	YBR115C	NA
34	DMSO	YKR048C	NA
35	DMSO	YKL048C	NA
36	DMSO	YCR071C	NA
37	DMSO	YGL105W	NA
38	DMSO	YPR151C	NA
39	DMSO	YOR171C	NA
40	DMSO	YLR021W	NA
41	DMSO	YDR326C	NA
42	DMSO	YCL069W	NA
43	DMSO	YMR312W	NA
44	DMSO	YEL063C	NA
45	DMSO	YNL297C	NA
46	DMSO	YGR019W	NA
47	DMSO	YGR015C	NA
48	DMSO	YGR022C	NA
49	DMSO	YGL005C	NA
50	DMSO	YPL125W	NA
51	DMSO	YOR382W	NA
52	DMSO	YJR087W	NA
53	DMSO	YOL041C	NA
54	DMSO	YKL081W	NA
55	DMSO	YJR118C	NA
56	DMSO	YDL136W	NA
57	DMSO	YHR134W	NA
58	DMSO	YNL003C	NA
59	DMSO	YFL025C	NA
60	DMSO	YGL017W	NA
61	DMSO	YDR006C	NA
62	DMSO	YML001W	NA
63	DMSO	YBR018C	NA
64	DMSO	YGR200C	NA
65	DMSO	YBL072C	NA
66	DMSO	YKL023W	NA
67	DMSO	YGR148C	NA
68	DMSO	YMR021C	NA
69	DMSO	YBR005W	NA
70	DMSO	YDR022C	NA
71	DMSO	YDL006W	NA
72	DMSO	YKL040C	NA
73	DMSO	YLR435W	NA
74	DMSO	YBR095C	NA
75	DMSO	YLR374C	NA
76	DMSO	YJL119C	NA
77	DMSO	YKL110C	NA
78	DMSO	YGL027C	NA
79	DMSO	YGR263C	NA
80	DMSO	YOR002W	NA
81	DMSO	YMR054W	NA
82	DMSO	YLL047W	NA
83	DMSO	YBL051C	NA
84	DMSO	YPL172C	NA
85	DMSO	YKL149C	NA
86	DMSO	YOR058C	NA
87	DMSO	YDL002C	NA
88	DMSO	YPL144W	NA
89	DMSO	YPL101W	NA
90	DMSO	YDL119C	NA
91	DMSO	YKL156W	NA
92	DMSO	YGL154C	NA
93	DMSO	YBR030W	NA
94	DMSO	YPR173C	NA
95	DMSO	YGR101W	NA
96	DMSO	YDR004W	NA
97	DMSO	YDL083C	NA
98	DMSO	YKR035W-A	NA
99	DMSO	YDL218W	NA
100	DMSO	YJR054W	NA
101	DMSO	YCR028C-A	NA
102	DMSO	YHR108W	NA
103	DMSO	YGL015C	NA
104	DMSO	YHR018C	NA
105	DMSO	YNL081C	NA
106	DMSO	YAL023C	NA
107	DMSO	YPR191W	NA
108	DMSO	YKR024C	NA
109	DMSO	YDR276C	NA
110	DMSO	YGR089W	NA
111	DMSO	YGL147C	NA
112	DMSO	YOL095C	NA
113	DMSO	YER092W	NA
114	DMSO	YJR117W	NA
115	DMSO	YNL077W	NA
116	DMSO	YGR032W	NA
117	DMSO	YGL194C	NA
118	DMSO	YJR059W	NA
119	DMSO	YKR099W	NA
120	DMSO	YMR230W	NA
121	DMSO	YBR083W	NA
122	DMSO	YML063W	NA
123	DMSO	YOR125C	NA
124	DMSO	YIR033W	NA
125	DMSO	YGL009C	NA
126	DMSO	YMR016C	NA
127	DMSO	YOR377W	NA
128	DMSO	YOR164C	NA
129	DMSO	YOR304W	NA
130	DMSO	YDR174W	NA
131	DMSO	YDR289C	NA
132	DMSO	YNR041C	NA
133	DMSO	YDR393W	NA
134	DMSO	YIL020C	NA
135	DMSO	YOR240W	NA
136	DMSO	YNL153C	NA
137	DMSO	YJL046W	NA
138	DMSO	YKL191W	NA
139	DMSO	YOR300W	NA
140	DMSO	YCR034W	NA
141	DMSO	YGR188C	NA
142	DMSO	YDL226C	NA
143	DMSO	YLR373C	NA
144	DMSO	YIL076W	NA
145	DMSO	YGL010W	NA
146	DMSO	YFL001W	NA
147	DMSO	YLR398C	NA
148	DMSO	YKR057W	NA
149	DMSO	YKL006W	NA
150	DMSO	YDL012C	NA
151	DMSO	YOR221C	NA
152	DMSO	YIL133C	NA
153	DMSO	YPL102C	NA
154	DMSO	YLR239C	NA
155	DMSO	YJL101C	NA
156	DMSO	YIL098C	NA
157	DMSO	YER041W	NA
158	DMSO	YOR059C	NA
159	DMSO	YDL001W	NA
160	DMSO	YDR320C	NA
161	DMSO	YGR100W	NA
162	DMSO	YOR006C	NA
163	DMSO	YER056C	NA
164	DMSO	YGL195W	NA
165	DMSO	YKL124W	NA
166	DMSO	YPL178W	NA
167	DMSO	YGR085C	NA
168	DMSO	YBL005W	NA
169	DMSO	YKR009C	NA
170	DMSO	YOR156C	NA
171	DMSO	YGR249W	NA
172	DMSO	YKL053W	NA
173	DMSO	YOR106W	NA
174	DMSO	YGR170W	NA
175	DMSO	YLR264W	NA
176	DMSO	YKL212W	NA
177	DMSO	YKL046C	NA
178	DMSO	YMR060C	NA
179	DMSO	YGL084C	NA
180	DMSO	YLR315W	NA
