Inhibitor	Significant_up_deletions	Significant_down_deletions
1	EMIMCl	YNL297C	NA
2	EMIMCl	YER178W	NA
3	EMIMCl	YHL031C	NA
4	EMIMCl	YDR121W	NA
5	EMIMCl	YLR182W	NA
6	EMIMCl	YBL027W	NA
7	EMIMCl	YDR049W	NA
8	EMIMCl	YLR371W	NA
9	EMIMCl	YPR179C	NA
10	EMIMCl	YBR164C	NA
11	EMIMCl	YLL045C	NA
12	EMIMCl	YDR024W	NA
13	EMIMCl	YML048W	NA
14	EMIMCl	YDR455C	NA
15	EMIMCl	YEL053C	NA
16	EMIMCl	YOL124C	NA
17	EMIMCl	YCR034W	NA
18	EMIMCl	YML071C	NA
19	EMIMCl	YBR289W	NA
20	EMIMCl	YOR309C	NA
21	EMIMCl	YBR200W	NA
22	EMIMCl	YOR068C	NA
23	EMIMCl	YBR095C	NA
24	EMIMCl	YMR269W	NA
25	EMIMCl	YPL195W	NA
26	EMIMCl	YLL025W	NA
27	EMIMCl	YDR395W	NA
28	EMIMCl	YDR452W	NA
29	EMIMCl	YFR021W	NA
30	EMIMCl	YLR360W	NA
31	EMIMCl	YGL007W	NA
32	EMIMCl	YJL004C	NA
33	EMIMCl	YNL296W	NA
34	EMIMCl	YGL152C	NA
35	EMIMCl	YBL089W	NA
36	EMIMCl	YHR057C	NA
37	EMIMCl	YKL032C	NA
38	EMIMCl	YNL229C	NA
39	EMIMCl	YER120W	NA
40	EMIMCl	YOR071C	NA
41	EMIMCl	YDR033W	NA
42	EMIMCl	YHR073W	NA
43	EMIMCl	YPL105C	NA
44	EMIMCl	YJR059W	NA
45	EMIMCl	YEL013W	NA
46	EMIMCl	YOR132W	NA
47	EMIMCl	YGL147C	NA
48	EMIMCl	YJL154C	NA
49	EMIMCl	YMR143W	NA
50	EMIMCl	YGR058W	NA
51	EMIMCl	YMR216C	NA
52	EMIMCl	YJL120W	NA
53	EMIMCl	YOL116W	NA
54	EMIMCl	YOR171C	NA
55	EMIMCl	YCL063W	NA
56	EMIMCl	YDR463W	NA
57	EMIMCl	YPL120W	NA
58	EMIMCl	YIL076W	NA
59	EMIMCl	YGL226C-A	NA
60	EMIMCl	YNL307C	NA
61	EMIMCl	YHR081W	NA
62	EMIMCl	YGR016W	NA
63	EMIMCl	YNL166C	NA
64	EMIMCl	YOL083W	NA
65	EMIMCl	YBR174C	NA
66	EMIMCl	YBL086C	NA
67	EMIMCl	YOL112W	NA
68	EMIMCl	YGR184C	NA
69	EMIMCl	YOR304W	NA
70	EMIMCl	YHR095W	NA
71	EMIMCl	YBR126C	NA
72	EMIMCl	YLR315W	NA
73	EMIMCl	YGL197W	NA
74	EMIMCl	YGR276C	NA
75	EMIMCl	YGR089W	NA
76	EMIMCl	YDR329C	NA
77	EMIMCl	YOL129W	NA
78	EMIMCl	YGR229C	NA
79	EMIMCl	YMR052C-A	NA
80	EMIMCl	YGL212W	NA
81	EMIMCl	YER119C-A	NA
82	EMIMCl	YOL087C	NA
83	EMIMCl	YMR007W	NA
84	EMIMCl	YLR374C	NA
85	EMIMCl	YPL051W	NA
86	EMIMCl	YPL101W	NA
87	EMIMCl	YER151C	NA
88	EMIMCl	YDR156W	NA
89	EMIMCl	YDL082W	NA
90	EMIMCl	YOR135C	NA
91	EMIMCl	YPL136W	NA
92	EMIMCl	YGR192C	NA
93	EMIMCl	YDR207C	NA
94	EMIMCl	YLR238W	NA
95	EMIMCl	YNL226W	NA
96	EMIMCl	YOR051C	NA
97	EMIMCl	YNL064C	NA
98	EMIMCl	YLR309C	NA
99	EMIMCl	YLR125W	NA
100	EMIMCl	YDL081C	NA
101	EMIMCl	YOR069W	NA
102	EMIMCl	YPL116W	NA
103	EMIMCl	YKR019C	NA
104	EMIMCl	YML121W	NA
105	EMIMCl	YDR174W	NA
106	EMIMCl	YJL134W	NA
107	EMIMCl	YJR066W	NA
108	EMIMCl	YNR007C	NA
109	EMIMCl	YDR083W	NA
110	EMIMCl	YDR120C	NA
111	EMIMCl	YDR203W	NA
112	EMIMCl	YBR250W	NA
113	EMIMCl	YIL135C	NA
114	EMIMCl	YOR193W	NA
115	EMIMCl	YER007C-A	NA
116	EMIMCl	YDR157W	NA
117	EMIMCl	YOR016C	NA
118	EMIMCl	YDR503C	NA
119	EMIMCl	YGR224W	NA
120	EMIMCl	YOR190W	NA
