Inhibitor	Significant_up_deletions	Significant_down_deletions
1	Furfural	YNR010W	NA
2	Furfural	YGL195W	NA
3	Furfural	YFR009W	NA
4	Furfural	YDR409W	NA
5	Furfural	YGL244W	NA
6	Furfural	YKL185W	NA
7	Furfural	YDL076C	NA
8	Furfural	YER178W	NA
9	Furfural	YMR219W	NA
10	Furfural	YPL213W	NA
11	Furfural	YBR095C	NA
12	Furfural	YER164W	NA
13	Furfural	YJL120W	NA
14	Furfural	YBR082C	NA
15	Furfural	YBR048W	NA
16	Furfural	YBR175W	NA
17	Furfural	YBR010W	NA
18	Furfural	YCR034W	NA
19	Furfural	YBR291C	NA
20	Furfural	YBR174C	NA
21	Furfural	YLR372W	NA
22	Furfural	YLL045C	NA
23	Furfural	YCR086W	NA
24	Furfural	YCR016W	NA
25	Furfural	YBR275C	NA
26	Furfural	YML103C	NA
27	Furfural	YML010C-B	NA
28	Furfural	YIL053W	NA
29	Furfural	YHL013C	NA
30	Furfural	YIR005W	NA
31	Furfural	YKR026C	NA
32	Furfural	YBL072C	NA
33	Furfural	YNL202W	NA
34	Furfural	YIL076W	NA
35	Furfural	YMR067C	NA
36	Furfural	YOR209C	NA
37	Furfural	YNL215W	NA
38	Furfural	YNL296W	NA
39	Furfural	YDR146C	NA
40	Furfural	YER030W	NA
41	Furfural	YGL084C	NA
42	Furfural	YDR159W	NA
43	Furfural	YPL181W	NA
44	Furfural	YJR140C	NA
45	Furfural	YOR144C	NA
46	Furfural	YML102W	NA
47	Furfural	YBL078C	NA
48	Furfural	YDL013W	NA
49	Furfural	YIL045W	NA
50	Furfural	YMR307W	NA
51	Furfural	YAR029W	NA
52	Furfural	YPR170C	NA
53	Furfural	YPL158C	NA
54	Furfural	YOR039W	NA
55	Furfural	YLR388W	NA
56	Furfural	YDL083C	NA
57	Furfural	YPL225W	NA
58	Furfural	YKR074W	NA
59	Furfural	YFL025C	NA
60	Furfural	YML128C	NA
61	Furfural	YGR214W	NA
62	Furfural	YKL212W	NA
63	Furfural	YBR277C	NA
64	Furfural	YCR081W	NA
65	Furfural	YNL297C	NA
66	Furfural	YGR157W	NA
67	Furfural	YNL206C	NA
68	Furfural	YOR293W	NA
69	Furfural	YJL212C	NA
70	Furfural	YCL010C	NA
71	Furfural	YAR015W	NA
72	Furfural	YKR088C	NA
73	Furfural	YOR309C	NA
74	Furfural	YFR044C	NA
75	Furfural	YLR407W	NA
76	Furfural	YML012W	NA
77	Furfural	YGL151W	NA
78	Furfural	YMR143W	NA
79	Furfural	YLR264W	NA
