Inhibitor	Significant_up_deletions	Significant_down_deletions
1	Methylglyoxal	YMR021C	NA
2	Methylglyoxal	YLR426W	NA
3	Methylglyoxal	YIL128W	NA
4	Methylglyoxal	YLL045C	NA
5	Methylglyoxal	YML071C	NA
6	Methylglyoxal	YEL042W	NA
7	Methylglyoxal	YLR021W	NA
8	Methylglyoxal	YOL068C	NA
9	Methylglyoxal	YNL125C	NA
10	Methylglyoxal	YER048C	NA
11	Methylglyoxal	YJL120W	NA
12	Methylglyoxal	YLR412W	NA
13	Methylglyoxal	YDL142C	NA
14	Methylglyoxal	YOR344C	NA
15	Methylglyoxal	YBR250W	NA
16	Methylglyoxal	YDR310C	NA
17	Methylglyoxal	YBL087C	NA
18	Methylglyoxal	YNL166C	NA
19	Methylglyoxal	YBR204C	NA
20	Methylglyoxal	YNL242W	NA
21	Methylglyoxal	YER005W	NA
22	Methylglyoxal	YOL112W	NA
23	Methylglyoxal	YDL189W	NA
24	Methylglyoxal	YGR224W	NA
25	Methylglyoxal	YCR034W	NA
26	Methylglyoxal	YBR287W	NA
27	Methylglyoxal	YLL025W	NA
28	Methylglyoxal	YBR161W	NA
29	Methylglyoxal	YOL150C	NA
30	Methylglyoxal	YJR117W	NA
31	Methylglyoxal	YJL057C	NA
32	Methylglyoxal	YIL131C	NA
33	Methylglyoxal	YOL083W	NA
34	Methylglyoxal	YOR247W	NA
35	Methylglyoxal	YNR007C	NA
36	Methylglyoxal	YGR088W	NA
37	Methylglyoxal	YGL147C	NA
38	Methylglyoxal	YGR192C	NA
39	Methylglyoxal	YIL162W	NA
40	Methylglyoxal	YIL098C	NA
41	Methylglyoxal	YPR106W	NA
42	Methylglyoxal	YKL190W	NA
43	Methylglyoxal	YHR138C	NA
44	Methylglyoxal	YDR293C	NA
45	Methylglyoxal	YDR525W	NA
46	Methylglyoxal	YNL202W	NA
47	Methylglyoxal	YJL141C	NA
48	Methylglyoxal	YBR281C	NA
49	Methylglyoxal	YBR260C	NA
50	Methylglyoxal	YOL129W	NA
51	Methylglyoxal	YBR292C	NA
52	Methylglyoxal	YKR047W	NA
53	Methylglyoxal	YPR167C	NA
54	Methylglyoxal	YGR202C	NA
55	Methylglyoxal	YOL131W	NA
56	Methylglyoxal	YGR071C	NA
57	Methylglyoxal	YKR053C	NA
58	Methylglyoxal	YJL158C	NA
59	Methylglyoxal	YER139C	NA
60	Methylglyoxal	YCR037C	NA
61	Methylglyoxal	YNL297C	NA
62	Methylglyoxal	YLR372W	NA
63	Methylglyoxal	YMR258C	NA
64	Methylglyoxal	YGL253W	NA
65	Methylglyoxal	YJL214W	NA
66	Methylglyoxal	YNL311C	NA
67	Methylglyoxal	YKL105C	NA
68	Methylglyoxal	YBR126C	NA
69	Methylglyoxal	YER091C	NA
70	Methylglyoxal	YBR016W	NA
71	Methylglyoxal	YBR277C	NA
72	Methylglyoxal	YIR030C	NA
73	Methylglyoxal	YMR317W	NA
74	Methylglyoxal	YIL056W	NA
75	Methylglyoxal	YMR294W	NA
76	Methylglyoxal	YJL198W	NA
77	Methylglyoxal	YDR503C	NA
78	Methylglyoxal	YEL038W	NA
79	Methylglyoxal	YAR015W	NA
80	Methylglyoxal	YDL063C	NA
81	Methylglyoxal	YMR060C	NA
82	Methylglyoxal	YLR221C	NA
83	Methylglyoxal	YER186C	NA
84	Methylglyoxal	YML111W	NA
85	Methylglyoxal	YNR048W	NA
86	Methylglyoxal	YER016W	NA
87	Methylglyoxal	YFR032C-A	NA
88	Methylglyoxal	YML017W	NA
89	Methylglyoxal	YDL227C	NA
90	Methylglyoxal	YBR148W	NA
91	Methylglyoxal	YKR096W	NA
92	Methylglyoxal	YNL226W	NA
93	Methylglyoxal	YOL132W	NA
94	Methylglyoxal	YKR088C	NA
95	Methylglyoxal	YOL126C	NA
96	Methylglyoxal	YOR309C	NA
97	Methylglyoxal	YLR315W	NA
98	Methylglyoxal	YKL206C	NA
99	Methylglyoxal	YBR205W	NA
100	Methylglyoxal	YIL135C	NA
101	Methylglyoxal	YJL148W	NA
102	Methylglyoxal	YEL015W	NA
103	Methylglyoxal	YPL149W	NA
104	Methylglyoxal	YIL067C	NA
105	Methylglyoxal	YHR136C	NA
106	Methylglyoxal	YMR157C	NA
107	Methylglyoxal	YGL152C	NA
108	Methylglyoxal	YML129C	NA
109	Methylglyoxal	YML103C	NA
110	Methylglyoxal	YNL016W	NA
111	Methylglyoxal	YCR088W	NA
112	Methylglyoxal	YER019W	NA
113	Methylglyoxal	YDR459C	NA
114	Methylglyoxal	YOL116W	NA
115	Methylglyoxal	YIL123W	NA
116	Methylglyoxal	YPL192C	NA
117	Methylglyoxal	YDR519W	NA
118	Methylglyoxal	YPL053C	NA
119	Methylglyoxal	YDR241W	NA
120	Methylglyoxal	YMR194W	NA
