Inhibitor	Significant_up_deletions	Significant_down_deletions
1	NAO	YGR184C	NA
2	NAO	YOL129W	NA
3	NAO	YMR226C	NA
4	NAO	YDR455C	NA
5	NAO	YDR503C	NA
6	NAO	YGL124C	NA
7	NAO	YPL120W	NA
8	NAO	YER151C	NA
9	NAO	YGR016W	NA
10	NAO	YNL242W	NA
11	NAO	YOL112W	NA
12	NAO	YLL025W	NA
13	NAO	YDR252W	NA
14	NAO	YOR132W	NA
15	NAO	YOR068C	NA
16	NAO	YER083C	NA
17	NAO	YDR452W	NA
18	NAO	YOL083W	NA
19	NAO	YDR293C	NA
20	NAO	YCR088W	NA
21	NAO	YML071C	NA
22	NAO	YBR016W	NA
23	NAO	YOR221C	NA
24	NAO	YPL161C	NA
25	NAO	YDR033W	NA
26	NAO	YHR081W	NA
27	NAO	YPL051W	NA
28	NAO	YGR224W	NA
29	NAO	YHL031C	NA
30	NAO	YBR164C	NA
31	NAO	YKL110C	NA
32	NAO	YOR001W	NA
33	NAO	YGL211W	NA
34	NAO	YOR091W	NA
35	NAO	YGR022C	NA
36	NAO	YJL154C	NA
37	NAO	YDL006W	NA
38	NAO	YBR082C	NA
39	NAO	YLR360W	NA
40	NAO	YOR067C	NA
41	NAO	YMR202W	NA
42	NAO	YDR108W	NA
43	NAO	YPL178W	NA
44	NAO	YOR085W	NA
45	NAO	YGL020C	NA
46	NAO	YDR004W	NA
47	NAO	YGR032W	NA
48	NAO	YEL043W	NA
49	NAO	YNL296W	NA
50	NAO	YDL012C	NA
51	NAO	YLR125W	NA
52	NAO	YER091C	NA
53	NAO	YDR006C	NA
54	NAO	YLR309C	NA
55	NAO	YIL020C	NA
56	NAO	YBR266C	NA
57	NAO	YOR070C	NA
58	NAO	YIL076W	NA
59	NAO	YHR018C	NA
60	NAO	YKR019C	NA
61	NAO	YOR069W	NA
62	NAO	YBR115C	NA
63	NAO	YNL003C	NA
64	NAO	YGR200C	NA
65	NAO	YMR294W-A	NA
66	NAO	YNL273W	NA
67	NAO	YDR083W	NA
68	NAO	YBR200W	NA
69	NAO	YJL004C	NA
70	NAO	YLR412W	NA
71	NAO	YFR040W	NA
72	NAO	YOL035C	NA
73	NAO	YPL195W	NA
74	NAO	YJL204C	NA
75	NAO	YMR269W	NA
76	NAO	YNL086W	NA
77	NAO	YKR035W-A	NA
78	NAO	YGL017W	NA
79	NAO	YBR005W	NA
80	NAO	YDL020C	NA
81	NAO	YOL124C	NA
82	NAO	YDR222W	NA
83	NAO	YPR123C	NA
84	NAO	YBR068C	NA
85	NAO	YIL094C	NA
86	NAO	YKL006W	NA
87	NAO	YMR143W	NA
88	NAO	YJL071W	NA
89	NAO	YDR486C	NA
90	NAO	YBR289W	NA
91	NAO	YGL005C	NA
92	NAO	YBR174C	NA
93	NAO	YDR126W	NA
94	NAO	YOL116W	NA
95	NAO	YNL226W	NA
96	NAO	YEL063C	NA
97	NAO	YGL105W	NA
98	NAO	YDR007W	NA
99	NAO	YGL154C	NA
100	NAO	YOR270C	NA
101	NAO	YGL007W	NA
102	NAO	YBR086C	NA
103	NAO	YKL077W	NA
104	NAO	YML097C	NA
105	NAO	YOL029C	NA
106	NAO	YPR173C	NA
107	NAO	YDL013W	NA
108	NAO	YBR267W	NA
109	NAO	YDR024W	NA
110	NAO	YBL072C	NA
111	NAO	YBR290W	NA
112	NAO	YMR289W	NA
113	NAO	YML026C	NA
114	NAO	YER019W	NA
115	NAO	YLR239C	NA
116	NAO	YLR374C	NA
117	NAO	YML121W	NA
118	NAO	YOL095C	NA
119	NAO	YGR089W	NA
120	NAO	YDR276C	NA
121	NAO	YJR090C	NA
122	NAO	YAL026C	NA
123	NAO	YPL239W	NA
124	NAO	YBL009W	NA
125	NAO	YGL010W	NA
126	NAO	YBR001C	NA
127	NAO	YGL136C	NA
128	NAO	YDR393W	NA
129	NAO	YOL050C	NA
130	NAO	YDR174W	NA
131	NAO	YJL120W	NA
132	NAO	YGR101W	NA
133	NAO	YDR011W	NA
134	NAO	YDL077C	NA
135	NAO	YBL087C	NA
136	NAO	YNL302C	NA
137	NAO	YGR023W	NA
138	NAO	YOR216C	NA
139	NAO	YLR056W	NA
140	NAO	YJR075W	NA
141	NAO	YNL081C	NA
142	NAO	YGL212W	NA
143	NAO	YKL124W	NA
144	NAO	YPL105C	NA
145	NAO	YPL176C	NA
146	NAO	YBR009C	NA
147	NAO	YDR049W	NA
148	NAO	YNL297C	NA
149	NAO	YNR006W	NA
150	NAO	YDR395W	NA
151	NAO	YER092W	NA
152	NAO	YBR095C	NA
153	NAO	YMR054W	NA
