Inhibitor	Significant_up_deletions	Significant_down_deletions
1	SodiumGlyoxylate	YPL240C	NA
2	SodiumGlyoxylate	YBR275C	NA
3	SodiumGlyoxylate	YBL081W	NA
4	SodiumGlyoxylate	YHR161C	NA
5	SodiumGlyoxylate	YEL043W	NA
6	SodiumGlyoxylate	YFL055W	NA
7	SodiumGlyoxylate	YBL069W	NA
8	SodiumGlyoxylate	YLR454W	NA
9	SodiumGlyoxylate	YBR271W	NA
10	SodiumGlyoxylate	YIL133C	NA
11	SodiumGlyoxylate	YDR378C	NA
12	SodiumGlyoxylate	YJR129C	NA
13	SodiumGlyoxylate	YBL104C	NA
14	SodiumGlyoxylate	YDR525W	NA
15	SodiumGlyoxylate	YGR228W	NA
16	SodiumGlyoxylate	YIR037W	NA
17	SodiumGlyoxylate	YPL186C	NA
18	SodiumGlyoxylate	YLR021W	NA
19	SodiumGlyoxylate	YBR217W	NA
20	SodiumGlyoxylate	YGL152C	NA
21	SodiumGlyoxylate	YGL262W	NA
22	SodiumGlyoxylate	YHL010C	NA
23	SodiumGlyoxylate	YKR090W	NA
24	SodiumGlyoxylate	YIL137C	NA
25	SodiumGlyoxylate	YBL056W	NA
26	SodiumGlyoxylate	YAR043C	NA
27	SodiumGlyoxylate	YMR030W	NA
28	SodiumGlyoxylate	YDL172C	NA
29	SodiumGlyoxylate	YER120W	NA
30	SodiumGlyoxylate	YGL019W	NA
31	SodiumGlyoxylate	YAL004W	NA
32	SodiumGlyoxylate	YJR133W	NA
33	SodiumGlyoxylate	YFL043C	NA
34	SodiumGlyoxylate	YNL208W	NA
35	SodiumGlyoxylate	YLR126C	NA
36	SodiumGlyoxylate	YJR087W	NA
37	SodiumGlyoxylate	YJR058C	NA
38	SodiumGlyoxylate	YGR225W	NA
39	SodiumGlyoxylate	YLR445W	NA
40	SodiumGlyoxylate	YBR287W	NA
41	SodiumGlyoxylate	YCL042W	NA
42	SodiumGlyoxylate	YAL019W	NA
43	SodiumGlyoxylate	YBR022W	NA
44	SodiumGlyoxylate	YOR107W	NA
45	SodiumGlyoxylate	YCL051W	NA
46	SodiumGlyoxylate	YKR058W	NA
47	SodiumGlyoxylate	YKL199C	NA
48	SodiumGlyoxylate	YOR025W	NA
49	SodiumGlyoxylate	YKR084C	NA
50	SodiumGlyoxylate	YGL016W	NA
51	SodiumGlyoxylate	YML117W	NA
52	SodiumGlyoxylate	YCR020C	NA
53	SodiumGlyoxylate	YER163C	NA
54	SodiumGlyoxylate	YMR223W	NA
55	SodiumGlyoxylate	YDL142C	NA
56	SodiumGlyoxylate	YIL016W	NA
57	SodiumGlyoxylate	YFL025C	NA
58	SodiumGlyoxylate	YML047C	NA
59	SodiumGlyoxylate	YIL065C	NA
60	SodiumGlyoxylate	YGL235W	NA
61	SodiumGlyoxylate	YIL141W	NA
62	SodiumGlyoxylate	YER162C	NA
63	SodiumGlyoxylate	YER090W	NA
64	SodiumGlyoxylate	YLL051C	NA
65	SodiumGlyoxylate	YIL111W	NA
66	SodiumGlyoxylate	YDR476C	NA
67	SodiumGlyoxylate	YER149C	NA
68	SodiumGlyoxylate	YOR140W	NA
69	SodiumGlyoxylate	YAR002W	NA
70	SodiumGlyoxylate	YLL045C	NA
71	SodiumGlyoxylate	YGR100W	NA
72	SodiumGlyoxylate	YER174C	NA
73	SodiumGlyoxylate	YMR302C	NA
74	SodiumGlyoxylate	YLR334C	NA
75	SodiumGlyoxylate	YNL281W	NA
76	SodiumGlyoxylate	YLR451W	NA
77	SodiumGlyoxylate	YLL055W	NA
78	SodiumGlyoxylate	YJL198W	NA
79	SodiumGlyoxylate	YGL167C	NA
80	SodiumGlyoxylate	YOL024W	NA
81	SodiumGlyoxylate	YMR322C	NA
82	SodiumGlyoxylate	YGL090W	NA
83	SodiumGlyoxylate	YCR017C	NA
84	SodiumGlyoxylate	YHR171W	NA
85	SodiumGlyoxylate	YNR022C	NA
86	SodiumGlyoxylate	YJL217W	NA
87	SodiumGlyoxylate	YJL178C	NA
88	SodiumGlyoxylate	YDL184C	NA
89	SodiumGlyoxylate	YLR443W	NA
90	SodiumGlyoxylate	YPL257W	NA
91	SodiumGlyoxylate	YJL100W	NA
92	SodiumGlyoxylate	YGR153W	NA
93	SodiumGlyoxylate	YFR014C	NA
94	SodiumGlyoxylate	YMR316C-A	NA
95	SodiumGlyoxylate	YGL217C	NA
96	SodiumGlyoxylate	YDL024C	NA
97	SodiumGlyoxylate	YBR015C	NA
98	SodiumGlyoxylate	YLL038C	NA
99	SodiumGlyoxylate	YER046W-A	NA
100	SodiumGlyoxylate	YML018C	NA
101	SodiumGlyoxylate	YCL034W	NA
102	SodiumGlyoxylate	YKL215C	NA
103	SodiumGlyoxylate	YGR192C	NA
104	SodiumGlyoxylate	YMR129W	NA
105	SodiumGlyoxylate	YIL160C	NA
106	SodiumGlyoxylate	YOR348C	NA
107	SodiumGlyoxylate	YFL041W	NA
108	SodiumGlyoxylate	YDR414C	NA
109	SodiumGlyoxylate	YPL022W	NA
110	SodiumGlyoxylate	YBR264C	NA
111	SodiumGlyoxylate	YGL082W	NA
112	SodiumGlyoxylate	YFL011W	NA
113	SodiumGlyoxylate	YBL009W	NA
114	SodiumGlyoxylate	YDR474C	NA
115	SodiumGlyoxylate	YBR077C	NA
116	SodiumGlyoxylate	YDR277C	NA
117	SodiumGlyoxylate	YIL107C	NA
118	SodiumGlyoxylate	YDR357C	NA
119	SodiumGlyoxylate	YHR195W	NA
120	SodiumGlyoxylate	YLR173W	NA
121	SodiumGlyoxylate	YLR315W	NA
122	SodiumGlyoxylate	YNL130C	NA
123	SodiumGlyoxylate	YER075C	NA
124	SodiumGlyoxylate	YMR021C	NA
