Inhibitor	Significant_up_deletions	Significant_down_deletions
1	Syringaldehyde	YJL120W	NA
2	Syringaldehyde	YJL071W	NA
3	Syringaldehyde	YBR266C	NA
4	Syringaldehyde	YBR115C	NA
5	Syringaldehyde	YDR393W	NA
6	Syringaldehyde	YNL081C	NA
7	Syringaldehyde	YMR306W	NA
8	Syringaldehyde	YDR019C	NA
9	Syringaldehyde	YPL039W	NA
10	Syringaldehyde	YHR018C	NA
11	Syringaldehyde	YGL005C	NA
12	Syringaldehyde	YIL020C	NA
13	Syringaldehyde	YGR022C	NA
14	Syringaldehyde	YOL075C	NA
15	Syringaldehyde	YDR006C	NA
16	Syringaldehyde	YER175C	NA
17	Syringaldehyde	YPR191W	NA
18	Syringaldehyde	YPR173C	NA
19	Syringaldehyde	YMR276W	NA
20	Syringaldehyde	YOL095C	NA
21	Syringaldehyde	YNR041C	NA
22	Syringaldehyde	YGL078C	NA
23	Syringaldehyde	YDR276C	NA
24	Syringaldehyde	YPR160W	NA
25	Syringaldehyde	YBR248C	NA
26	Syringaldehyde	YOL138C	NA
27	Syringaldehyde	YDR007W	NA
28	Syringaldehyde	YML001W	NA
29	Syringaldehyde	YBR225W	NA
30	Syringaldehyde	YCR028C-A	NA
31	Syringaldehyde	YIL053W	NA
32	Syringaldehyde	YGL085W	NA
33	Syringaldehyde	YMR303C	NA
34	Syringaldehyde	YBR090C	NA
35	Syringaldehyde	YHR093W	NA
36	Syringaldehyde	YOR028C	NA
37	Syringaldehyde	YDR036C	NA
38	Syringaldehyde	YGL154C	NA
39	Syringaldehyde	YOL045W	NA
40	Syringaldehyde	YGL257C	NA
41	Syringaldehyde	YIL155C	NA
42	Syringaldehyde	YGR032W	NA
43	Syringaldehyde	YBR263W	NA
44	Syringaldehyde	YGL009C	NA
45	Syringaldehyde	YBR005W	NA
46	Syringaldehyde	YKL090W	NA
47	Syringaldehyde	YGL010W	NA
48	Syringaldehyde	YJR150C	NA
49	Syringaldehyde	YDL013W	NA
50	Syringaldehyde	YDL002C	NA
51	Syringaldehyde	YLL015W	NA
52	Syringaldehyde	YKR041W	NA
53	Syringaldehyde	YOR153W	NA
54	Syringaldehyde	YDR126W	NA
55	Syringaldehyde	YDR378C	NA
56	Syringaldehyde	YNL003C	NA
57	Syringaldehyde	YOR189W	NA
58	Syringaldehyde	YGL062W	NA
59	Syringaldehyde	YMR222C	NA
60	Syringaldehyde	YIR027C	NA
61	Syringaldehyde	YJR098C	NA
62	Syringaldehyde	YJL046W	NA
63	Syringaldehyde	YBR128C	NA
64	Syringaldehyde	YOR367W	NA
65	Syringaldehyde	YNL239W	NA
66	Syringaldehyde	YER163C	NA
67	Syringaldehyde	YKL162C	NA
68	Syringaldehyde	YFL051C	NA
69	Syringaldehyde	YDR441C	NA
70	Syringaldehyde	YDR539W	NA
71	Syringaldehyde	YGL017W	NA
72	Syringaldehyde	YJR140C	NA
73	Syringaldehyde	YGL159W	NA
74	Syringaldehyde	YCL074W	NA
75	Syringaldehyde	YJR116W	NA
76	Syringaldehyde	YDR530C	NA
77	Syringaldehyde	YPL162C	NA
78	Syringaldehyde	YOL013C	NA
79	Syringaldehyde	YIL117C	NA
80	Syringaldehyde	YNL180C	NA
81	Syringaldehyde	YBR262C	NA
82	Syringaldehyde	YER063W	NA
83	Syringaldehyde	YEL013W	NA
84	Syringaldehyde	YCR071C	NA
85	Syringaldehyde	YOR094W	NA
86	Syringaldehyde	YER132C	NA
87	Syringaldehyde	YML016C	NA
88	Syringaldehyde	YBR267W	NA
89	Syringaldehyde	YNR024W	NA
90	Syringaldehyde	YGR089W	NA
91	Syringaldehyde	YBL005W	NA
92	Syringaldehyde	YGR101W	NA
93	Syringaldehyde	YNL070W	NA
94	Syringaldehyde	YNL130C	NA
95	Syringaldehyde	YER046W	NA
96	Syringaldehyde	YGR279C	NA
97	Syringaldehyde	YKL006W	NA
98	Syringaldehyde	YPR156C	NA
99	Syringaldehyde	YPR115W	NA
100	Syringaldehyde	YGR109C	NA
101	Syringaldehyde	YDR004W	NA
102	Syringaldehyde	YLL054C	NA
103	Syringaldehyde	YOR221C	NA
104	Syringaldehyde	YAL005C	NA
105	Syringaldehyde	YDL001W	NA
106	Syringaldehyde	YKL124W	NA
107	Syringaldehyde	YKL092C	NA
108	Syringaldehyde	YML102W	NA
109	Syringaldehyde	YAL004W	NA
110	Syringaldehyde	YDR304C	NA
111	Syringaldehyde	YGL164C	NA
112	Syringaldehyde	YJL077C	NA
113	Syringaldehyde	YOR008C	NA
114	Syringaldehyde	YHR014W	NA
115	Syringaldehyde	YPR150W	NA
116	Syringaldehyde	YJL098W	NA
117	Syringaldehyde	YIL094C	NA
118	Syringaldehyde	YOR279C	NA
119	Syringaldehyde	YDL006W	NA
120	Syringaldehyde	YMR085W	NA
121	Syringaldehyde	YNL336W	NA
122	Syringaldehyde	YPL095C	NA
123	Syringaldehyde	YDR352W	NA
124	Syringaldehyde	YPL216W	NA
125	Syringaldehyde	YLR228C	NA
126	Syringaldehyde	YOR025W	NA
127	Syringaldehyde	YDL089W	NA
128	Syringaldehyde	YHR129C	NA
129	Syringaldehyde	YKL093W	NA
130	Syringaldehyde	YOR245C	NA
131	Syringaldehyde	YOL003C	NA
132	Syringaldehyde	YPL178W	NA
133	Syringaldehyde	YDL066W	NA
134	Syringaldehyde	YOL117W	NA
135	Syringaldehyde	YNL273W	NA
136	Syringaldehyde	YLR239C	NA
137	Syringaldehyde	YNL142W	NA
138	Syringaldehyde	YNL147W	NA
139	Syringaldehyde	YCR060W	NA
140	Syringaldehyde	YOR112W	NA
141	Syringaldehyde	YLR089C	NA
142	Syringaldehyde	YML118W	NA
143	Syringaldehyde	YDL012C	NA
144	Syringaldehyde	YGR182C	NA
145	Syringaldehyde	YML010C-B	NA
146	Syringaldehyde	YEL011W	NA
147	Syringaldehyde	YLR130C	NA
148	Syringaldehyde	YCR081W	NA
149	Syringaldehyde	YOL055C	NA
150	Syringaldehyde	YNL162W	NA
151	Syringaldehyde	YMR205C	NA
152	Syringaldehyde	YJL204C	NA
153	Syringaldehyde	YGR001C	NA
154	Syringaldehyde	YNL291C	NA
155	Syringaldehyde	YHR112C	NA
156	Syringaldehyde	YER188W	NA
