Inhibitor	Direction	Deletion
1	22Dipyridyl	up	YGR157W
2	22Dipyridyl	up	YDL172C
3	22Dipyridyl	up	YIR005W
4	22Dipyridyl	up	YCR077C
5	22Dipyridyl	up	YJL177W
6	22Dipyridyl	up	YIL065C
7	22Dipyridyl	up	YCR034W
8	22Dipyridyl	up	YKL139W
9	22Dipyridyl	up	YFR012W
10	22Dipyridyl	up	YDR475C
11	22Dipyridyl	up	YIL045W
12	22Dipyridyl	up	YEL063C
13	22Dipyridyl	up	YDL142C
14	22Dipyridyl	up	YKL074C
15	22Dipyridyl	up	YIL133C
16	22Dipyridyl	up	YJL101C
17	22Dipyridyl	up	YAL042W
18	22Dipyridyl	up	YKR092C
19	22Dipyridyl	up	YPL183C
20	22Dipyridyl	up	YER083C
21	22Dipyridyl	up	YDR378C
22	22Dipyridyl	up	YNL153C
23	22Dipyridyl	up	YAL017W
24	22Dipyridyl	up	YOR006C
25	22Dipyridyl	up	YER162C
26	22Dipyridyl	up	YHR081W
27	22Dipyridyl	up	YPL198W
28	22Dipyridyl	up	YHL012W
29	22Dipyridyl	up	YMR269W
30	22Dipyridyl	up	YJL216C
31	22Dipyridyl	up	YAL045C
32	22Dipyridyl	up	YER158C
33	22Dipyridyl	up	YDL134C
34	22Dipyridyl	up	YEL049W
35	22Dipyridyl	up	YEL033W
36	22Dipyridyl	up	YDL106C
37	22Dipyridyl	up	YHL013C
38	22Dipyridyl	up	YGR014W
39	22Dipyridyl	up	YOL155C
40	22Dipyridyl	up	YKL046C
41	22Dipyridyl	up	YCR022C
42	22Dipyridyl	up	YNL206C
43	22Dipyridyl	up	YDR121W
44	22Dipyridyl	up	YHR135C
45	22Dipyridyl	up	YLR315W
46	22Dipyridyl	up	YBR214W
47	22Dipyridyl	up	YFL030W
48	22Dipyridyl	up	YAL019W
49	22Dipyridyl	up	YGR224W
50	22Dipyridyl	up	YMR226C
51	22Dipyridyl	up	YBR107C
52	22Dipyridyl	up	YLR436C
53	22Dipyridyl	up	YCR023C
54	22Dipyridyl	up	YDR513W
55	22Dipyridyl	up	YMR187C
56	22Dipyridyl	up	YLR386W
57	22Dipyridyl	up	YNL053W
58	22Dipyridyl	up	YGR209C
59	22Dipyridyl	up	YIL076W
60	22Dipyridyl	up	YAL023C
61	22Dipyridyl	up	YOR325W
62	22Dipyridyl	up	YLR451W
63	22Dipyridyl	up	YMR009W
64	22Dipyridyl	up	YOL128C
65	22Dipyridyl	up	YNR007C
66	22Dipyridyl	up	YBL079W
67	22Dipyridyl	up	YFR041C
68	22Dipyridyl	up	YBR290W
69	22Dipyridyl	up	YKR040C
70	22Dipyridyl	up	YJL178C
71	22Dipyridyl	up	YPR123C
72	22Dipyridyl	up	YOL003C
73	22Dipyridyl	up	YHL030W
74	22Dipyridyl	up	YMR116C
75	22Dipyridyl	up	YLL045C
76	22Dipyridyl	up	YIL040W
77	22Dipyridyl	up	YIL098C
78	22Dipyridyl	up	YHR161C
79	22Dipyridyl	up	YHL008C
80	22Dipyridyl	up	YGR019W
81	22Dipyridyl	up	YAR015W
82	22Dipyridyl	up	YJR075W
83	22Dipyridyl	up	YJL024C
84	22Dipyridyl	up	YPR179C
85	22Dipyridyl	up	YFR026C
86	22Dipyridyl	up	YFL021W
87	22Dipyridyl	up	YOR306C
88	22Dipyridyl	up	YCR043C
