Integer of repeats (n)	Simulations with n present	Total genes with n values	Real data total genes with n values	P-val of any gene present n times	Avg # genes present n times in sims
1	1	1000	1204015	537	1	1204.015
2	2	1000	930494	256	1	930.494
3	3	1000	466714	180	1	466.714
4	4	1000	172280	113	1	172.28
5	5	1000	49309	88	1	49.309
6	6	1000	11245	57	1	11.245
7	7	889	2204	39	0.889	2.204
8	8	296	365	43	0.296	0.365
9	9	36	38	24	0.036	0.038
10	10	3	3	23	0.003	0.003
11	11	0	0	20	0	0
12	12	0	0	9	0	0
13	13	0	0	5	0	0
14	14	0	0	8	0	0
15	15	0	0	6	0	0
16	16	0	0	9	0	0
17	17	0	0	6	0	0
18	18	0	0	6	0	0
19	19	0	0	11	0	0
20	20	0	0	11	0	0
21	21	0	0	4	0	0
22	22	0	0	1	0	0
23	23	0	0	4	0	0
24	24	0	0	NA	0	0
25	25	0	0	1	0	0
