Inhibitor	Significant_up_deletions	Significant_down_deletions
1	22Diprydyl	YEL068C	YNL168C
2	22Diprydyl	YKR072C	YPL058C
3	22Diprydyl	YNL277W	YML004C
4	22Diprydyl	YER113C	YER188W
5	22Diprydyl	YLR084C	YJL115W
6	22Diprydyl	YFR041C	YCL074W
7	22Diprydyl	YGR279C	YBR162W-A
8	22Diprydyl	YNL309W	YHL031C
9	22Diprydyl	YBL078C	YPL164C
10	22Diprydyl	YGL131C	YKL137W
11	22Diprydyl	YNR004W	YKR003W
12	22Diprydyl	YGR169C	YOR178C
13	22Diprydyl	YGR049W	YLL024C
14	22Diprydyl	YCR006C	YLR350W
15	22Diprydyl	YDR467C	YOR111W
16	22Diprydyl	YJL048C	YBL046W
17	22Diprydyl	YDR304C	YMR021C
18	22Diprydyl	YPL214C	YML120C
19	22Diprydyl	YJL160C	YGR291C
20	22Diprydyl	YGL108C	YGL031C
21	22Diprydyl	YAR035W	YLR434C
22	22Diprydyl	YCR077C	YOR219C
23	22Diprydyl	YAL010C	YNL274C
24	22Diprydyl	YLL012W	YKL191W
25	22Diprydyl	YGR032W	YKR067W
26	22Diprydyl	YER060W	YGL063W
27	22Diprydyl	YHR114W	YDR146C
28	22Diprydyl	YLR287C-A	YBL065W
29	22Diprydyl	YDL169C	YDR455C
30	22Diprydyl	YJL210W	YPR192W
31	22Diprydyl	NA	YBR296C
32	22Diprydyl	NA	YFL041W
33	22Diprydyl	NA	YDR244W
34	22Diprydyl	NA	YMR158W-A
35	22Diprydyl	NA	YMR186W
36	22Diprydyl	NA	YML067C
37	22Diprydyl	NA	YOR018W
38	22Diprydyl	NA	YFR009W
39	22Diprydyl	NA	YPL037C
40	22Diprydyl	NA	YIL100W
41	22Diprydyl	NA	YGL215W
42	22Diprydyl	NA	YGR122W
43	22Diprydyl	NA	YOR378W
44	22Diprydyl	NA	YPL073C
45	22Diprydyl	NA	YGR015C
46	22Diprydyl	NA	YLR006C
47	22Diprydyl	NA	YMR135C
48	22Diprydyl	NA	YGL124C
49	22Diprydyl	NA	YGR142W
50	22Diprydyl	NA	YMR129W
51	22Diprydyl	NA	YJL130C
52	22Diprydyl	NA	YCL057W
53	22Diprydyl	NA	YLR041W
54	22Diprydyl	NA	YDR445C
55	22Diprydyl	NA	YBR062C
56	22Diprydyl	NA	YPL183W-A
57	22Diprydyl	NA	YMR073C
58	22Diprydyl	NA	YJL126W
59	22Diprydyl	NA	YDR306C
60	22Diprydyl	NA	YER139C
61	22Diprydyl	NA	YER174C
62	22Diprydyl	NA	YOR193W
63	22Diprydyl	NA	YGR188C
64	22Diprydyl	NA	YDR441C
65	22Diprydyl	NA	YBR255W
66	22Diprydyl	NA	YJR003C
67	22Diprydyl	NA	YCR020C
68	22Diprydyl	NA	YFL046W
69	22Diprydyl	NA	YOR033C
70	22Diprydyl	NA	YMR004W
71	22Diprydyl	NA	YPR160W
72	22Diprydyl	NA	YDR528W
73	22Diprydyl	NA	YDR326C
74	22Diprydyl	NA	YLR448W
75	22Diprydyl	NA	YMR307W
76	22Diprydyl	NA	YHR057C
77	22Diprydyl	NA	YLR412W
78	22Diprydyl	NA	YOL124C
79	22Diprydyl	NA	YPL216W
80	22Diprydyl	NA	YHR171W
81	22Diprydyl	NA	YJL214W
82	22Diprydyl	NA	YJR058C
83	22Diprydyl	NA	YFL049W
84	22Diprydyl	NA	YLR248W
85	22Diprydyl	NA	YER063W
86	22Diprydyl	NA	YPL240C
87	22Diprydyl	NA	YDR133C
88	22Diprydyl	NA	YLR345W
89	22Diprydyl	NA	YKL127W
90	22Diprydyl	NA	YJL093C
91	22Diprydyl	NA	YLR169W
92	22Diprydyl	NA	YNL024C
93	22Diprydyl	NA	YMR261C
94	22Diprydyl	NA	YOR132W
95	22Diprydyl	NA	YIL039W
96	22Diprydyl	NA	YOL024W
97	22Diprydyl	NA	YPL135W
98	22Diprydyl	NA	YJL217W
99	22Diprydyl	NA	YKL202W
100	22Diprydyl	NA	YGR181W
101	22Diprydyl	NA	YLR449W
102	22Diprydyl	NA	YOL071W
103	22Diprydyl	NA	YBL031W
104	22Diprydyl	NA	YOR354C
105	22Diprydyl	NA	YLR297W
106	22Diprydyl	NA	YDR108W
107	22Diprydyl	NA	YMR280C
108	22Diprydyl	NA	YFR044C
109	22Diprydyl	NA	YLR402W
110	22Diprydyl	NA	YDR046C
111	22Diprydyl	NA	YMR251W
112	22Diprydyl	NA	YLL057C
113	22Diprydyl	NA	YLR130C
114	22Diprydyl	NA	YDL161W
115	22Diprydyl	NA	YML028W
116	22Diprydyl	NA	YKL131W
117	22Diprydyl	NA	YGR203W
118	22Diprydyl	NA	YNL144C
119	22Diprydyl	NA	YHR045W
120	22Diprydyl	NA	YCL050C
