Inhibitor	Significant_up_deletions	Significant_down_deletions
1	2Methylimidazole	YBR118W	YDR241W
2	2Methylimidazole	YDR524C	YER060W-A
3	2Methylimidazole	YDR245W	YCR086W
4	2Methylimidazole	YDR128W	YPR129W
5	2Methylimidazole	YDL218W	YFL050C
6	2Methylimidazole	YLR190W	YLR114C
7	2Methylimidazole	YBL009W	YMR133W
8	2Methylimidazole	YHR097C	YOR023C
9	2Methylimidazole	YGL117W	YPR140W
10	2Methylimidazole	YNL082W	YOR225W
11	2Methylimidazole	YHR132C	YER188W
12	2Methylimidazole	YOR381W	YDR080W
13	2Methylimidazole	YKL127W	YKR018C
14	2Methylimidazole	YKR047W	YAR023C
15	2Methylimidazole	YJL210W	YKL114C
16	2Methylimidazole	YMR259C	YHL002W
17	2Methylimidazole	YKL201C	YDR198C
18	2Methylimidazole	YLR023C	YAL058C-A
19	2Methylimidazole	YPL232W	YNL278W
20	2Methylimidazole	YDR072C	YDR386W
21	2Methylimidazole	YKL199C	YBR013C
22	2Methylimidazole	YCL001W-A	YBL088C
23	2Methylimidazole	YBR125C	YER052C
24	2Methylimidazole	YMR245W	YIL141W
25	2Methylimidazole	YBR008C	YFL001W
26	2Methylimidazole	YKR014C	YEL061C
27	2Methylimidazole	YDL169C	YLL051C
28	2Methylimidazole	YOL031C	YKL123W
29	2Methylimidazole	NA	YGR109C
30	2Methylimidazole	NA	YLL061W
31	2Methylimidazole	NA	YOR364W
32	2Methylimidazole	NA	YEL031W
33	2Methylimidazole	NA	YKL057C
34	2Methylimidazole	NA	YER045C
35	2Methylimidazole	NA	YOR076C
36	2Methylimidazole	NA	YDR202C
37	2Methylimidazole	NA	YJR126C
38	2Methylimidazole	NA	YMR275C
39	2Methylimidazole	NA	YIL087C
40	2Methylimidazole	NA	YER121W
41	2Methylimidazole	NA	YJL135W
42	2Methylimidazole	NA	YLR177W
43	2Methylimidazole	NA	YPR179C
44	2Methylimidazole	NA	YMR154C
45	2Methylimidazole	NA	YPL152W
46	2Methylimidazole	NA	YNL115C
47	2Methylimidazole	NA	YGR023W
48	2Methylimidazole	NA	YER149C
49	2Methylimidazole	NA	YJR039W
50	2Methylimidazole	NA	YIL085C
51	2Methylimidazole	NA	YKL007W
52	2Methylimidazole	NA	YGL141W
53	2Methylimidazole	NA	YHL027W
54	2Methylimidazole	NA	YJL161W
55	2Methylimidazole	NA	YDR022C
56	2Methylimidazole	NA	YBR231C
57	2Methylimidazole	NA	YNL200C
58	2Methylimidazole	NA	YLR130C
59	2Methylimidazole	NA	YBR259W
60	2Methylimidazole	NA	YBR178W
61	2Methylimidazole	NA	YDR281C
62	2Methylimidazole	NA	YDR111C
