Inhibitor	Significant_up_deletions	Significant_down_deletions
1	4OHAcetophenone	YMR310C	YOL009C
2	4OHAcetophenone	YMR107W	YBL010C
3	4OHAcetophenone	YER119C	YNL067W
4	4OHAcetophenone	YMR037C	YDL170W
5	4OHAcetophenone	YLR046C	YLL043W
6	4OHAcetophenone	YIL149C	YAL037W
7	4OHAcetophenone	YKL222C	YDL086W
8	4OHAcetophenone	YGR143W	YIR043C
9	4OHAcetophenone	YDL071C	YAR027W
10	4OHAcetophenone	YKR095W	YKL086W
11	4OHAcetophenone	YOL129W	YMR087W
12	4OHAcetophenone	YMR173W-A	YFL051C
13	4OHAcetophenone	YMR139W	YNL179C
14	4OHAcetophenone	YOR162C	YGL124C
15	4OHAcetophenone	YFR046C	YLR371W
16	4OHAcetophenone	YBR296C	YLR325C
17	4OHAcetophenone	YOR220W	YFL013C
18	4OHAcetophenone	YOL095C	YDR503C
19	4OHAcetophenone	YBR057C	YLR375W
20	4OHAcetophenone	YDL059C	YDR057W
21	4OHAcetophenone	YKL110C	YPL149W
22	4OHAcetophenone	YMR210W	YPL033C
23	4OHAcetophenone	YMR052W	YDR098C
24	4OHAcetophenone	YAL034C	YOR047C
25	4OHAcetophenone	YOR286W	YER097W
26	4OHAcetophenone	YMR153C-A	YAL064C-A
27	4OHAcetophenone	YPL240C	YGR079W
28	4OHAcetophenone	YML062C	YJL204C
29	4OHAcetophenone	YOL114C	YNR034W
30	4OHAcetophenone	YHL013C	YIL123W
31	4OHAcetophenone	YNL316C	YOR246C
32	4OHAcetophenone	YOL141W	YJL047C
33	4OHAcetophenone	YIL128W	YBR180W
34	4OHAcetophenone	YOR005C	YDR020C
35	4OHAcetophenone	YMR252C	YMR143W
36	4OHAcetophenone	YPL197C	YMR099C
37	4OHAcetophenone	YGL149W	YJL211C
38	4OHAcetophenone	YNL085W	YGL049C
39	4OHAcetophenone	YMR250W	YDL144C
40	4OHAcetophenone	YDR067C	YJR148W
41	4OHAcetophenone	YML019W	YOR153W
42	4OHAcetophenone	YOR128C	YML027W
43	4OHAcetophenone	YGL081W	YLR174W
44	4OHAcetophenone	YJL160C	YOR087W
45	4OHAcetophenone	YAL008W	YER067W
46	4OHAcetophenone	YER166W	YGR221C
47	4OHAcetophenone	YGL010W	YML104C
48	4OHAcetophenone	YLR346C	YMR078C
49	4OHAcetophenone	YMR144W	YGR144W
50	4OHAcetophenone	YBR031W	YBL067C
51	4OHAcetophenone	YDR294C	YLR189C
52	4OHAcetophenone	YAL018C	YLR217W
53	4OHAcetophenone	YCR016W	YPL214C
54	4OHAcetophenone	YHR032W	YFL025C
55	4OHAcetophenone	YGL136C	YDR223W
56	4OHAcetophenone	YGL165C	YDR476C
57	4OHAcetophenone	YMR140W	YGL114W
58	4OHAcetophenone	YPR151C	YGL243W
59	4OHAcetophenone	YHR041C	YNL051W
60	4OHAcetophenone	YLR030W	YNL170W
61	4OHAcetophenone	YLR319C	YMR111C
62	4OHAcetophenone	YDL106C	YGR242W
63	4OHAcetophenone	YOL108C	YER098W
64	4OHAcetophenone	YFR039C	YLR225C
65	4OHAcetophenone	YER184C	YKR035W-A
66	4OHAcetophenone	NA	YIL168W
67	4OHAcetophenone	NA	YFL012W
