Inhibitor	Significant_up_deletions	Significant_down_deletions
1	4OHBenzoicAcid	YAL014C	YLR123C
2	4OHBenzoicAcid	YJL099W	YMR295C
3	4OHBenzoicAcid	YBR036C	YIL133C
4	4OHBenzoicAcid	YDR163W	YML048W-A
5	4OHBenzoicAcid	YML074C	YDR455C
6	4OHBenzoicAcid	YCR022C	YBR074W
7	4OHBenzoicAcid	YLR257W	YDR476C
8	4OHBenzoicAcid	YML036W	YPR141C
9	4OHBenzoicAcid	YOL042W	YOL032W
10	4OHBenzoicAcid	YGR070W	YOR247W
11	4OHBenzoicAcid	YJL048C	YLR015W
12	4OHBenzoicAcid	YBL059W	YHR206W
13	4OHBenzoicAcid	YNR013C	YKL187C
14	4OHBenzoicAcid	YGR016W	YGR143W
15	4OHBenzoicAcid	YER113C	YDR154C
16	4OHBenzoicAcid	YHR078W	YEL042W
17	4OHBenzoicAcid	YLR448W	YLR335W
18	4OHBenzoicAcid	YNL070W	YOR208W
19	4OHBenzoicAcid	YDR370C	YDR022C
20	4OHBenzoicAcid	YLR320W	YLR344W
21	4OHBenzoicAcid	YGR256W	YBR260C
22	4OHBenzoicAcid	YOR062C	NA
23	4OHBenzoicAcid	YDR349C	NA
24	4OHBenzoicAcid	YGR049W	NA
25	4OHBenzoicAcid	YNR002C	NA
26	4OHBenzoicAcid	YOL107W	NA
27	4OHBenzoicAcid	YGR031W	NA
28	4OHBenzoicAcid	YJL037W	NA
29	4OHBenzoicAcid	YKL097C	NA
30	4OHBenzoicAcid	YOR381W	NA
31	4OHBenzoicAcid	YLR407W	NA
32	4OHBenzoicAcid	YOR371C	NA
33	4OHBenzoicAcid	YDR458C	NA
34	4OHBenzoicAcid	YOR238W	NA
35	4OHBenzoicAcid	YDR080W	NA
36	4OHBenzoicAcid	YGL254W	NA
37	4OHBenzoicAcid	YMR127C	NA
38	4OHBenzoicAcid	YBR219C	NA
39	4OHBenzoicAcid	YJR127C	NA
40	4OHBenzoicAcid	YER066C-A	NA
41	4OHBenzoicAcid	YNL077W	NA
42	4OHBenzoicAcid	YFL056C	NA
43	4OHBenzoicAcid	YNL224C	NA
44	4OHBenzoicAcid	YOL039W	NA
45	4OHBenzoicAcid	YGR079W	NA
46	4OHBenzoicAcid	YMR255W	NA
47	4OHBenzoicAcid	YOR033C	NA
48	4OHBenzoicAcid	YLL054C	NA
49	4OHBenzoicAcid	YIL057C	NA
50	4OHBenzoicAcid	YJR108W	NA
51	4OHBenzoicAcid	YBL049W	NA
52	4OHBenzoicAcid	YIL137C	NA
53	4OHBenzoicAcid	YNL030W	NA
54	4OHBenzoicAcid	YEL008W	NA
55	4OHBenzoicAcid	YBR137W	NA
56	4OHBenzoicAcid	YNR020C	NA
57	4OHBenzoicAcid	YOL054W	NA
58	4OHBenzoicAcid	YER175C	NA
59	4OHBenzoicAcid	YGR118W	NA
60	4OHBenzoicAcid	YEL012W	NA
61	4OHBenzoicAcid	YCR077C	NA
62	4OHBenzoicAcid	YML048W	NA
63	4OHBenzoicAcid	YOR325W	NA
64	4OHBenzoicAcid	YOL048C	NA
65	4OHBenzoicAcid	YKL191W	NA
66	4OHBenzoicAcid	YOR311C	NA
67	4OHBenzoicAcid	YDL199C	NA
68	4OHBenzoicAcid	YOR343C	NA
69	4OHBenzoicAcid	YER007C-A	NA
70	4OHBenzoicAcid	YDR020C	NA
71	4OHBenzoicAcid	YIL098C	NA
72	4OHBenzoicAcid	YFL034W	NA
73	4OHBenzoicAcid	YJL123C	NA
74	4OHBenzoicAcid	YBR172C	NA
75	4OHBenzoicAcid	YPR115W	NA
76	4OHBenzoicAcid	YNL335W	NA
77	4OHBenzoicAcid	YGL066W	NA
78	4OHBenzoicAcid	YBR216C	NA
79	4OHBenzoicAcid	YPL213W	NA
80	4OHBenzoicAcid	YIL059C	NA
81	4OHBenzoicAcid	YMR048W	NA
82	4OHBenzoicAcid	YPL111W	NA
83	4OHBenzoicAcid	YNL024C	NA
84	4OHBenzoicAcid	YGR087C	NA
85	4OHBenzoicAcid	YAR027W	NA
86	4OHBenzoicAcid	YNL241C	NA
87	4OHBenzoicAcid	YDR111C	NA
88	4OHBenzoicAcid	YLL001W	NA
89	4OHBenzoicAcid	YLL028W	NA
90	4OHBenzoicAcid	YOR104W	NA
91	4OHBenzoicAcid	YOR264W	NA
92	4OHBenzoicAcid	YOL028C	NA
93	4OHBenzoicAcid	YHR087W	NA
94	4OHBenzoicAcid	YMR006C	NA
95	4OHBenzoicAcid	YNL167C	NA
96	4OHBenzoicAcid	YBR022W	NA
97	4OHBenzoicAcid	YDL210W	NA
