Inhibitor	Significant_up_deletions	Significant_down_deletions
1	BenzoicAcid	YDR133C	YKL105C
2	BenzoicAcid	YKL116C	YDL136W
3	BenzoicAcid	YLR194C	YML036W
4	BenzoicAcid	YGR188C	YEL003W
5	BenzoicAcid	YJR083C	YDL236W
6	BenzoicAcid	YPL197C	YAR003W
7	BenzoicAcid	YHR073W	YHR115C
8	BenzoicAcid	YFR046C	YKL071W
9	BenzoicAcid	YLR425W	YNL116W
10	BenzoicAcid	YOR328W	YOR124C
11	BenzoicAcid	YOR286W	YLR392C
12	BenzoicAcid	YOL153C	YMR246W
13	BenzoicAcid	YML058C-A	YPL164C
14	BenzoicAcid	YDL173W	YJR043C
15	BenzoicAcid	YBR028C	YMR167W
16	BenzoicAcid	YDR493W	YKR098C
17	BenzoicAcid	YOR219C	YOR279C
18	BenzoicAcid	YHR079C	YDR528W
19	BenzoicAcid	YER188W	YGR268C
20	BenzoicAcid	YKR016W	YHR093W
21	BenzoicAcid	YDL142C	YJL046W
22	BenzoicAcid	YJL206C-A	YJL065C
23	BenzoicAcid	YLR107W	YKL140W
24	BenzoicAcid	YGL096W	YJL136C
25	BenzoicAcid	YOL113W	YJL171C
26	BenzoicAcid	YGL086W	YIL128W
27	BenzoicAcid	YGL138C	YCL042W
28	BenzoicAcid	YJR094C	YMR127C
29	BenzoicAcid	YPL113C	YCR062W
30	BenzoicAcid	YNL293W	YDL071C
31	BenzoicAcid	YOR209C	YHR057C
32	BenzoicAcid	YLR348C	YHR206W
33	BenzoicAcid	YNL230C	YGL263W
34	BenzoicAcid	YML059C	YOL124C
35	BenzoicAcid	YOR026W	YLR255C
36	BenzoicAcid	YER186C	YPR118W
37	BenzoicAcid	YLR094C	YIL113W
38	BenzoicAcid	YOR192C	YDR134C
39	BenzoicAcid	YGL228W	YER038W-A
40	BenzoicAcid	YMR306C-A	YJR099W
41	BenzoicAcid	YHR001W-A	YOL013W-A
42	BenzoicAcid	YML012W	YGR243W
43	BenzoicAcid	YDR108W	YGL126W
44	BenzoicAcid	YBR024W	YLR056W
45	BenzoicAcid	YBR250W	YOL084W
46	BenzoicAcid	YCL028W	YLR046C
47	BenzoicAcid	YFR044C	YOL031C
48	BenzoicAcid	YLR048W	YOR086C
49	BenzoicAcid	NA	YPL177C
50	BenzoicAcid	NA	YNL092W
51	BenzoicAcid	NA	YOR354C
