Inhibitor	Significant_up_deletions	Significant_down_deletions
1	Syringaldehyde	YBR263W	YCR034W
2	Syringaldehyde	YOL137W	YKL068W
3	Syringaldehyde	YDL078C	YIR029W
4	Syringaldehyde	YOR351C	YMR279C
5	Syringaldehyde	YNR028W	YLR351C
6	Syringaldehyde	YOR051C	YIL097W
7	Syringaldehyde	YDL188C	YFL030W
8	Syringaldehyde	YER075C	YDR441C
9	Syringaldehyde	YGL084C	YNL012W
10	Syringaldehyde	YJR147W	YNL014W
11	Syringaldehyde	YDR125C	YOL158C
12	Syringaldehyde	YBR062C	YGL230C
13	Syringaldehyde	YOR087W	YPR158W
14	Syringaldehyde	YEL068C	YOR252W
15	Syringaldehyde	YGR189C	YGR037C
16	Syringaldehyde	YHR082C	YGL147C
17	Syringaldehyde	YJL178C	YIL074C
18	Syringaldehyde	YLR150W	YOR107W
19	Syringaldehyde	YFR007W	YDR414C
20	Syringaldehyde	YER151C	YLR451W
21	Syringaldehyde	YBR071W	YMR141C
22	Syringaldehyde	YML053C	YNL079C
23	Syringaldehyde	YKL103C	YLR049C
24	Syringaldehyde	YJL153C	YCL046W
25	Syringaldehyde	YNL098C	YER056C-A
26	Syringaldehyde	YMR129W	YGR213C
27	Syringaldehyde	YGL010W	YIL112W
28	Syringaldehyde	YLR344W	YMR075W
29	Syringaldehyde	YNR075W	YEL038W
30	Syringaldehyde	YMR111C	YHR125W
31	Syringaldehyde	YPL197C	YGL156W
32	Syringaldehyde	YOL122C	YER065C
33	Syringaldehyde	YER142C	YIL023C
34	Syringaldehyde	YLR218C	YJL101C
35	Syringaldehyde	YDR209C	YKL200C
36	Syringaldehyde	YIR039C	YDR335W
37	Syringaldehyde	YDL121C	YDR319C
38	Syringaldehyde	YLR239C	YKL216W
39	Syringaldehyde	YDR535C	YMR302C
40	Syringaldehyde	YNL122C	YLR219W
41	Syringaldehyde	YOL089C	YJR096W
42	Syringaldehyde	YGL164C	YEL023C
43	Syringaldehyde	YLR112W	YDR326C
44	Syringaldehyde	YNL301C	YFL003C
45	Syringaldehyde	YOR354C	YHR153C
46	Syringaldehyde	YJL084C	YOR154W
47	Syringaldehyde	YBR286W	YGL177W
48	Syringaldehyde	YMR194C-A	YHL013C
49	Syringaldehyde	YCR053W	YLR388W
50	Syringaldehyde	YOL049W	YBR010W
51	Syringaldehyde	YBR295W	YGL046W
52	Syringaldehyde	YMR278W	YDL093W
53	Syringaldehyde	YLR421C	YDR360W
54	Syringaldehyde	YJR050W	YDR156W
55	Syringaldehyde	YNL095C	YER064C
56	Syringaldehyde	YKL077W	YDR363W
57	Syringaldehyde	YOL155C	YBR125C
58	Syringaldehyde	YBL052C	YDR119W
59	Syringaldehyde	YJR103W	YDR100W
60	Syringaldehyde	YDR030C	YLR455W
61	Syringaldehyde	YGR096W	YDR340W
62	Syringaldehyde	YOR034C	YDR123C
63	Syringaldehyde	YLL051C	YOR349W
64	Syringaldehyde	YNL237W	YER185W
65	Syringaldehyde	YMR009W	YDR051C
66	Syringaldehyde	YOR238W	YER164W
67	Syringaldehyde	YOR047C	YDR491C
68	Syringaldehyde	YGL023C	YPR191W
69	Syringaldehyde	YLR360W	YLL019C
70	Syringaldehyde	YOR363C	YKL100C
71	Syringaldehyde	YOL043C	YPL033C
72	Syringaldehyde	YNR060W	YGL101W
73	Syringaldehyde	YER038W-A	YOR345C
74	Syringaldehyde	YBR210W	YLR289W
75	Syringaldehyde	YCL039W	YHL020C
76	Syringaldehyde	YBR022W	YLR337C
77	Syringaldehyde	YNL249C	YCR081W
78	Syringaldehyde	YML036W	YHR135C
79	Syringaldehyde	YGL232W	YGR109C
80	Syringaldehyde	YDR320C	YKL039W
81	Syringaldehyde	YBR239C	NA
82	Syringaldehyde	YER118C	NA
83	Syringaldehyde	YLL052C	NA
84	Syringaldehyde	YDR142C	NA
85	Syringaldehyde	YOR091W	NA
86	Syringaldehyde	YPL223C	NA
87	Syringaldehyde	YBR045C	NA
88	Syringaldehyde	YLR454W	NA
89	Syringaldehyde	YKL075C	NA
90	Syringaldehyde	YOR153W	NA
91	Syringaldehyde	YPL249C	NA
92	Syringaldehyde	YJL028W	NA
93	Syringaldehyde	YDR451C	NA
94	Syringaldehyde	YCL025C	NA
95	Syringaldehyde	YMR232W	NA
96	Syringaldehyde	YLR017W	NA
