Inhibitor	Significant_up_deletions	Significant_down_deletions
1	Vanillin	YLR313C	YMR075C-A
2	Vanillin	YPL073C	YGR077C
3	Vanillin	YIL009C-A	YDL026W
4	Vanillin	YAR044W	YGR268C
5	Vanillin	YPR118W	YKR040C
6	Vanillin	YGR289C	YGL234W
7	Vanillin	YDL134C	YOL039W
8	Vanillin	YGL031C	YGL062W
9	Vanillin	YER176W	YCR102W-A
10	Vanillin	YDR001C	YBR203W
11	Vanillin	YCR059C	YJR094C
12	Vanillin	YDR266C	YBR206W
13	Vanillin	YGR223C	YBR082C
14	Vanillin	YMR116C	YDR400W
15	Vanillin	YOL084W	YJL098W
16	Vanillin	YOR124C	YPR189W
17	Vanillin	YOR270C	YOR068C
18	Vanillin	YKL007W	YGL043W
19	Vanillin	YOR280C	YKR035W-A
20	Vanillin	YML005W	YDL011C
21	Vanillin	YER090W	YEL067C
22	Vanillin	YNL076W	YBR014C
23	Vanillin	YDR046C	YMR019W
24	Vanillin	YCR027C	YLR098C
25	Vanillin	YNR041C	YNL236W
26	Vanillin	YDL218W	YHR143W
27	Vanillin	YDR165W	YBR092C
28	Vanillin	YBR041W	YIL094C
29	Vanillin	YOL114C	YMR023C
30	Vanillin	YNR015W	YBR264C
31	Vanillin	YNL072W	YHR138C
32	Vanillin	YKR058W	YJL208C
33	Vanillin	YLR219W	YDL180W
34	Vanillin	YOL108C	YNL274C
35	Vanillin	YDR119W	YBL102W
36	Vanillin	YER106W	YNL064C
37	Vanillin	YML051W	YNL099C
38	Vanillin	YKL162C	YDR184C
39	Vanillin	YNL165W	YEL004W
40	Vanillin	YMR034C	YBL015W
41	Vanillin	YMR302C	YOR376W
42	Vanillin	YGL162W	YLR216C
43	Vanillin	YHR111W	YLR428C
44	Vanillin	YGL219C	YJL021C
45	Vanillin	YPL239W	YNR061C
46	Vanillin	YGR287C	YJR008W
47	Vanillin	YDR144C	YLL016W
48	Vanillin	YGR034W	YCR095C
49	Vanillin	YDR436W	YOR348C
50	Vanillin	YNL206C	YGR249W
51	Vanillin	YDR475C	YBR199W
52	Vanillin	YMR143W	YMR182C
53	Vanillin	YGL037C	YNL034W
54	Vanillin	YLR346C	YBR224W
55	Vanillin	YPL114W	YGR068C
56	Vanillin	YLR351C	YMR176W
57	Vanillin	YDR019C	YNL119W
58	Vanillin	YDR117C	YNR004W
59	Vanillin	YDR004W	YGR212W
60	Vanillin	YKL015W	YGL009C
61	Vanillin	YMR205C	YJL123C
62	Vanillin	YKL005C	YMR137C
63	Vanillin	YPL256C	YKL001C
64	Vanillin	YJL186W	YBR258C
65	Vanillin	YBR090C-A	YLR057W
66	Vanillin	YPL096W	YML057W
67	Vanillin	YOL068C	YIL042C
68	Vanillin	YHL031C	YOR131C
69	Vanillin	YIL123W	YHR139C-A
70	Vanillin	YGR146C	YJL149W
71	Vanillin	YGL049C	YBR100W
72	Vanillin	YDL223C	YFL055W
73	Vanillin	YHL034C	YOL015W
74	Vanillin	YCL038C	YKR053C
75	Vanillin	YJR051W	YEL017C-A
76	Vanillin	YBR022W	YDL131W
77	Vanillin	YOL152W	YMR206W
78	Vanillin	YPL155C	YJL119C
79	Vanillin	YPL022W	YHR207C
80	Vanillin	YMR310C	YIL133C
81	Vanillin	YMR106C	YCR073W-A
82	Vanillin	YOL056W	YLR217W
83	Vanillin	YBL106C	YKL120W
84	Vanillin	YJR060W	YHL040C
85	Vanillin	YFL012W	YML117W-A
86	Vanillin	YER134C	YOL037C
87	Vanillin	YLR136C	YJL146W
88	Vanillin	YPL195W	YGR043C
89	Vanillin	YOL041C	YFL048C
90	Vanillin	YBR161W	NA
91	Vanillin	YPL056C	NA
92	Vanillin	YDR241W	NA
93	Vanillin	YPL189W	NA
94	Vanillin	YBR126C	NA
95	Vanillin	YBR077C	NA
