Inhibitor	Significant_up_deletions	Significant_down_deletions
1	22Dipyridyl	YGR157W	YNL081C
2	22Dipyridyl	YDL172C	YBL005W
3	22Dipyridyl	YIR005W	YNR041C
4	22Dipyridyl	YCR077C	YNL273W
5	22Dipyridyl	YJL177W	YPR191W
6	22Dipyridyl	YCR034W	YBR266C
7	22Dipyridyl	YKL139W	YJL071W
8	22Dipyridyl	YDR475C	YDR393W
9	22Dipyridyl	YJL101C	YGL154C
10	22Dipyridyl	YPL183C	YGR101W
11	22Dipyridyl	YER083C	YPR173C
12	22Dipyridyl	YDR378C	YOL095C
13	22Dipyridyl	YNL153C	YGL010W
14	22Dipyridyl	YHR081W	YGR188C
15	22Dipyridyl	YMR269W	YLR239C
16	22Dipyridyl	YGR014W	YCR028C-A
17	22Dipyridyl	YKL046C	YPL178W
18	22Dipyridyl	YLR315W	YBR115C
19	22Dipyridyl	YGR224W	YGL004C
20	22Dipyridyl	YLR386W	YML001W
21	22Dipyridyl	YKR040C	YDR007W
22	22Dipyridyl	YMR116C	YCR071C
23	22Dipyridyl	YJR075W	YDR004W
24	22Dipyridyl	YNL147W	YOR221C
25	22Dipyridyl	YHR129C	YJL046W
26	22Dipyridyl	YMR060C	YGR032W
27	22Dipyridyl	YGR181W	YBR248C
28	22Dipyridyl	YBR077C	YIL094C
29	22Dipyridyl	YJL124C	YDR019C
30	22Dipyridyl	YNL198C	YIL020C
31	22Dipyridyl	NA	YNL003C
32	22Dipyridyl	NA	YGR022C
33	22Dipyridyl	NA	YGL009C
34	22Dipyridyl	NA	YGL017W
35	22Dipyridyl	NA	YDL013W
36	22Dipyridyl	NA	YPL172C
37	22Dipyridyl	NA	YOR125C
38	22Dipyridyl	NA	YDL006W
39	22Dipyridyl	NA	YDR276C
40	22Dipyridyl	NA	YDL001W
41	22Dipyridyl	NA	YDL002C
42	22Dipyridyl	NA	YDR006C
43	22Dipyridyl	NA	YHR018C
44	22Dipyridyl	NA	YHR134W
45	22Dipyridyl	NA	YKR101W
46	22Dipyridyl	NA	YGL005C
47	22Dipyridyl	NA	YBR113W
48	22Dipyridyl	NA	YDL012C
49	22Dipyridyl	NA	YBR005W
50	22Dipyridyl	NA	YOL009C
51	22Dipyridyl	NA	YLL048C
52	22Dipyridyl	NA	YBR130C
53	22Dipyridyl	NA	YLR413W
54	22Dipyridyl	NA	YOR338W
55	22Dipyridyl	NA	YGL036W
56	22Dipyridyl	NA	YHL035C
57	22Dipyridyl	NA	YMR289W
58	22Dipyridyl	NA	YBL017C
59	22Dipyridyl	NA	YGR149W
60	22Dipyridyl	NA	YHL028W
61	22Dipyridyl	NA	YKL211C
62	22Dipyridyl	NA	YIL057C
63	22Dipyridyl	NA	YBR283C
64	22Dipyridyl	NA	YLR055C
65	22Dipyridyl	NA	YGR136W
66	22Dipyridyl	NA	YKR087C
67	22Dipyridyl	NA	YEL010W
68	22Dipyridyl	NA	YPL015C
69	22Dipyridyl	NA	YMR031W-A
70	22Dipyridyl	NA	YGL146C
71	22Dipyridyl	NA	YDR005C
72	22Dipyridyl	NA	YMR310C
73	22Dipyridyl	NA	YNL334C
74	22Dipyridyl	NA	YDR139C
75	22Dipyridyl	NA	YGL198W
76	22Dipyridyl	NA	YMR326C
77	22Dipyridyl	NA	YHR157W
78	22Dipyridyl	NA	YMR044W
79	22Dipyridyl	NA	YCR073W-A
80	22Dipyridyl	NA	YML099C
81	22Dipyridyl	NA	YLR187W
82	22Dipyridyl	NA	YDR346C
83	22Dipyridyl	NA	YJL149W
84	22Dipyridyl	NA	YOR209C
85	22Dipyridyl	NA	YPL038W
86	22Dipyridyl	NA	YGR069W
87	22Dipyridyl	NA	YBL029W
88	22Dipyridyl	NA	YMR030W
89	22Dipyridyl	NA	YGR106C
90	22Dipyridyl	NA	YBR056W
91	22Dipyridyl	NA	YNL196C
92	22Dipyridyl	NA	YGL002W
93	22Dipyridyl	NA	YML035C
94	22Dipyridyl	NA	YJR100C
95	22Dipyridyl	NA	YDL240W
96	22Dipyridyl	NA	YKR064W
97	22Dipyridyl	NA	YJR120W
98	22Dipyridyl	NA	YDR207C
99	22Dipyridyl	NA	YJR053W
100	22Dipyridyl	NA	YOR033C
101	22Dipyridyl	NA	YDR093W
102	22Dipyridyl	NA	YKL107W
103	22Dipyridyl	NA	YDL114W
104	22Dipyridyl	NA	YER066W
105	22Dipyridyl	NA	YAR003W
106	22Dipyridyl	NA	YKL212W
107	22Dipyridyl	NA	YER097W
108	22Dipyridyl	NA	YPR172W
109	22Dipyridyl	NA	YLR036C
110	22Dipyridyl	NA	YNL058C
111	22Dipyridyl	NA	YDL127W
112	22Dipyridyl	NA	YDL162C
113	22Dipyridyl	NA	YJR139C
114	22Dipyridyl	NA	YCL027W
115	22Dipyridyl	NA	YLR443W
116	22Dipyridyl	NA	YBR114W
117	22Dipyridyl	NA	YGL148W
118	22Dipyridyl	NA	YLR064W
119	22Dipyridyl	NA	YKL216W
120	22Dipyridyl	NA	YDR490C
