Inhibitor	Significant_up_deletions	Significant_down_deletions
1	Acetovanillone	YER092W	YJR140C
2	Acetovanillone	YOR106W	YIL160C
3	Acetovanillone	YCL063W	YOL116W
4	Acetovanillone	YIL020C	YDL070W
5	Acetovanillone	YBR266C	YHL031C
6	Acetovanillone	YHR018C	YEL037C
7	Acetovanillone	YIL148W	YNL293W
8	Acetovanillone	YKL124W	YAL024C
9	Acetovanillone	YGL007W	YBR231C
10	Acetovanillone	YDR006C	YDR033W
11	Acetovanillone	YGL105W	YAL011W
12	Acetovanillone	YOR304W	YCL010C
13	Acetovanillone	YEL063C	YLR085C
14	Acetovanillone	YGL212W	YER164W
15	Acetovanillone	YMR143W	YDR485C
16	Acetovanillone	YOL095C	YOL006C
17	Acetovanillone	YKL057C	YOL124C
18	Acetovanillone	YPL101W	YLR426W
19	Acetovanillone	YDR393W	YDR334W
20	Acetovanillone	YBR291C	YER056C-A
21	Acetovanillone	YGL005C	YJR087W
22	Acetovanillone	YKR035W-A	YJR135C
23	Acetovanillone	YBR082C	YLR055C
24	Acetovanillone	YBR115C	YLL025W
25	Acetovanillone	YIL094C	YBR164C
26	Acetovanillone	YJL071W	YOL012C
27	Acetovanillone	YDL013W	YPR119W
28	Acetovanillone	YBR005W	YOR038C
29	Acetovanillone	YPR173C	YML071C
30	Acetovanillone	YGR089W	YKL006W
31	Acetovanillone	YPL095C	YGL054C
32	Acetovanillone	YGR032W	YOL081W
33	Acetovanillone	YJL120W	YOL055C
34	Acetovanillone	YGR208W	YCR088W
35	Acetovanillone	YFL013C	YGR058W
36	Acetovanillone	YDL142C	YOL129W
37	Acetovanillone	YIR033W	NA
38	Acetovanillone	YOL050C	NA
39	Acetovanillone	YDR019C	NA
40	Acetovanillone	YMR039C	NA
41	Acetovanillone	YJR118C	NA
42	Acetovanillone	YNL003C	NA
43	Acetovanillone	YGL017W	NA
44	Acetovanillone	YOR070C	NA
45	Acetovanillone	YGL136C	NA
46	Acetovanillone	YPL026C	NA
47	Acetovanillone	YDR289C	NA
48	Acetovanillone	YDR007W	NA
49	Acetovanillone	YNR041C	NA
50	Acetovanillone	YDL006W	NA
51	Acetovanillone	YDL002C	NA
52	Acetovanillone	YNL235C	NA
53	Acetovanillone	YDL096C	NA
54	Acetovanillone	YGL009C	NA
55	Acetovanillone	YKL212W	NA
56	Acetovanillone	YDR126W	NA
57	Acetovanillone	YOR221C	NA
58	Acetovanillone	YDR011W	NA
59	Acetovanillone	YDR477W	NA
60	Acetovanillone	YGR022C	NA
61	Acetovanillone	YGL010W	NA
62	Acetovanillone	YGL154C	NA
63	Acetovanillone	YGL115W	NA
64	Acetovanillone	YPL178W	NA
65	Acetovanillone	YDL001W	NA
66	Acetovanillone	YOR233W	NA
67	Acetovanillone	YGR184C	NA
68	Acetovanillone	YDR276C	NA
69	Acetovanillone	YHR021C	NA
70	Acetovanillone	YCR028C-A	NA
71	Acetovanillone	YMR294W	NA
72	Acetovanillone	YGL015C	NA
73	Acetovanillone	YDL081C	NA
74	Acetovanillone	YBR248C	NA
75	Acetovanillone	YOR125C	NA
76	Acetovanillone	YER119C-A	NA
77	Acetovanillone	YGR055W	NA
78	Acetovanillone	YBR118W	NA
79	Acetovanillone	YDR120C	NA
80	Acetovanillone	YDR004W	NA
81	Acetovanillone	YJL046W	NA
82	Acetovanillone	YLR427W	NA
83	Acetovanillone	YDR213W	NA
84	Acetovanillone	YDR158W	NA
85	Acetovanillone	YDR174W	NA
86	Acetovanillone	YBR113W	NA
87	Acetovanillone	YLR392C	NA
88	Acetovanillone	YHR082C	NA
89	Acetovanillone	YPL158C	NA
