Inhibitor	Significant_up_deletions	Significant_down_deletions
1	BMIMCl	YHL031C	YDR090C
2	BMIMCl	YAL023C	YNL273W
3	BMIMCl	YGL105W	YNL081C
4	BMIMCl	YCR034W	YLR237W
5	BMIMCl	YLR371W	YJL046W
6	BMIMCl	YIL076W	YCR071C
7	BMIMCl	YMR143W	YCR028C-A
8	BMIMCl	YJL004C	YBL005W
9	BMIMCl	YEL063C	YPR191W
10	BMIMCl	YGR184C	YLR239C
11	BMIMCl	YDR455C	YGR101W
12	BMIMCl	YGR224W	YBR266C
13	BMIMCl	YJL101C	YGL154C
14	BMIMCl	YPL120W	YOL095C
15	BMIMCl	YOR091W	YDR393W
16	BMIMCl	YOR069W	YML001W
17	BMIMCl	YLR315W	YNR041C
18	BMIMCl	YNL199C	YPR173C
19	BMIMCl	YJL120W	YDR007W
20	BMIMCl	YMR307W	YDR019C
21	BMIMCl	YBR289W	YDL002C
22	BMIMCl	YOR039W	YIL094C
23	BMIMCl	YOL029C	YPL178W
24	BMIMCl	YPL051W	YGR032W
25	BMIMCl	NA	YNL003C
26	BMIMCl	NA	YJL071W
27	BMIMCl	NA	YGL010W
28	BMIMCl	NA	YBR248C
29	BMIMCl	NA	YDR004W
30	BMIMCl	NA	YGL004C
31	BMIMCl	NA	YPL172C
32	BMIMCl	NA	YDR310C
33	BMIMCl	NA	YOR221C
34	BMIMCl	NA	YOL068C
35	BMIMCl	NA	YGR022C
36	BMIMCl	NA	YDL006W
37	BMIMCl	NA	YOR279C
38	BMIMCl	NA	YBR115C
39	BMIMCl	NA	YDL013W
40	BMIMCl	NA	YJR087W
41	BMIMCl	NA	YDL119C
42	BMIMCl	NA	YGR188C
43	BMIMCl	NA	YLR426W
44	BMIMCl	NA	YMR021C
45	BMIMCl	NA	YDR276C
46	BMIMCl	NA	YGL009C
47	BMIMCl	NA	YGL017W
48	BMIMCl	NA	YOR125C
49	BMIMCl	NA	YCR008W
50	BMIMCl	NA	YDL001W
51	BMIMCl	NA	YOL009C
52	BMIMCl	NA	YIL020C
53	BMIMCl	NA	YKR065C
54	BMIMCl	NA	YGL005C
55	BMIMCl	NA	YNL099C
56	BMIMCl	NA	YPR138C
57	BMIMCl	NA	YDL012C
58	BMIMCl	NA	YDR006C
59	BMIMCl	NA	YHL035C
60	BMIMCl	NA	YER011W
61	BMIMCl	NA	YCR079W
62	BMIMCl	NA	YNL291C
63	BMIMCl	NA	YKR003W
64	BMIMCl	NA	YML072C
65	BMIMCl	NA	YHR018C
66	BMIMCl	NA	YML016C
67	BMIMCl	NA	YLR328W
68	BMIMCl	NA	YKL215C
69	BMIMCl	NA	YHR134W
70	BMIMCl	NA	YPL099C
71	BMIMCl	NA	YDR005C
72	BMIMCl	NA	YML099C
73	BMIMCl	NA	YKL214C
74	BMIMCl	NA	YPR172W
75	BMIMCl	NA	YGL036W
76	BMIMCl	NA	YKR066C
77	BMIMCl	NA	YOR005C
78	BMIMCl	NA	YFL014W
79	BMIMCl	NA	YKL211C
80	BMIMCl	NA	YML027W
81	BMIMCl	NA	YCL027W
82	BMIMCl	NA	YLR053C
83	BMIMCl	NA	YDR093W
84	BMIMCl	NA	YER097W
85	BMIMCl	NA	YHL036W
86	BMIMCl	NA	YGR256W
87	BMIMCl	NA	YLR154C
88	BMIMCl	NA	YOL071W
89	BMIMCl	NA	YIR039C
90	BMIMCl	NA	YLR081W
