Inhibitor	Significant_up_deletions	Significant_down_deletions
1	BenzoicAcid	YDR156W	YDL119C
2	BenzoicAcid	YMR289W	YML048W
3	BenzoicAcid	YJR087W	YPL058C
4	BenzoicAcid	YJR014W	YJR137C
5	BenzoicAcid	YNL147W	YHL003C
6	BenzoicAcid	YPR115W	YEL063C
7	BenzoicAcid	YGR040W	YGL253W
8	BenzoicAcid	YOR189W	YNL323W
9	BenzoicAcid	YGL085W	YPL206C
10	BenzoicAcid	YOR111W	YAL023C
11	BenzoicAcid	YMR138W	YBR209W
12	BenzoicAcid	YDR352W	YOL162W
13	BenzoicAcid	YMR100W	YIL090W
14	BenzoicAcid	YDR058C	YIR033W
15	BenzoicAcid	YHR014W	YER183C
16	BenzoicAcid	YDR202C	YIR043C
17	BenzoicAcid	YMR025W	YOL158C
18	BenzoicAcid	YLR154C	YNL309W
19	BenzoicAcid	YJR150C	YJR073C
20	BenzoicAcid	YKL096W-A	YFR024C-A
21	BenzoicAcid	YOR153W	YML121W
22	BenzoicAcid	YHR140W	YNR015W
23	BenzoicAcid	YKL032C	YJL083W
24	BenzoicAcid	YPL162C	YFR012W
25	BenzoicAcid	YKL139W	YOR304W
26	BenzoicAcid	YDR174W	YJR066W
27	BenzoicAcid	YGR078C	YBR126C
28	BenzoicAcid	YBR048W	YPL149W
29	BenzoicAcid	YER139C	YPR123C
30	BenzoicAcid	YKR097W	YKL046C
31	BenzoicAcid	YGR097W	YBL067C
32	BenzoicAcid	YGL023C	YMR143W
33	BenzoicAcid	YNL278W	YDR435C
34	BenzoicAcid	YML016C	YDL020C
35	BenzoicAcid	YGR182C	YKL027W
36	BenzoicAcid	YDR378C	YLR372W
37	BenzoicAcid	YOR101W	YNR006W
38	BenzoicAcid	YDR383C	YGR157W
39	BenzoicAcid	YNL041C	YHL025W
40	BenzoicAcid	YLR392C	YLL002W
41	BenzoicAcid	YDR146C	YFL001W
42	BenzoicAcid	YEL011W	YJL169W
43	BenzoicAcid	YNL194C	YOR089C
44	BenzoicAcid	YLR110C	YDR024W
45	BenzoicAcid	YLR448W	YBR171W
46	BenzoicAcid	YDR120C	YBR289W
47	BenzoicAcid	YLR216C	YDR213W
48	BenzoicAcid	YGR001C	YIL112W
49	BenzoicAcid	NA	YLR412W
50	BenzoicAcid	NA	YER016W
51	BenzoicAcid	NA	YPL191C
