Inhibitor	Significant_up_deletions	Significant_down_deletions
1	GVL	YOR165W	YAL024C
2	GVL	YNR030W	YCR076C
3	GVL	YLL045C	YOL124C
4	GVL	YOR251C	YIL066C
5	GVL	YMR216C	YIL076W
6	GVL	YDL083C	YFL031W
7	GVL	YNL089C	YLL025W
8	GVL	YIL133C	YIL160C
9	GVL	YOL050C	YOL116W
10	GVL	YJL120W	YGL244W
11	GVL	YMR039C	YDR452W
12	GVL	YIL053W	YIL079C
13	GVL	YLR061W	YNL098C
14	GVL	YDL082W	YDR035W
15	GVL	YPL079W	YDR435C
16	GVL	YHR081W	YML111W
17	GVL	YBR084C-A	YPR119W
18	GVL	NA	YCR088W
19	GVL	NA	YHL031C
20	GVL	NA	YDR033W
21	GVL	NA	YBR229C
22	GVL	NA	YML124C
23	GVL	NA	YDR503C
24	GVL	NA	YER155C
25	GVL	NA	YMR255W
26	GVL	NA	YIL043C
27	GVL	NA	YIL012W
28	GVL	NA	YDL119C
29	GVL	NA	YHL025W
30	GVL	NA	YML003W
31	GVL	NA	YDR293C
32	GVL	NA	YIR033W
33	GVL	NA	YLR021W
34	GVL	NA	YHR079C
35	GVL	NA	YDR252W
36	GVL	NA	YLR182W
37	GVL	NA	YER178W
38	GVL	NA	YDR354W
39	GVL	NA	YLR315W
40	GVL	NA	YOR067C
41	GVL	NA	YLL057C
42	GVL	NA	YKL190W
43	GVL	NA	YGR058W
44	GVL	NA	YOL035C
45	GVL	NA	YBR016W
46	GVL	NA	YJL004C
47	GVL	NA	YOL083W
48	GVL	NA	YLR049C
49	GVL	NA	YNL153C
50	GVL	NA	YGR170W
51	GVL	NA	YLR381W
52	GVL	NA	YLR056W
53	GVL	NA	YOL112W
54	GVL	NA	YML071C
55	GVL	NA	YER090W
56	GVL	NA	YFR040W
57	GVL	NA	YPL161C
58	GVL	NA	YPL105C
59	GVL	NA	YJR033C
60	GVL	NA	YDR455C
61	GVL	NA	YOL129W
62	GVL	NA	YHR095W
63	GVL	NA	YLR125W
64	GVL	NA	YFR056C
65	GVL	NA	YGL054C
66	GVL	NA	YML066C
67	GVL	NA	YBR164C
68	GVL	NA	YBR036C
69	GVL	NA	YDR147W
70	GVL	NA	YBR078W
71	GVL	NA	YJR073C
72	GVL	NA	YDR162C
73	GVL	NA	YFL032W
74	GVL	NA	YEL061C
75	GVL	NA	YBR134W
76	GVL	NA	YDR222W
77	GVL	NA	YLR374C
78	GVL	NA	YGL027C
79	GVL	NA	YNL027W
80	GVL	NA	YDR123C
81	GVL	NA	YLR371W
82	GVL	NA	YLR412W
83	GVL	NA	YLR102C
84	GVL	NA	YGL219C
85	GVL	NA	YJL062W
86	GVL	NA	YDR108W
87	GVL	NA	YMR241W
88	GVL	NA	YKR035W-A
89	GVL	NA	YOR091W
90	GVL	NA	YMR036C
91	GVL	NA	YLR211C
92	GVL	NA	YGR157W
93	GVL	NA	YIL107C
94	GVL	NA	YFR024C-A
95	GVL	NA	YDR424C
96	GVL	NA	YGL023C
97	GVL	NA	YLR015W
98	GVL	NA	YPL120W
99	GVL	NA	YGR229C
100	GVL	NA	YBL027W
101	GVL	NA	YEL063C
102	GVL	NA	YLR426W
103	GVL	NA	YLR184W
104	GVL	NA	YER111C
105	GVL	NA	YLR217W
106	GVL	NA	YLR048W
107	GVL	NA	YLR024C
108	GVL	NA	YGR224W
109	GVL	NA	YGL105W
110	GVL	NA	YOR014W
111	GVL	NA	YOR068C
112	GVL	NA	YMR007W
113	GVL	NA	YML048W
114	GVL	NA	YKL101W
115	GVL	NA	YGR078C
116	GVL	NA	YJR054W
117	GVL	NA	YBL064C
