"gene"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"1"	"YAL002W"	0	0	0	0	0
"2"	"YAL004W"	0.649959456409369	8.38400974455174	32.6042878874284	0.000128952047686098	0.00258483655137076
"3"	"YAL005C"	0.717080482407353	8.49702165785949	43.9399111525589	3.46922158001989e-05	0.00125032147449606
"4"	"YAL007C"	0	0	0	0	0
"5"	"YAL008W"	0.157677317822984	8.67046592881878	2.97148649971613	0.112304514655925	0.204858133073794
"6"	"YAL010C"	-2.12599117647612	4.09398914140716	13.479990578864	0.00359556036484474	0.0166484730898669
"7"	"YAL011W"	-0.837312118982412	6.4529526851507	7.0192549137291	0.022370053874549	0.0613028818927734
"8"	"YAL013W"	-0.851260168965485	6.47154967327782	10.7384428861321	0.0072424422385616	0.0270586742483642
"9"	"YAL014C"	0.459619308254587	10.170607589328	14.4772229601392	0.00284621027770954	0.0142630312793085
"10"	"YAL015C"	-0.024966690286047	8.70094052853447	0.0545781242860556	0.81951120413949	0.874145284415456
"11"	"YAL017W"	-0.166520251460445	9.06276579627531	1.74651399624857	0.212772316660142	0.329684199717965
"12"	"YAL018C"	0.0418220248353207	9.20446822583504	0.0967927211201917	0.761448325326804	0.83173271169
"13"	"YAL019W"	-0.459133264445232	8.85110193111638	9.67099778455391	0.00977235721111712	0.0336077151355693
"14"	"YAL020C"	0.375791443191428	9.13601394430966	14.4189874110223	0.00288453213265705	0.0143743165493301
"15"	"YAL022C"	-0.108099107301351	8.65030175652743	0.863930467548743	0.372313381343118	0.502616021427259
"16"	"YAL023C"	0.12742945726503	8.80689292679215	0.447750691510001	0.517011268598008	0.636541134008866
"17"	"YAL024C"	0.206135546512338	9.51563716109186	3.06568501090083	0.107369611333009	0.198226160128424
"18"	"YAL026C"	-0.06463371649892	8.50999418050789	0.181133315781665	0.678494231053302	0.768715955872795
"19"	"YAL027W"	0.0148365860959024	8.76890968262991	0.0122403521187644	0.913869895900392	0.939950357040241
"20"	"YAL028W"	0.211721242177361	8.85569700157993	3.92981640622962	0.0726047291151877	0.146275366167696
"21"	"YAL029C"	-0.350505300803895	8.63642038502526	8.77009572018672	0.0127607414847346	0.0409445374258391
"22"	"YAL030W"	-0.400881753998871	8.74459107928842	15.9137637031914	0.002066978355712	0.0120901291363613
"23"	"YAL031C"	-0.52562161909097	8.33186224815514	15.2065645609177	0.00241384533138183	0.0131761535509357
"24"	"YAL034C"	0.391392802017094	9.43771698389822	12.5491874800206	0.00451479349108283	0.0191999799477754
"25"	"YAL036C"	0.258872612239536	9.12090465318453	7.20964331257468	0.0209810454382973	0.0586100222628988
"26"	"YAL037W"	-0.532006045895948	8.56219089657849	15.1703434942526	0.00243339393527651	0.0132164282312002
"27"	"YAL040C"	-1.06048394234947	0.654084001638617	0.276995583372048	0.611184509827335	0.716394983923762
"28"	"YAL042W"	0.428585112561596	8.70789215771112	19.3220467775609	0.00103527142561135	0.00763191827806056
"29"	"YAL043C-A"	-0.110376028236332	6.2333325220309	0.0497835702913864	0.827472547661256	0.879482290752268
"30"	"YAL045C"	-0.607207299633935	8.42740662196096	38.9594435322082	5.94765204769175e-05	0.00171138891178743
"31"	"YAL046C"	-0.422762679584808	9.26952270779309	14.4450271010576	0.00286732168007578	0.0143285766869893
"32"	"YAL048C"	-0.672820084578158	8.97508868020016	26.593173954082	0.000300821471089922	0.00388888046684362
"33"	"YAL049C"	-0.644659252482648	8.54183665389155	28.0071746701107	0.000243540721078351	0.00348634433222164
"34"	"YAL051W"	0.169956307902196	9.06466937695977	2.00722834553271	0.183861302421613	0.296437924555045
"35"	"YAL053W"	-0.55239193170949	7.95413746293699	12.718156105504	0.00432889179664022	0.0186991355089738
"36"	"YAL054C"	1.16911966777069	0.590821078451769	0.444569203390484	0.518475362213966	0.638123522724881
"37"	"YAL055W"	-0.138631700494392	8.1143519155074	1.28016714378517	0.281599861668929	0.40760580382748
"38"	"YAL056W"	0.175346296253323	9.07115616657883	1.82413350676208	0.20357761014126	0.319143797253581
"39"	"YAL058C-A"	0.442034586930004	9.69162438820484	14.0696589697308	0.00312767335004721	0.0152457032529322
"40"	"YAL058W"	0	0	0	0	0
"41"	"YAL059W"	0.60304953673013	8.85423429481239	15.5540433992799	0.00223545408588704	0.0127174557325589
"42"	"YAL060W"	0.0288788601601156	9.10615398670185	0.0636524441711044	0.805400754602492	0.865824010973694
"43"	"YAL061W"	-0.0966168598359159	9.01230560521075	0.869857367397401	0.370737580212483	0.500678155260462
"44"	"YAL062W"	-0.362488101847954	8.62772082355492	10.2762038233169	0.00822863882735537	0.0296264211261392
"45"	"YAL064C-A"	-0.339066424411099	8.90275532528618	10.4907474011387	0.00775226963374084	0.0284496361487029
"46"	"YAL065C"	-0.459407994431854	8.84828380387587	14.3081703300347	0.00295915679505204	0.0146607187890396
"47"	"YAL066W"	-0.327133738037286	8.81662593594716	4.24619418059343	0.0634402360367664	0.133071582703811
"48"	"YAL067C"	-0.478544163863563	8.75563361923881	18.687785741075	0.00116986863008821	0.00826552727159355
"49"	"YAL068C"	-0.261465826248109	8.51680895906425	4.22538570139471	0.0639979000381972	0.133612935831649
"50"	"YAR002C-A"	0.0109500332859138	8.72766699567054	0.00898325970959256	0.926170260199862	0.947956250256199
"51"	"YAR002W"	0.925075551028072	2.71627200146698	0.547594309043815	0.474585219295243	0.598769470454536
"52"	"YAR003W"	0.182103421218223	7.31831287572036	0.0547832996155758	0.81917893182081	0.874052161703544
"53"	"YAR014C"	-0.422179355578917	1.0767141041032	0.0991884038611543	0.758617233644641	0.83016899447278
"54"	"YAR015W"	-0.316686388682555	8.07299973906495	5.07048203237656	0.0454255568513459	0.103366318141328
"55"	"YAR018C"	0	0	0	0	0
"56"	"YAR020C"	-0.461285917774814	8.74562717065353	19.478304873573	0.00100497726678854	0.00756489216856862
"57"	"YAR023C"	-0.58345636713616	8.73489703296205	28.0092919392178	0.000243465157558608	0.00348634433222164
"58"	"YAR027W"	-0.61393760659185	8.28896483243924	33.2895476061207	0.00011799145532174	0.00250798610829045
"59"	"YAR028W"	0.621104695555268	9.02222449356654	33.9567388590811	0.000108361413080091	0.00238382424214738
"60"	"YAR029W"	0.402320113007996	9.10033393360331	10.1892695643551	0.00843152179598097	0.030143957683427
"61"	"YAR030C"	-0.540538567754855	8.72380512193669	23.244332298427	0.000513664848630311	0.00510116416977413
"62"	"YAR031W"	0.292100849993927	8.86104487843963	4.3861287810888	0.0598399629929258	0.127773182500754
"63"	"YAR035W"	0.0265489878450405	8.96432470715451	0.0462813881825036	0.833546868403577	0.883311215704736
"64"	"YAR037W"	-0.696509340394145	8.87774343911656	26.9479012354284	0.000285077866343719	0.00379536502654623
"65"	"YAR040C"	-0.197038927064264	9.26843878147658	2.25025035540976	0.161346869436824	0.267511909921278
"66"	"YAR042W"	0	0	0	0	0
"67"	"YAR043C"	0.540443721278088	9.02434004647783	26.1686172023168	0.000321034423818645	0.0040050728118354
"68"	"YAR044W"	-0.316515923903492	8.47359432581724	6.28553827796104	0.0288661686438734	0.0742035228539915
"69"	"YAR047C"	-0.220287637307173	9.00558260944308	3.03695195052777	0.10884573196519	0.200186377140101
"70"	"YAR050W"	0	0	0	0	0
"71"	"YBL001C"	0	0	0	0	0
"72"	"YBL003C"	-0.630260227700231	7.62691363027553	12.5383002826389	0.00452709307586986	0.0192261154064676
"73"	"YBL005W"	0.189658598548674	7.32162118872935	0.857655281718933	0.373992858278851	0.503549629561864
"74"	"YBL007C"	-1.08773126481577	5.1039173191745	8.14892025982042	0.0154655922585669	0.0472037922827772
"75"	"YBL008W"	0	0	0	0	0
"76"	"YBL009W"	0.481441578797948	8.47591512484203	8.65594308785909	0.0132126302271454	0.0419418724648174
"77"	"YBL010C"	-0.414068499968704	8.05581094252134	13.0775748347667	0.00396278561609496	0.0178300366686341
"78"	"YBL011W"	0	0	0	0	0
"79"	"YBL013W"	0	0	0	0	0
"80"	"YBL015W"	-0.326895366603542	8.11198757438311	5.44165974724129	0.0393712522864511	0.0930007494192066
"81"	"YBL016W"	0	0	0	0	0
"82"	"YBL017C"	2.51930521688167	4.32428332865241	5.41703151500255	0.039741514913775	0.0935958582259731
"83"	"YBL019W"	-0.166896255127176	7.95064461120361	1.09893801257011	0.316676287592976	0.445129460523263
"84"	"YBL021C"	-0.503987399484015	7.88511263339244	15.1630837053549	0.00243733457851169	0.0132164282312002
"85"	"YBL024W"	0.0731590073496237	8.29501747882109	0.466338219439157	0.508607352736322	0.629257797974677
"86"	"YBL025W"	0	0	0	0	0
"87"	"YBL027W"	1.15761246694914	9.88625366187178	91.0098826762429	1.05718436558622e-06	0.000235752113525727
"88"	"YBL028C"	0.0181479046774685	8.15149689812608	0.0106256457173831	0.919728247616244	0.94302402773014
"89"	"YBL029W"	0.737917305373563	7.08662707415565	2.62658819903034	0.132980949581717	0.232472331262894
"90"	"YBL031W"	-0.608199480290308	7.17378472448393	9.47228638949363	0.0103527765652289	0.0348478365893742
"91"	"YBL032W"	-0.558377582205485	7.27353898875662	6.8264336653566	0.0238905465482062	0.0648224107102661
"92"	"YBL036C"	-0.596768417017556	7.87397757038075	19.8982818600658	0.000928607357425112	0.00712253236458086
"93"	"YBL037W"	0.566650920755159	1.78023727244555	0.0956593052933842	0.76280122934941	0.832084923325607
"94"	"YBL039C"	-0.28109026671868	7.23932989240857	1.9343848835638	0.191393331867672	0.305448897283229
"95"	"YBL042C"	-0.542052879707777	7.80236618409922	13.5424932941878	0.00354221204961066	0.016573345946421
"96"	"YBL043W"	4.38310554674402	1.63288894301078	6.62952566087766	0.0255728715770089	0.0678394095068904
