"gene"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"1"	"YAL002W"	0	0	0	0	0
"2"	"YAL004W"	-0.383941052589172	7.9812952975403	5.09362604625764	0.0403450307757101	0.104307376962093
"3"	"YAL005C"	-0.305818052403856	8.0606900249628	2.47709719749551	0.137612646434825	0.259193455831117
"4"	"YAL007C"	0	0	0	0	0
"5"	"YAL008W"	-0.224719538037931	8.46020502807955	1.88596538744046	0.191036934895248	0.327217146874746
"6"	"YAL010C"	1.75358886948324	5.33380615156133	15.3770745773169	0.00150827915573153	0.00838115306909603
"7"	"YAL011W"	0.104097776714715	6.31546654348326	0.120499922937272	0.733603891946528	0.832909661876372
"8"	"YAL013W"	0.0838613368985564	6.87642970608495	0.114505807073161	0.740042216544686	0.837292856147614
"9"	"YAL014C"	0.346353590896602	10.0513566327327	5.5495879903551	0.0334273055309507	0.0908947965464893
"10"	"YAL015C"	0.0645760643387074	8.60600074820192	0.142530471454308	0.711382998746988	0.81807900049018
"11"	"YAL017W"	0.114006816292158	9.12435898191822	0.783710955056084	0.390810981591305	0.549751038277848
"12"	"YAL018C"	-0.21997734901361	8.98695928986267	3.28550428578272	0.0911700624532008	0.191505369280004
"13"	"YAL019W"	-0.951221394256076	8.63197290846469	31.7404735555921	5.93246400447314e-05	0.000654218947159955
"14"	"YAL020C"	-0.475554959633453	8.88467149042644	18.9452060264197	0.000647664544839374	0.00436623663907752
"15"	"YAL022C"	0.0303653463211699	8.76412203628978	0.0611473710895221	0.8082449906223	0.885574778133542
"16"	"YAL023C"	-0.794852241891729	8.92948694904805	35.3896101682627	3.40646492492162e-05	0.000412735918189801
"17"	"YAL024C"	-0.486216659654482	9.05023150017369	9.22919626589465	0.0087733662086804	0.0326555972825157
"18"	"YAL026C"	-2.50527227368033	8.06088637535875	96.2998663496943	1.07808015264948e-07	4.37725043797339e-06
"19"	"YAL027W"	0.279528948996983	8.77041391856009	4.03210057369722	0.0641367485242281	0.147275451463411
"20"	"YAL028W"	0.0838625282943627	8.74173017268888	0.458684847343642	0.509166073535607	0.657481163983638
