Inhibitor	Significant_up_deletions	Significant_down_deletions
1	24Dimethylimidazole	YJL101C	YDR004W
2	24Dimethylimidazole	YNL140C	YNL081C
3	24Dimethylimidazole	YKL139W	YGR101W
4	24Dimethylimidazole	YMR198W	YFL001W
5	24Dimethylimidazole	NA	YNL273W
6	24Dimethylimidazole	NA	YGR022C
7	24Dimethylimidazole	NA	YNR041C
8	24Dimethylimidazole	NA	YPR191W
9	24Dimethylimidazole	NA	YML001W
10	24Dimethylimidazole	NA	YGL010W
11	24Dimethylimidazole	NA	YOL095C
12	24Dimethylimidazole	NA	YOR221C
13	24Dimethylimidazole	NA	YJL046W
14	24Dimethylimidazole	NA	YDR393W
15	24Dimethylimidazole	NA	YLR237W
16	24Dimethylimidazole	NA	YIL094C
17	24Dimethylimidazole	NA	YBR248C
18	24Dimethylimidazole	NA	YDL006W
19	24Dimethylimidazole	NA	YCR071C
20	24Dimethylimidazole	NA	YCR028C-A
21	24Dimethylimidazole	NA	YHR018C
22	24Dimethylimidazole	NA	YGL154C
23	24Dimethylimidazole	NA	YJL071W
24	24Dimethylimidazole	NA	YBR266C
25	24Dimethylimidazole	NA	YMR307W
26	24Dimethylimidazole	NA	YDL013W
27	24Dimethylimidazole	NA	YPL178W
28	24Dimethylimidazole	NA	YDL002C
29	24Dimethylimidazole	NA	YGR032W
30	24Dimethylimidazole	NA	YOR338W
31	24Dimethylimidazole	NA	YBR289W
32	24Dimethylimidazole	NA	YIL020C
33	24Dimethylimidazole	NA	YLR239C
34	24Dimethylimidazole	NA	YGL017W
35	24Dimethylimidazole	NA	YPL172C
36	24Dimethylimidazole	NA	YGR188C
37	24Dimethylimidazole	NA	YDR276C
38	24Dimethylimidazole	NA	YMR031W-A
39	24Dimethylimidazole	NA	YDR245W
40	24Dimethylimidazole	NA	YOR209C
41	24Dimethylimidazole	NA	YKL211C
42	24Dimethylimidazole	NA	YDR139C
43	24Dimethylimidazole	NA	YLR131C
44	24Dimethylimidazole	NA	YLR443W
45	24Dimethylimidazole	NA	YAR003W
46	24Dimethylimidazole	NA	YER116C
47	24Dimethylimidazole	NA	YBR113W
48	24Dimethylimidazole	NA	YJR109C
