Inhibitor	Significant_up_deletions	Significant_down_deletions
1	45Methylimidazole	YOR121C	NA
2	45Methylimidazole	YMR272C	NA
3	45Methylimidazole	YGR149W	NA
4	45Methylimidazole	YLR262C	NA
5	45Methylimidazole	YBR130C	NA
6	45Methylimidazole	YLR187W	NA
7	45Methylimidazole	YMR031W-A	NA
8	45Methylimidazole	YJR053W	NA
9	45Methylimidazole	YML106W	NA
10	45Methylimidazole	YLR094C	NA
11	45Methylimidazole	YPR172W	NA
12	45Methylimidazole	YDR055W	NA
13	45Methylimidazole	YOL160W	NA
14	45Methylimidazole	YDL019C	NA
15	45Methylimidazole	YLR281C	NA
16	45Methylimidazole	YBR293W	NA
17	45Methylimidazole	YHL028W	NA
18	45Methylimidazole	YNL041C	NA
19	45Methylimidazole	YER095W	NA
20	45Methylimidazole	YJR050W	NA
21	45Methylimidazole	YBR283C	NA
22	45Methylimidazole	YCL027W	NA
23	45Methylimidazole	YDR245W	NA
24	45Methylimidazole	YDR309C	NA
25	45Methylimidazole	YBR118W	NA
26	45Methylimidazole	YDR093W	NA
27	45Methylimidazole	YMR316C-B	NA
28	45Methylimidazole	YLR413W	NA
29	45Methylimidazole	YMR068W	NA
30	45Methylimidazole	YLR037C	NA
31	45Methylimidazole	YPL121C	NA
32	45Methylimidazole	YPL038W	NA
33	45Methylimidazole	YNL058C	NA
34	45Methylimidazole	YDR100W	NA
35	45Methylimidazole	YGR069W	NA
36	45Methylimidazole	YBR113W	NA
37	45Methylimidazole	YGL198W	NA
38	45Methylimidazole	YER066W	NA
39	45Methylimidazole	YAR003W	NA
40	45Methylimidazole	YLR257W	NA
41	45Methylimidazole	YMR326C	NA
42	45Methylimidazole	YHR061C	NA
43	45Methylimidazole	YKL211C	NA
44	45Methylimidazole	YKL216W	NA
45	45Methylimidazole	YOR044W	NA
46	45Methylimidazole	YGR042W	NA
47	45Methylimidazole	YDL162C	NA
48	45Methylimidazole	YPL052W	NA
49	45Methylimidazole	YCR001W	NA
50	45Methylimidazole	YDL114W	NA
51	45Methylimidazole	YMR124W	NA
52	45Methylimidazole	YHR157W	NA
53	45Methylimidazole	YHR167W	NA
54	45Methylimidazole	YHL005C	NA
55	45Methylimidazole	YDL080C	NA
56	45Methylimidazole	YKR064W	NA
57	45Methylimidazole	YPR117W	NA
58	45Methylimidazole	YNL140C	NA
59	45Methylimidazole	YLR018C	NA
60	45Methylimidazole	YMR030W	NA
61	45Methylimidazole	YIL153W	NA
62	45Methylimidazole	YPL244C	NA
