Inhibitor	Significant_up_deletions	Significant_down_deletions
1	4OHAcetophenone	YMR143W	YLR426W
2	4OHAcetophenone	YER092W	YHL031C
3	4OHAcetophenone	YGL105W	YFL031W
4	4OHAcetophenone	YBR115C	YDL119C
5	4OHAcetophenone	YBR266C	YNL153C
6	4OHAcetophenone	YHR018C	YBR164C
7	4OHAcetophenone	YGR184C	YOL116W
8	4OHAcetophenone	YMR039C	YLR055C
9	4OHAcetophenone	YEL063C	YDR485C
10	4OHAcetophenone	YBR082C	YER056C-A
11	4OHAcetophenone	YFL013C	YBR231C
12	4OHAcetophenone	YBR291C	YHL025W
13	4OHAcetophenone	YJR118C	YFL001W
14	4OHAcetophenone	YOR304W	YKL008C
15	4OHAcetophenone	YJL120W	YJL004C
16	4OHAcetophenone	NA	YDR162C
17	4OHAcetophenone	NA	YCR053W
18	4OHAcetophenone	NA	YDR334W
19	4OHAcetophenone	NA	YPL051W
20	4OHAcetophenone	NA	YLR085C
21	4OHAcetophenone	NA	YOL081W
22	4OHAcetophenone	NA	YGL023C
23	4OHAcetophenone	NA	YML071C
24	4OHAcetophenone	NA	YOR014W
