Inhibitor	Significant_up_deletions	Significant_down_deletions
1	4OHBenzaldehyde	YMR143W	YLR426W
2	4OHBenzaldehyde	YJL120W	YAL026C
3	4OHBenzaldehyde	YGL105W	YOR008C-A
4	4OHBenzaldehyde	YDR121W	YHL031C
5	4OHBenzaldehyde	YER092W	YDL142C
6	4OHBenzaldehyde	YMR307W	YIL066C
7	4OHBenzaldehyde	YGR184C	YGL124C
8	4OHBenzaldehyde	YBR200W	YLR380W
9	4OHBenzaldehyde	YEL063C	YML048W
10	4OHBenzaldehyde	YKL050C	YIL098C
11	4OHBenzaldehyde	NA	YDR162C
12	4OHBenzaldehyde	NA	YIL160C
13	4OHBenzaldehyde	NA	YBR164C
14	4OHBenzaldehyde	NA	YER083C
15	4OHBenzaldehyde	NA	YJL004C
16	4OHBenzaldehyde	NA	YGL020C
17	4OHBenzaldehyde	NA	YMR198W
18	4OHBenzaldehyde	NA	YDL119C
19	4OHBenzaldehyde	NA	YNL153C
20	4OHBenzaldehyde	NA	YPR141C
21	4OHBenzaldehyde	NA	YHL025W
22	4OHBenzaldehyde	NA	YCR053W
23	4OHBenzaldehyde	NA	YFL001W
24	4OHBenzaldehyde	NA	YJR120W
25	4OHBenzaldehyde	NA	YPL161C
26	4OHBenzaldehyde	NA	YOL081W
27	4OHBenzaldehyde	NA	YDR354W
28	4OHBenzaldehyde	NA	YDR512C
29	4OHBenzaldehyde	NA	YNL098C
30	4OHBenzaldehyde	NA	YLR262C
31	4OHBenzaldehyde	NA	YPL051W
32	4OHBenzaldehyde	NA	YLR268W
33	4OHBenzaldehyde	NA	YMR183C
34	4OHBenzaldehyde	NA	YML081C-A
35	4OHBenzaldehyde	NA	YML071C
36	4OHBenzaldehyde	NA	YDR360W
37	4OHBenzaldehyde	NA	YKL212W
38	4OHBenzaldehyde	NA	YGL043W
