Inhibitor	Significant_up_deletions	Significant_down_deletions
1	4OHBenzoicAcid	YMR289W	YNL125C
2	4OHBenzoicAcid	YNL223W	YOL090W
3	4OHBenzoicAcid	YHL028W	YDL119C
4	4OHBenzoicAcid	YPR172W	YEL063C
5	4OHBenzoicAcid	YER097W	YGR184C
6	4OHBenzoicAcid	YDR285W	YDR213W
7	4OHBenzoicAcid	YMR031W-A	NA
8	4OHBenzoicAcid	YMR307W	NA
9	4OHBenzoicAcid	YBR283C	NA
10	4OHBenzoicAcid	YAR003W	NA
11	4OHBenzoicAcid	YKL211C	NA
12	4OHBenzoicAcid	YCL027W	NA
13	4OHBenzoicAcid	YPL244C	NA
14	4OHBenzoicAcid	YNL334C	NA
15	4OHBenzoicAcid	YGR149W	NA
16	4OHBenzoicAcid	YOL160W	NA
17	4OHBenzoicAcid	YER066W	NA
18	4OHBenzoicAcid	YBR118W	NA
19	4OHBenzoicAcid	YMR030W	NA
20	4OHBenzoicAcid	YJR053W	NA
21	4OHBenzoicAcid	YKL216W	NA
