Inhibitor	Significant_up_deletions	Significant_down_deletions
1	AcetoSyringone	YGL136C	YEL037C
2	AcetoSyringone	YDR126W	YAL024C
3	AcetoSyringone	YGR089W	YDL070W
4	AcetoSyringone	YPL095C	YOL124C
5	AcetoSyringone	YLR239C	YHL031C
6	AcetoSyringone	YGL007W	YML097C
7	AcetoSyringone	YKL124W	YBR036C
8	AcetoSyringone	YER108C	YNL293W
9	AcetoSyringone	YGL105W	YOL116W
10	AcetoSyringone	YIL020C	YBR164C
11	AcetoSyringone	YGR023W	YGL054C
12	AcetoSyringone	YDR006C	YJR140C
13	AcetoSyringone	YMR143W	YAL011W
14	AcetoSyringone	YEL063C	YGL165C
15	AcetoSyringone	YBR115C	YDR485C
16	AcetoSyringone	YDL077C	NA
17	AcetoSyringone	YNR041C	NA
18	AcetoSyringone	YBL003C	NA
19	AcetoSyringone	YBL009W	NA
20	AcetoSyringone	YBR005W	NA
21	AcetoSyringone	YER092W	NA
22	AcetoSyringone	YMR039C	NA
23	AcetoSyringone	YHR018C	NA
24	AcetoSyringone	YGR101W	NA
25	AcetoSyringone	YNL215W	NA
26	AcetoSyringone	YGR032W	NA
27	AcetoSyringone	YDR393W	NA
28	AcetoSyringone	YOR309C	NA
29	AcetoSyringone	YDL013W	NA
30	AcetoSyringone	YIL094C	NA
31	AcetoSyringone	YDR011W	NA
32	AcetoSyringone	YBR001C	NA
33	AcetoSyringone	YGL005C	NA
34	AcetoSyringone	YDR007W	NA
35	AcetoSyringone	YJL071W	NA
36	AcetoSyringone	YGL004C	NA
37	AcetoSyringone	YDL002C	NA
38	AcetoSyringone	YPR191W	NA
39	AcetoSyringone	YNL003C	NA
40	AcetoSyringone	YCR028C-A	NA
41	AcetoSyringone	YNL081C	NA
42	AcetoSyringone	YBR266C	NA
43	AcetoSyringone	YGR184C	NA
44	AcetoSyringone	YDR276C	NA
45	AcetoSyringone	YDL001W	NA
46	AcetoSyringone	YDL006W	NA
47	AcetoSyringone	YOR221C	NA
48	AcetoSyringone	YGL009C	NA
49	AcetoSyringone	YPL178W	NA
50	AcetoSyringone	YGL017W	NA
51	AcetoSyringone	YJL204C	NA
52	AcetoSyringone	YBR200W	NA
53	AcetoSyringone	YOL095C	NA
54	AcetoSyringone	YPR173C	NA
55	AcetoSyringone	YDR019C	NA
56	AcetoSyringone	YGL010W	NA
57	AcetoSyringone	YDR004W	NA
58	AcetoSyringone	YGR022C	NA
59	AcetoSyringone	YML001W	NA
60	AcetoSyringone	YDL081C	NA
61	AcetoSyringone	YBR291C	NA
62	AcetoSyringone	YDR174W	NA
63	AcetoSyringone	YOR125C	NA
64	AcetoSyringone	YMR294W	NA
65	AcetoSyringone	YJL046W	NA
66	AcetoSyringone	YPR123C	NA
67	AcetoSyringone	YMR116C	NA
68	AcetoSyringone	YGL154C	NA
69	AcetoSyringone	YBR248C	NA
70	AcetoSyringone	YJL120W	NA
71	AcetoSyringone	YDR477W	NA
72	AcetoSyringone	YDL096C	NA
