Inhibitor	Significant_up_deletions	Significant_down_deletions
1	AzelaicAcid	YHR018C	YLL028W
2	AzelaicAcid	YML001W	YEL053C
3	AzelaicAcid	YJL101C	YDR426C
4	AzelaicAcid	YDL052C	YGR170W
5	AzelaicAcid	YGR022C	YLR056W
6	AzelaicAcid	YDR004W	YJL004C
7	AzelaicAcid	NA	YJL175W
8	AzelaicAcid	NA	YGL054C
9	AzelaicAcid	NA	YHL025W
10	AzelaicAcid	NA	YBL078C
11	AzelaicAcid	NA	YIR033W
12	AzelaicAcid	NA	YAL023C
13	AzelaicAcid	NA	YMR029C
14	AzelaicAcid	NA	YHL031C
15	AzelaicAcid	NA	YBR164C
16	AzelaicAcid	NA	YLR047C
17	AzelaicAcid	NA	YOR068C
18	AzelaicAcid	NA	YIL076W
19	AzelaicAcid	NA	YML048W
20	AzelaicAcid	NA	YFL031W
21	AzelaicAcid	NA	YML013W
22	AzelaicAcid	NA	YOR089C
23	AzelaicAcid	NA	YMR052W
24	AzelaicAcid	NA	YDR372C
25	AzelaicAcid	NA	YLR238W
26	AzelaicAcid	NA	YML097C
27	AzelaicAcid	NA	YOR267C
28	AzelaicAcid	NA	YMR202W
29	AzelaicAcid	NA	YHR079C
30	AzelaicAcid	NA	YMR004W
31	AzelaicAcid	NA	YER151C
32	AzelaicAcid	NA	YPL051W
33	AzelaicAcid	NA	YDL112W
34	AzelaicAcid	NA	YML013C-A
35	AzelaicAcid	NA	YKR019C
36	AzelaicAcid	NA	YDR425W
37	AzelaicAcid	NA	YDR213W
38	AzelaicAcid	NA	YDR074W
39	AzelaicAcid	NA	YOR132W
40	AzelaicAcid	NA	YOR242C
41	AzelaicAcid	NA	YDL078C
42	AzelaicAcid	NA	YJL024C
43	AzelaicAcid	NA	YOR270C
44	AzelaicAcid	NA	YPL074W
45	AzelaicAcid	NA	YPL195W
46	AzelaicAcid	NA	YDR477W
47	AzelaicAcid	NA	YLR055C
48	AzelaicAcid	NA	YML071C
49	AzelaicAcid	NA	YOR246C
50	AzelaicAcid	NA	YLR039C
51	AzelaicAcid	NA	YFL025C
52	AzelaicAcid	NA	YPL058C
53	AzelaicAcid	NA	YDR186C
54	AzelaicAcid	NA	YML022W
55	AzelaicAcid	NA	YOR165W
56	AzelaicAcid	NA	YMR205C
