Inhibitor	Significant_up_deletions	Significant_down_deletions
1	CinnamicAcid	YLR448W	YML076C
2	CinnamicAcid	YNL147W	YPL058C
3	CinnamicAcid	YML016C	YML048W
4	CinnamicAcid	YJR050W	YLR426W
5	CinnamicAcid	YJL204C	YGL054C
6	CinnamicAcid	YLR113W	YGR157W
7	CinnamicAcid	YKL050C	YOR059C
8	CinnamicAcid	NA	YML121W
9	CinnamicAcid	NA	YKR019C
10	CinnamicAcid	NA	YHL025W
11	CinnamicAcid	NA	YJL175W
12	CinnamicAcid	NA	YDR435C
13	CinnamicAcid	NA	YDR162C
14	CinnamicAcid	NA	YJR066W
15	CinnamicAcid	NA	YJL004C
16	CinnamicAcid	NA	YFL001W
17	CinnamicAcid	NA	YJR073C
18	CinnamicAcid	NA	YOR070C
19	CinnamicAcid	NA	YDL119C
20	CinnamicAcid	NA	YKL046C
21	CinnamicAcid	NA	YGL043W
22	CinnamicAcid	NA	YGR170W
23	CinnamicAcid	NA	YCL063W
24	CinnamicAcid	NA	YLR372W
25	CinnamicAcid	NA	YER151C
26	CinnamicAcid	NA	YMR202W
27	CinnamicAcid	NA	YLR039C
28	CinnamicAcid	NA	YKR035C
29	CinnamicAcid	NA	YMR183C
