Inhibitor	Significant_up_deletions	Significant_down_deletions
1	Isobutanol	YBR291C	YER090W
2	Isobutanol	YJL120W	YHL031C
3	Isobutanol	NA	YIL160C
4	Isobutanol	NA	YCR076C
5	Isobutanol	NA	YOL116W
6	Isobutanol	NA	YOL124C
7	Isobutanol	NA	YGL244W
8	Isobutanol	NA	YDR354W
9	Isobutanol	NA	YPR119W
10	Isobutanol	NA	YML111W
11	Isobutanol	NA	YMR312W
12	Isobutanol	NA	YGL023C
13	Isobutanol	NA	YKL110C
14	Isobutanol	NA	YCR088W
15	Isobutanol	NA	YKL211C
16	Isobutanol	NA	YDR162C
17	Isobutanol	NA	YFL001W
18	Isobutanol	NA	YML003W
19	Isobutanol	NA	YDR058C
20	Isobutanol	NA	YBL051C
21	Isobutanol	NA	YHR034C
22	Isobutanol	NA	YLL025W
23	Isobutanol	NA	YDR033W
24	Isobutanol	NA	YCL029C
25	Isobutanol	NA	YGR058W
26	Isobutanol	NA	YBR205W
27	Isobutanol	NA	YLR182W
28	Isobutanol	NA	YDR455C
29	Isobutanol	NA	YER155C
30	Isobutanol	NA	YBR134W
31	Isobutanol	NA	YMR183C
32	Isobutanol	NA	YNL098C
33	Isobutanol	NA	YNL140C
34	Isobutanol	NA	YGL043W
35	Isobutanol	NA	YOL035C
36	Isobutanol	NA	YAL010C
37	Isobutanol	NA	YMR036C
38	Isobutanol	NA	YOL129W
39	Isobutanol	NA	YGR078C
40	Isobutanol	NA	YGR200C
41	Isobutanol	NA	YDR503C
42	Isobutanol	NA	YMR226C
43	Isobutanol	NA	YKL008C
44	Isobutanol	NA	YCL063W
45	Isobutanol	NA	YCR060W
46	Isobutanol	NA	YGL219C
47	Isobutanol	NA	YOL112W
48	Isobutanol	NA	YLR292C
49	Isobutanol	NA	YGR170W
50	Isobutanol	NA	YJR066W
51	Isobutanol	NA	YGR092W
52	Isobutanol	NA	YLR386W
53	Isobutanol	NA	YDR207C
54	Isobutanol	NA	YGR157W
55	Isobutanol	NA	YLR373C
56	Isobutanol	NA	YLR125W
57	Isobutanol	NA	YER016W
58	Isobutanol	NA	YEL061C
59	Isobutanol	NA	YJR054W
60	Isobutanol	NA	YLR315W
61	Isobutanol	NA	YEL011W
62	Isobutanol	NA	YDR293C
63	Isobutanol	NA	YPL105C
64	Isobutanol	NA	YKR007W
65	Isobutanol	NA	YDL074C
66	Isobutanol	NA	YIL134W
67	Isobutanol	NA	YNL064C
68	Isobutanol	NA	YDR127W
