Inhibitor	Significant_up_deletions	Significant_down_deletions
1	MBO	YHR004C	YER090W
2	MBO	NA	YAL059W
3	MBO	NA	YOL116W
4	MBO	NA	YIL160C
5	MBO	NA	YDR058C
6	MBO	NA	YCR088W
7	MBO	NA	YGL244W
8	MBO	NA	YPR119W
9	MBO	NA	YMR312W
10	MBO	NA	YBL051C
11	MBO	NA	YOR091W
12	MBO	NA	YDR452W
13	MBO	NA	YDR033W
14	MBO	NA	YML121W
15	MBO	NA	YOR067C
16	MBO	NA	YER155C
17	MBO	NA	YOL124C
18	MBO	NA	YAL024C
19	MBO	NA	YML003W
20	MBO	NA	YCR076C
21	MBO	NA	YLR021W
22	MBO	NA	YDR354W
23	MBO	NA	YKL110C
24	MBO	NA	YOR002W
25	MBO	NA	YDR503C
26	MBO	NA	YLL025W
27	MBO	NA	YLR292C
28	MBO	NA	YFL001W
29	MBO	NA	YDR101C
30	MBO	NA	YGL023C
31	MBO	NA	YGR058W
32	MBO	NA	YLR426W
33	MBO	NA	YHR034C
34	MBO	NA	YDR156W
35	MBO	NA	YNL242W
36	MBO	NA	YGR200C
37	MBO	NA	YAL026C
38	MBO	NA	YOL129W
39	MBO	NA	YKL211C
40	MBO	NA	YMR007W
41	MBO	NA	YHL031C
42	MBO	NA	YHR123W
43	MBO	NA	YCL029C
44	MBO	NA	YGL219C
45	MBO	NA	YOL035C
46	MBO	NA	YMR226C
47	MBO	NA	YGL007W
48	MBO	NA	YDR455C
49	MBO	NA	YDR162C
50	MBO	NA	YNL293W
51	MBO	NA	YMR183C
52	MBO	NA	YNR006W
53	MBO	NA	YIL097W
54	MBO	NA	YMR036C
55	MBO	NA	YLR125W
56	MBO	NA	YGR157W
57	MBO	NA	YGR224W
58	MBO	NA	YLR102C
59	MBO	NA	YOR014W
60	MBO	NA	YEL063C
61	MBO	NA	YIL012W
62	MBO	NA	YKL008C
63	MBO	NA	YNL098C
64	MBO	NA	YER167W
65	MBO	NA	YKL050C
66	MBO	NA	YCR053W
67	MBO	NA	YDR293C
68	MBO	NA	YPL105C
69	MBO	NA	YDR207C
70	MBO	NA	YGR078C
71	MBO	NA	YDR252W
72	MBO	NA	YMR143W
73	MBO	NA	YOL112W
74	MBO	NA	YCR060W
75	MBO	NA	YNL064C
76	MBO	NA	YKL146W
77	MBO	NA	YPL144W
78	MBO	NA	YNL153C
79	MBO	NA	YKL006W
80	MBO	NA	YLR360W
81	MBO	NA	YER016W
82	MBO	NA	YAL010C
83	MBO	NA	YER151C
84	MBO	NA	YLR182W
85	MBO	NA	YLR113W
86	MBO	NA	YBR016W
87	MBO	NA	YLR373C
88	MBO	NA	YPL157W
