Inhibitor	Significant_up_deletions	Significant_down_deletions
1	Mycobutanil	NA	YKL046C
2	Mycobutanil	NA	YKR087C
3	Mycobutanil	NA	YDR213W
4	Mycobutanil	NA	YGR136W
5	Mycobutanil	NA	YOR338W
6	Mycobutanil	NA	YLR187W
7	Mycobutanil	NA	YKL211C
8	Mycobutanil	NA	YLR413W
9	Mycobutanil	NA	YOR076C
10	Mycobutanil	NA	YHR157W
11	Mycobutanil	NA	YGR149W
12	Mycobutanil	NA	YLR189C
13	Mycobutanil	NA	YML099C
14	Mycobutanil	NA	YML035C
15	Mycobutanil	NA	YAR003W
16	Mycobutanil	NA	YGL198W
17	Mycobutanil	NA	YDR120C
18	Mycobutanil	NA	YPR172W
19	Mycobutanil	NA	YMR326C
20	Mycobutanil	NA	YDR214W
21	Mycobutanil	NA	YAR014C
22	Mycobutanil	NA	YDR139C
23	Mycobutanil	NA	YDR093W
24	Mycobutanil	NA	YDR309C
25	Mycobutanil	NA	YKL212W
