Inhibitor	Significant_up_deletions	Significant_down_deletions
1	NAO	YGR184C	YPR197C
2	NAO	YDR455C	YPR198W
3	NAO	YDR503C	YNL190W
4	NAO	YPL120W	YDL142C
5	NAO	YER151C	YNL257C
6	NAO	YDR252W	YGR003W
7	NAO	YOR132W	NA
8	NAO	YOR068C	NA
9	NAO	YER083C	NA
10	NAO	YDR293C	NA
11	NAO	YML071C	NA
12	NAO	YBR016W	NA
13	NAO	YOR221C	NA
14	NAO	YPL161C	NA
15	NAO	YPL051W	NA
16	NAO	YHL031C	NA
17	NAO	YOR001W	NA
18	NAO	YGR022C	NA
19	NAO	YJL154C	NA
20	NAO	YDL006W	NA
21	NAO	YBR082C	NA
22	NAO	YLR360W	NA
23	NAO	YDR108W	NA
24	NAO	YPL178W	NA
25	NAO	YDR004W	NA
26	NAO	YGR032W	NA
27	NAO	YER091C	NA
28	NAO	YDR006C	NA
29	NAO	YIL020C	NA
30	NAO	YBR266C	NA
31	NAO	YHR018C	NA
32	NAO	YOR069W	NA
33	NAO	YBR115C	NA
34	NAO	YNL003C	NA
35	NAO	YNL273W	NA
36	NAO	YDR083W	NA
37	NAO	YBR200W	NA
38	NAO	YJL004C	NA
39	NAO	YJL204C	NA
40	NAO	YMR269W	NA
41	NAO	YGL017W	NA
42	NAO	YBR005W	NA
43	NAO	YDL020C	NA
44	NAO	YPR123C	NA
45	NAO	YIL094C	NA
46	NAO	YMR143W	NA
47	NAO	YJL071W	NA
48	NAO	YBR289W	NA
49	NAO	YGL005C	NA
50	NAO	YDR126W	NA
51	NAO	YEL063C	NA
52	NAO	YGL105W	NA
53	NAO	YDR007W	NA
54	NAO	YGL154C	NA
55	NAO	YGL007W	NA
56	NAO	YOL029C	NA
57	NAO	YDL013W	NA
58	NAO	YDR024W	NA
59	NAO	YBL072C	NA
60	NAO	YLR239C	NA
61	NAO	YML121W	NA
62	NAO	YGR089W	NA
63	NAO	YDR276C	NA
64	NAO	YJR090C	NA
65	NAO	YPL239W	NA
66	NAO	YBL009W	NA
