Inhibitor	Significant_up_deletions	Significant_down_deletions
1	SinapicAcid	YDR026C	YNL323W
2	SinapicAcid	YLR182W	YOL090W
3	SinapicAcid	YPL095C	YNL125C
4	SinapicAcid	YDL013W	YAL026C
5	SinapicAcid	YDL018C	YLR371W
6	SinapicAcid	YDR393W	YDR310C
7	SinapicAcid	YDR006C	YNL296W
8	SinapicAcid	YLR239C	YHL031C
9	SinapicAcid	YDR009W	YJL004C
10	SinapicAcid	YDL002C	YDL119C
11	SinapicAcid	YKL124W	YMR021C
12	SinapicAcid	YBR266C	YEL053C
13	SinapicAcid	YDL001W	YOR068C
14	SinapicAcid	YGL010W	YGR157W
15	SinapicAcid	YBR248C	YOR059C
16	SinapicAcid	YGL017W	YPL051W
17	SinapicAcid	YOL095C	YKL046C
18	SinapicAcid	YIL020C	YOR279C
19	SinapicAcid	YJL071W	YCR095C
20	SinapicAcid	YGR032W	YOR165W
21	SinapicAcid	YPL178W	YLR426W
22	SinapicAcid	YML001W	YMR202W
23	SinapicAcid	YGL009C	YOL068C
24	SinapicAcid	YGL004C	YDR108W
25	SinapicAcid	YHR018C	YLR261C
26	SinapicAcid	YBR005W	YOR270C
27	SinapicAcid	YDL006W	NA
28	SinapicAcid	YPR173C	NA
29	SinapicAcid	YCR028C-A	NA
30	SinapicAcid	YNR041C	NA
31	SinapicAcid	YBR115C	NA
32	SinapicAcid	YGL005C	NA
33	SinapicAcid	YBL005W	NA
34	SinapicAcid	YDL012C	NA
35	SinapicAcid	YGR022C	NA
36	SinapicAcid	YDR004W	NA
37	SinapicAcid	YDR024W	NA
38	SinapicAcid	YDL011C	NA
39	SinapicAcid	YIL094C	NA
40	SinapicAcid	YNL081C	NA
41	SinapicAcid	YGR101W	NA
42	SinapicAcid	YDR007W	NA
43	SinapicAcid	YDR276C	NA
44	SinapicAcid	YDR019C	NA
