Inhibitor	Significant_up_deletions	Significant_down_deletions
1	SodiumAcetate	YJL120W	YBR209W
2	SodiumAcetate	YMR143W	YJL004C
3	SodiumAcetate	YBR108W	YLR056W
4	SodiumAcetate	YGR014W	YMR202W
5	SodiumAcetate	YIL024C	YMR216C
6	SodiumAcetate	YGR184C	YCR086W
7	SodiumAcetate	YDL096C	YDR186C
8	SodiumAcetate	YOR019W	YHL025W
9	SodiumAcetate	YLR242C	YDL020C
10	SodiumAcetate	YER046W-A	YLR262C
11	SodiumAcetate	YNL140C	YMR183C
12	SodiumAcetate	YPL223C	YKL050C
13	SodiumAcetate	YKR034W	YLR039C
14	SodiumAcetate	NA	YIL128W
15	SodiumAcetate	NA	YLR261C
16	SodiumAcetate	NA	YDR074W
17	SodiumAcetate	NA	YCR053W
18	SodiumAcetate	NA	YGL115W
19	SodiumAcetate	NA	YML013C-A
20	SodiumAcetate	NA	YCR044C
