Inhibitor	Significant_up_deletions	Significant_down_deletions
1	Syringaldehyde	YJL120W	YGL165C
2	Syringaldehyde	YJL071W	YGL166W
3	Syringaldehyde	YBR266C	YIL152W
4	Syringaldehyde	YBR115C	YDL142C
5	Syringaldehyde	YDR393W	YGL124C
6	Syringaldehyde	YNL081C	YHR094C
7	Syringaldehyde	YDR019C	YEL053C
8	Syringaldehyde	YHR018C	YML048W
9	Syringaldehyde	YIL020C	YKL077W
10	Syringaldehyde	YGR022C	YOL046C
11	Syringaldehyde	YDR006C	YLL020C
12	Syringaldehyde	YPR191W	YLL019C
13	Syringaldehyde	YPR173C	YCL063W
14	Syringaldehyde	YOL095C	YNL056W
15	Syringaldehyde	YNR041C	YMR010W
16	Syringaldehyde	YDR276C	YOL006C
17	Syringaldehyde	YBR248C	YML052W
18	Syringaldehyde	YDR007W	YKL071W
19	Syringaldehyde	YML001W	YGR157W
20	Syringaldehyde	YCR028C-A	YOR140W
21	Syringaldehyde	YMR303C	YDR098C
22	Syringaldehyde	YGR032W	YMR122C
23	Syringaldehyde	YGL009C	YOR154W
24	Syringaldehyde	YGL010W	YLR425W
25	Syringaldehyde	YOR153W	YMR180C
26	Syringaldehyde	YDR378C	YGR049W
27	Syringaldehyde	YNL003C	NA
28	Syringaldehyde	YOR189W	NA
29	Syringaldehyde	YJL046W	NA
30	Syringaldehyde	YML016C	NA
31	Syringaldehyde	YNL070W	NA
