Inhibitor	Significant_up_deletions	Significant_down_deletions
1	26Dimethylpyrazine	YMR250W	YNR010W
2	26Dimethylpyrazine	YCL028W	YPL158C
3	26Dimethylpyrazine	YJL165C	YKL023W
4	26Dimethylpyrazine	YOL128C	YPL205C
5	26Dimethylpyrazine	YAR002W	YDR248C
6	26Dimethylpyrazine	YHR129C	YPL226W
7	26Dimethylpyrazine	YOL013W-A	YGR080W
8	26Dimethylpyrazine	YBR177C	YDR290W
9	26Dimethylpyrazine	YBR271W	YEL004W
10	26Dimethylpyrazine	YLR021W	YKL146W
11	26Dimethylpyrazine	YMR183C	YOL025W
12	26Dimethylpyrazine	YJR094C	YLR053C
13	26Dimethylpyrazine	YML059C	YOR202W
14	26Dimethylpyrazine	YMR237W	YEL038W
15	26Dimethylpyrazine	YCR050C	YGR118W
16	26Dimethylpyrazine	YOR357C	YOR317W
17	26Dimethylpyrazine	YGR247W	YOL099C
18	26Dimethylpyrazine	YKL132C	YOL042W
19	26Dimethylpyrazine	YMR114C	YDR482C
20	26Dimethylpyrazine	YDR503C	YFL052W
21	26Dimethylpyrazine	YKL201C	YER062C
22	26Dimethylpyrazine	YIL095W	YPR109W
23	26Dimethylpyrazine	YGR194C	YPL092W
24	26Dimethylpyrazine	YNL105W	YDR408C
25	26Dimethylpyrazine	YCR086W	YLR335W
26	26Dimethylpyrazine	YLL049W	YDR293C
27	26Dimethylpyrazine	YDL110C	YNL063W
28	26Dimethylpyrazine	YBR063C	YPR160W
29	26Dimethylpyrazine	YJR106W	YJL077C
30	26Dimethylpyrazine	YGR122W	YMR295C
31	26Dimethylpyrazine	YPL256C	YER081W
32	26Dimethylpyrazine	YGR014W	YFL001W
33	26Dimethylpyrazine	YDR455C	YOL109W
34	26Dimethylpyrazine	YDR533C	YPL137C
35	26Dimethylpyrazine	YPR145W	YNL119W
36	26Dimethylpyrazine	YDL086W	YGL031C
37	26Dimethylpyrazine	YHR189W	YMR153C-A
38	26Dimethylpyrazine	YER033C	YGL016W
39	26Dimethylpyrazine	YGL219C	YER030W
40	26Dimethylpyrazine	YPR188C	YKR027W
41	26Dimethylpyrazine	YKL092C	YDR171W
42	26Dimethylpyrazine	YBR171W	YBR274W
43	26Dimethylpyrazine	YMR234W	YPL046C
44	26Dimethylpyrazine	YDL162C	YOL019W
45	26Dimethylpyrazine	YML128C	YHR206W
46	26Dimethylpyrazine	YER007W	YHR104W
47	26Dimethylpyrazine	YOL141W	YLR373C
48	26Dimethylpyrazine	YNL193W	YBL042C
49	26Dimethylpyrazine	YGL230C	YGR049W
50	26Dimethylpyrazine	YJL062W	YPL191C
51	26Dimethylpyrazine	YFR009W	YLR265C
52	26Dimethylpyrazine	YDR306C	YGR072W
53	26Dimethylpyrazine	YDR520C	NA
54	26Dimethylpyrazine	YLR343W	NA
55	26Dimethylpyrazine	YCL022C	NA
56	26Dimethylpyrazine	YOL150C	NA
57	26Dimethylpyrazine	YOL111C	NA
58	26Dimethylpyrazine	YBL039C	NA
59	26Dimethylpyrazine	YHL029C	NA
60	26Dimethylpyrazine	YHR179W	NA
61	26Dimethylpyrazine	YKL137W	NA
62	26Dimethylpyrazine	YJL106W	NA
63	26Dimethylpyrazine	YLR206W	NA
64	26Dimethylpyrazine	YGL032C	NA
