Inhibitor	Significant_up_deletions	Significant_down_deletions
1	CV	YDR497C	YGL148W
2	CV	YER033C	YML062C
3	CV	YJR127C	YDR156W
4	CV	YMR095C	YHR032W
5	CV	YDL237W	YLR315W
6	CV	YCR099C	YAL049C
7	CV	YMR085W	YOR005C
8	CV	YJR080C	YHR016C
9	CV	YFR010W	YDR165W
10	CV	YBR298C	YKL061W
11	CV	YGR288W	YOR052C
12	CV	YNL058C	YPL138C
13	CV	YLR064W	YKL183W
14	CV	YLL005C	YKL202W
15	CV	YMR294W-A	YML004C
16	CV	YFR018C	YOR374W
17	CV	YFL019C	YDR163W
18	CV	YNR004W	YGR001C
19	CV	YMR261C	YIL053W
20	CV	YCR053W	YLR183C
21	CV	YLR413W	YLR421C
22	CV	YMR245W	YDR459C
23	CV	YJR109C	YGL020C
24	CV	YLR109W	YPR096C
25	CV	YDR534C	YGL043W
26	CV	YMR285C	YFL049W
27	CV	YHR143W	YGR044C
28	CV	YMR279C	YLR207W
29	CV	YGR200C	YBR216C
30	CV	YDR063W	YER187W
31	CV	YBL021C	YMR224C
32	CV	YNL194C	YOL061W
33	CV	YNL157W	YCL026C
34	CV	YJR052W	YLR287C-A
35	CV	YLR131C	YNL129W
36	CV	YGR174C	YMR171C
37	CV	YML057W	YOR111W
38	CV	YNL035C	YMR241W
39	CV	YCR014C	YER045C
40	CV	YNL147W	YBL061C
41	CV	YAR040C	YDL056W
42	CV	YNR075W	YDR409W
43	CV	YPR189W	YNL029C
44	CV	YGL210W	YGR058W
45	CV	YGR202C	YJR092W
46	CV	YNL304W	YJL137C
47	CV	YJL042W	YBR083W
48	CV	YMR206W	YNL016W
49	CV	YMR067C	YAR014C
50	CV	YJL084C	YKL074C
51	CV	YGL194C	YMR251W
52	CV	YCL046W	YJL055W
53	CV	YPL258C	YKL177W
54	CV	YDR193W	YPR115W
55	CV	YHR113W	YFR021W
56	CV	YOR126C	YHR105W
57	CV	YBL039C	YMR312W
58	CV	YML032C	YJL047C
59	CV	YOL124C	YIL009C-A
60	CV	YDR260C	YER162C
61	CV	YMR278W	YAL027W
62	CV	YMR011W	YKR031C
63	CV	YOR033C	YBL082C
64	CV	YGL147C	YGL019W
65	CV	YFR047C	YAR035W
66	CV	YGL125W	YBR212W
67	CV	YNL028W	YMR177W
68	CV	YCR008W	YFL021W
69	CV	YGR197C	YIL067C
70	CV	YHR179W	YPL035C
71	CV	YPL033C	NA
72	CV	YBL101C	NA
73	CV	YMR194W	NA
74	CV	YDL086W	NA
75	CV	YDR402C	NA
76	CV	YML035C-A	NA
77	CV	YPL161C	NA
78	CV	YLR405W	NA
79	CV	YKR078W	NA
80	CV	YOR002W	NA
81	CV	YMR099C	NA
82	CV	YPL223C	NA
83	CV	YJL182C	NA
84	CV	YGL217C	NA
85	CV	YLR003C	NA
86	CV	YGL208W	NA
87	CV	YOR297C	NA
88	CV	YGR016W	NA
89	CV	YGR071C	NA
90	CV	YGR260W	NA
91	CV	YAL068C	NA
92	CV	YDR329C	NA
93	CV	YGL235W	NA
94	CV	YCR001W	NA
95	CV	YNL321W	NA
96	CV	YAL064C-A	NA
97	CV	YFL040W	NA
98	CV	YOR144C	NA
99	CV	YDR511W	NA
100	CV	YIR002C	NA
101	CV	YLL012W	NA
102	CV	YOR240W	NA
103	CV	YKL050C	NA
104	CV	YNL089C	NA
105	CV	YBR226C	NA
106	CV	YDL241W	NA
107	CV	YDR513W	NA
108	CV	YDL173W	NA
109	CV	YDL114W	NA
110	CV	YGR085C	NA
111	CV	YGL258W	NA
112	CV	YCR019W	NA
113	CV	YER139C	NA
114	CV	YBL046W	NA
115	CV	YDR467C	NA
116	CV	YMR252C	NA
117	CV	YMR214W	NA
118	CV	YNL106C	NA
119	CV	YMR316C-B	NA
120	CV	YLR443W	NA
121	CV	YAR015W	NA
122	CV	YOR114W	NA
123	CV	YBR165W	NA
