Inhibitor	Significant_up_deletions	Significant_down_deletions
1	FerulicAcid	YDR222W	YPL257W
2	FerulicAcid	YLR113W	YKL103C
3	FerulicAcid	YGR016W	YPR155C
4	FerulicAcid	YJL137C	YNL070W
5	FerulicAcid	YJR077C	YBL064C
6	FerulicAcid	YKL197C	YNR071C
7	FerulicAcid	YBR250W	YJL169W
8	FerulicAcid	YLR271W	YBR245C
9	FerulicAcid	YER173W	YAL066W
10	FerulicAcid	YLR328W	YER144C
11	FerulicAcid	YOL030W	YDR142C
12	FerulicAcid	YOL065C	YGL146C
13	FerulicAcid	YOR223W	YKL222C
14	FerulicAcid	YHL008C	YGL166W
15	FerulicAcid	YOR064C	YKL107W
16	FerulicAcid	YPL120W	YLL056C
17	FerulicAcid	YFL006W	YOL152W
18	FerulicAcid	YOL111C	YJL007C
19	FerulicAcid	YHL002W	YOL150C
20	FerulicAcid	YMR210W	YDR098C
21	FerulicAcid	YLR206W	YDL130W-A
22	FerulicAcid	YKR078W	YLR262C-A
23	FerulicAcid	YLL059C	YCR065W
24	FerulicAcid	YDL083C	YNR021W
25	FerulicAcid	YER164W	YGR126W
26	FerulicAcid	YDL137W	YNL311C
27	FerulicAcid	YMR318C	YDL233W
28	FerulicAcid	YOL032W	YJL197W
29	FerulicAcid	YNR007C	YMR316C-A
30	FerulicAcid	YOR027W	YKL074C
31	FerulicAcid	YMR306C-A	YML042W
32	FerulicAcid	YGL141W	YJR054W
33	FerulicAcid	YBR210W	YPL114W
34	FerulicAcid	YLR063W	YIL102C
35	FerulicAcid	YLR427W	YCR100C
36	FerulicAcid	YPL099C	YPR123C
37	FerulicAcid	YBL063W	YLR255C
38	FerulicAcid	YKL050C	YLR146C
39	FerulicAcid	YKL211C	YER140W
40	FerulicAcid	YCR001W	YLR084C
41	FerulicAcid	YMR135W-A	YNL087W
42	FerulicAcid	YER063W	YPR154W
43	FerulicAcid	YGL049C	YBR018C
44	FerulicAcid	YLL017W	YMR259C
45	FerulicAcid	YMR244W	YIL117C
46	FerulicAcid	YGR136W	YDR314C
47	FerulicAcid	YLR011W	YGR279C
48	FerulicAcid	YOR267C	YCR017C
49	FerulicAcid	YHR179W	YBL107C
50	FerulicAcid	YPL198W	YDR024W
51	FerulicAcid	YNL130C	YMR086C-A
52	FerulicAcid	YER033C	YJL171C
53	FerulicAcid	YAL064C-A	YBL005W
54	FerulicAcid	YER081W	YMR103C
55	FerulicAcid	YGR157W	YKL008C
56	FerulicAcid	YOR344C	YLR014C
57	FerulicAcid	YMR099C	YER149C
58	FerulicAcid	YPR160W	YML062C
59	FerulicAcid	YLR232W	YOL147C
60	FerulicAcid	YOR216C	YHL010C
61	FerulicAcid	YOL092W	YDR359C
62	FerulicAcid	YER095W	YHR006W
63	FerulicAcid	YFL034W	YOR377W
64	FerulicAcid	YNL214W	YMR085W
65	FerulicAcid	YDR112W	YLR453C
66	FerulicAcid	YDR198C	YMR060C
67	FerulicAcid	YML121W	YGR142W
68	FerulicAcid	YBR118W	YKL039W
69	FerulicAcid	YER010C	YFL049W
70	FerulicAcid	NA	YGL016W
71	FerulicAcid	NA	YLR013W
72	FerulicAcid	NA	YER158C
73	FerulicAcid	NA	YNL294C
74	FerulicAcid	NA	YHR200W
75	FerulicAcid	NA	YDR508C
76	FerulicAcid	NA	YNL192W
77	FerulicAcid	NA	YNL199C
78	FerulicAcid	NA	YGL108C
79	FerulicAcid	NA	YKL005C
80	FerulicAcid	NA	YPL046C
81	FerulicAcid	NA	YDL011C
82	FerulicAcid	NA	YLR087C
83	FerulicAcid	NA	YAL005C
84	FerulicAcid	NA	YOR300W
85	FerulicAcid	NA	YFL053W
86	FerulicAcid	NA	YNR066C
87	FerulicAcid	NA	YKR095W
88	FerulicAcid	NA	YNL335W
89	FerulicAcid	NA	YNL208W
90	FerulicAcid	NA	YDR520C
91	FerulicAcid	NA	YNL175C
92	FerulicAcid	NA	YKL123W
93	FerulicAcid	NA	YGR085C
94	FerulicAcid	NA	YNL241C
