Inhibitor	Significant_up_deletions	Significant_down_deletions
1	22Diprydyl	YGR157W	YNL081C
2	22Diprydyl	YDL172C	YBL005W
3	22Diprydyl	YIR005W	YNR041C
4	22Diprydyl	YCR077C	YNL273W
5	22Diprydyl	YJL177W	YPR191W
6	22Diprydyl	YCR034W	YBR266C
7	22Diprydyl	YKL139W	YJL071W
8	22Diprydyl	YDR475C	YDR393W
9	22Diprydyl	YJL101C	YGL154C
10	22Diprydyl	YPL183C	YGR101W
11	22Diprydyl	YER083C	YPR173C
12	22Diprydyl	YDR378C	YOL095C
13	22Diprydyl	YNL153C	YGL010W
14	22Diprydyl	YHR081W	YGR188C
15	22Diprydyl	YMR269W	YLR239C
16	22Diprydyl	YGR014W	YCR028C-A
17	22Diprydyl	YKL046C	YPL178W
18	22Diprydyl	YLR315W	YBR115C
19	22Diprydyl	YGR224W	YGL004C
20	22Diprydyl	YLR386W	YML001W
21	22Diprydyl	YKR040C	YDR007W
22	22Diprydyl	YMR116C	YCR071C
23	22Diprydyl	YJR075W	YDR004W
24	22Diprydyl	YNL147W	YOR221C
25	22Diprydyl	YHR129C	YJL046W
26	22Diprydyl	YMR060C	YGR032W
27	22Diprydyl	YGR181W	YBR248C
28	22Diprydyl	YBR077C	YIL094C
29	22Diprydyl	YJL124C	YDR019C
30	22Diprydyl	YNL198C	YIL020C
31	22Diprydyl	NA	YNL003C
32	22Diprydyl	NA	YGR022C
33	22Diprydyl	NA	YGL009C
34	22Diprydyl	NA	YGL017W
35	22Diprydyl	NA	YDL013W
36	22Diprydyl	NA	YPL172C
37	22Diprydyl	NA	YOR125C
38	22Diprydyl	NA	YDL006W
39	22Diprydyl	NA	YDR276C
40	22Diprydyl	NA	YDL001W
41	22Diprydyl	NA	YDL002C
42	22Diprydyl	NA	YDR006C
43	22Diprydyl	NA	YHR018C
44	22Diprydyl	NA	YHR134W
45	22Diprydyl	NA	YKR101W
46	22Diprydyl	NA	YGL005C
47	22Diprydyl	NA	YBR113W
48	22Diprydyl	NA	YDL012C
49	22Diprydyl	NA	YBR005W
50	22Diprydyl	NA	YOL009C
51	22Diprydyl	NA	YLL048C
52	22Diprydyl	NA	YBR130C
53	22Diprydyl	NA	YLR413W
54	22Diprydyl	NA	YOR338W
55	22Diprydyl	NA	YGL036W
56	22Diprydyl	NA	YHL035C
57	22Diprydyl	NA	YMR289W
58	22Diprydyl	NA	YBL017C
59	22Diprydyl	NA	YGR149W
60	22Diprydyl	NA	YHL028W
61	22Diprydyl	NA	YKL211C
62	22Diprydyl	NA	YIL057C
63	22Diprydyl	NA	YBR283C
64	22Diprydyl	NA	YLR055C
65	22Diprydyl	NA	YGR136W
66	22Diprydyl	NA	YKR087C
67	22Diprydyl	NA	YEL010W
68	22Diprydyl	NA	YPL015C
69	22Diprydyl	NA	YMR031W-A
70	22Diprydyl	NA	YGL146C
71	22Diprydyl	NA	YDR005C
72	22Diprydyl	NA	YMR310C
73	22Diprydyl	NA	YNL334C
74	22Diprydyl	NA	YDR139C
75	22Diprydyl	NA	YGL198W
76	22Diprydyl	NA	YMR326C
77	22Diprydyl	NA	YHR157W
78	22Diprydyl	NA	YMR044W
79	22Diprydyl	NA	YCR073W-A
80	22Diprydyl	NA	YML099C
81	22Diprydyl	NA	YLR187W
82	22Diprydyl	NA	YDR346C
83	22Diprydyl	NA	YJL149W
84	22Diprydyl	NA	YOR209C
85	22Diprydyl	NA	YPL038W
86	22Diprydyl	NA	YGR069W
87	22Diprydyl	NA	YBL029W
88	22Diprydyl	NA	YMR030W
89	22Diprydyl	NA	YGR106C
90	22Diprydyl	NA	YBR056W
91	22Diprydyl	NA	YNL196C
92	22Diprydyl	NA	YGL002W
93	22Diprydyl	NA	YML035C
94	22Diprydyl	NA	YJR100C
95	22Diprydyl	NA	YDL240W
96	22Diprydyl	NA	YKR064W
97	22Diprydyl	NA	YJR120W
98	22Diprydyl	NA	YDR207C
99	22Diprydyl	NA	YJR053W
100	22Diprydyl	NA	YOR033C
101	22Diprydyl	NA	YDR093W
102	22Diprydyl	NA	YKL107W
103	22Diprydyl	NA	YDL114W
104	22Diprydyl	NA	YER066W
105	22Diprydyl	NA	YAR003W
106	22Diprydyl	NA	YKL212W
107	22Diprydyl	NA	YER097W
108	22Diprydyl	NA	YPR172W
109	22Diprydyl	NA	YLR036C
110	22Diprydyl	NA	YNL058C
111	22Diprydyl	NA	YDL127W
112	22Diprydyl	NA	YDL162C
113	22Diprydyl	NA	YJR139C
114	22Diprydyl	NA	YCL027W
115	22Diprydyl	NA	YLR443W
116	22Diprydyl	NA	YBR114W
117	22Diprydyl	NA	YGL148W
118	22Diprydyl	NA	YLR064W
119	22Diprydyl	NA	YKL216W
120	22Diprydyl	NA	YDR490C
