Inhibitor	Significant_up_deletions	Significant_down_deletions
1	CoumaroylAmide	YJL071W	YHL031C
2	CoumaroylAmide	YBR115C	YAL026C
3	CoumaroylAmide	YDR006C	YIL160C
4	CoumaroylAmide	YMR143W	YJL004C
5	CoumaroylAmide	YBR266C	YBR164C
6	CoumaroylAmide	YGL105W	YDL119C
7	CoumaroylAmide	YML001W	YEL053C
8	CoumaroylAmide	YGL005C	YML003W
9	CoumaroylAmide	YDR393W	YNL296W
10	CoumaroylAmide	YHR018C	YMR274C
11	CoumaroylAmide	YOL095C	YKR019C
12	CoumaroylAmide	YDR019C	YMR202W
13	CoumaroylAmide	YEL063C	YDL226C
14	CoumaroylAmide	YDR276C	YLR425W
15	CoumaroylAmide	YPR191W	YNL323W
16	CoumaroylAmide	YIL020C	YER062C
17	CoumaroylAmide	YFL047W	YBR270C
18	CoumaroylAmide	YDL013W	YPL051W
19	CoumaroylAmide	YGR022C	YOR008C-A
20	CoumaroylAmide	YBL005W	YDR294C
21	CoumaroylAmide	YLR182W	YDL215C
22	CoumaroylAmide	YDL006W	YML048W
23	CoumaroylAmide	YGR101W	YNL297C
24	CoumaroylAmide	YNL081C	YAL024C
25	CoumaroylAmide	YDR007W	YDR223W
26	CoumaroylAmide	YGR032W	YOR070C
27	CoumaroylAmide	YLR176C	YML071C
28	CoumaroylAmide	YDL002C	YFR024C-A
29	CoumaroylAmide	YGR089W	YJR073C
30	CoumaroylAmide	YPR173C	YLR349W
31	CoumaroylAmide	YKL124W	YKL212W
32	CoumaroylAmide	YBR294W	YCR095C
33	CoumaroylAmide	YCR071C	YNL153C
34	CoumaroylAmide	YGL010W	YHL025W
35	CoumaroylAmide	YIL094C	YFL001W
36	CoumaroylAmide	YDL001W	YOR359W
37	CoumaroylAmide	YML129C	YLR371W
38	CoumaroylAmide	YBR005W	YPL161C
39	CoumaroylAmide	YNL273W	YBR082C
40	CoumaroylAmide	YDR026C	YJL154C
41	CoumaroylAmide	YLR239C	YCL011C
42	CoumaroylAmide	YDR004W	YHL029C
43	CoumaroylAmide	YDR018C	YNL322C
44	CoumaroylAmide	YDR009W	YGR086C
45	CoumaroylAmide	YGL004C	YMR307W
46	CoumaroylAmide	YCR028C-A	YHR135C
47	CoumaroylAmide	YDR126W	YOR068C
48	CoumaroylAmide	YDL012C	YJR066W
49	CoumaroylAmide	YNR041C	YGR170W
50	CoumaroylAmide	YDL018C	YBR078W
51	CoumaroylAmide	YGL009C	YNL242W
52	CoumaroylAmide	YGL154C	YHR095W
53	CoumaroylAmide	YPL178W	YER155C
54	CoumaroylAmide	YOR363C	YPR119W
55	CoumaroylAmide	YDR014W	YDR372C
56	CoumaroylAmide	YBR248C	YOR002W
57	CoumaroylAmide	YLR420W	YOR091W
58	CoumaroylAmide	YPL095C	YAL011W
59	CoumaroylAmide	YJL130C	YDR485C
60	CoumaroylAmide	YGR017W	YOR285W
61	CoumaroylAmide	YGL007W	YMR060C
62	CoumaroylAmide	YDR024W	YLR252W
63	CoumaroylAmide	YGR184C	YDL050C
64	CoumaroylAmide	YGL136C	YLR309C
65	CoumaroylAmide	YDL011C	YOR115C
66	CoumaroylAmide	YDL077C	YFL025C
67	CoumaroylAmide	YER108C	YER083C
68	CoumaroylAmide	YER177W	YHR200W
69	CoumaroylAmide	YEL033W	YPR184W
70	CoumaroylAmide	YER056C	YNL079C
71	CoumaroylAmide	YDR001C	YPR141C
72	CoumaroylAmide	YML121W	YER167W
73	CoumaroylAmide	YJL210W	YPL120W
74	CoumaroylAmide	YBR289W	YBR231C
75	CoumaroylAmide	YOR309C	YDR320C
76	CoumaroylAmide	YBL009W	YJR059W
77	CoumaroylAmide	YHR077C	YNL140C
78	CoumaroylAmide	YLR021W	YOR195W
79	CoumaroylAmide	YDR244W	YDR334W
80	CoumaroylAmide	YDR022C	YCR044C
81	CoumaroylAmide	YGL017W	YOL012C
82	CoumaroylAmide	YBR113W	YMR226C
83	CoumaroylAmide	YBR009C	YLR360W
84	CoumaroylAmide	YJL046W	YMR198W
85	CoumaroylAmide	YNL003C	YOR216C
86	CoumaroylAmide	YCL063W	YJR043C
87	CoumaroylAmide	YMR092C	YDR067C
88	CoumaroylAmide	YOR125C	NA
89	CoumaroylAmide	YLR061W	NA
90	CoumaroylAmide	YMR039C	NA
91	CoumaroylAmide	YOL029C	NA
92	CoumaroylAmide	YDR156W	NA
93	CoumaroylAmide	YDR146C	NA
94	CoumaroylAmide	YDL020C	NA
95	CoumaroylAmide	YBL017C	NA
96	CoumaroylAmide	YDR174W	NA
