Inhibitor	Significant_up_deletions	Significant_down_deletions
1	DMSO	YAR028W	YJR140C
2	DMSO	YCL064C	YLR113W
3	DMSO	YNL120C	YDR334W
4	DMSO	YGR208W	YPR184W
5	DMSO	YOL061W	YKL050C
6	DMSO	YMR143W	YDR485C
7	DMSO	YDR007W	YOR038C
8	DMSO	YIL148W	YER156C
9	DMSO	YIL008W	YCR086W
10	DMSO	YMR264W	YBR231C
11	DMSO	YBR266C	YAL011W
12	DMSO	YDR019C	YNL147W
13	DMSO	YKL057C	YBR164C
14	DMSO	YLR425W	YOL116W
15	DMSO	YJL071W	YDR451C
16	DMSO	YDL142C	YML103C
17	DMSO	YER129W	YDR108W
18	DMSO	YKL079W	YLR085C
19	DMSO	YOR327C	YML071C
20	DMSO	YIL094C	YLL025W
21	DMSO	YCR059C	YCL010C
22	DMSO	YHR087W	YJR137C
23	DMSO	YPL066W	YNR010W
24	DMSO	YDL013W	YOL129W
25	DMSO	YML066C	YOL112W
26	DMSO	YGL211W	YCR077C
27	DMSO	YOR182C	YCR088W
28	DMSO	YMR022W	YLR412W
29	DMSO	YCL029C	YDR503C
30	DMSO	YNL167C	YLR410W
31	DMSO	YNL119W	YOL012C
32	DMSO	YBR115C	YJL124C
33	DMSO	YKR048C	YLR125W
34	DMSO	YKL048C	YDR459C
35	DMSO	YCR071C	YML041C
36	DMSO	YGL105W	YGR224W
37	DMSO	YPR151C	YFL032W
38	DMSO	YDR326C	YHR181W
39	DMSO	YCL069W	NA
40	DMSO	YEL063C	NA
41	DMSO	YGR019W	NA
42	DMSO	YGR015C	NA
43	DMSO	YGR022C	NA
44	DMSO	YGL005C	NA
45	DMSO	YPL125W	NA
46	DMSO	YOR382W	NA
47	DMSO	YOL041C	NA
48	DMSO	YKL081W	NA
49	DMSO	YJR118C	NA
50	DMSO	YDL136W	NA
51	DMSO	YHR134W	NA
52	DMSO	YNL003C	NA
53	DMSO	YFL025C	NA
54	DMSO	YGL017W	NA
55	DMSO	YDR006C	NA
56	DMSO	YML001W	NA
57	DMSO	YBR018C	NA
58	DMSO	YBL072C	NA
59	DMSO	YGR148C	NA
60	DMSO	YMR021C	NA
61	DMSO	YBR005W	NA
62	DMSO	YDL006W	NA
63	DMSO	YKL040C	NA
64	DMSO	YLR435W	NA
65	DMSO	YLR374C	NA
66	DMSO	YGL027C	NA
67	DMSO	YGR263C	NA
68	DMSO	YLL047W	NA
69	DMSO	YPL172C	NA
70	DMSO	YKL149C	NA
71	DMSO	YOR058C	NA
72	DMSO	YDL002C	NA
73	DMSO	YPL101W	NA
74	DMSO	YDL119C	NA
75	DMSO	YGL154C	NA
76	DMSO	YPR173C	NA
77	DMSO	YGR101W	NA
78	DMSO	YDR004W	NA
79	DMSO	YDL083C	NA
80	DMSO	YDL218W	NA
81	DMSO	YJR054W	NA
82	DMSO	YCR028C-A	NA
83	DMSO	YGL015C	NA
84	DMSO	YHR018C	NA
85	DMSO	YNL081C	NA
86	DMSO	YPR191W	NA
87	DMSO	YKR024C	NA
88	DMSO	YDR276C	NA
89	DMSO	YOL095C	NA
90	DMSO	YGR032W	NA
91	DMSO	YGL194C	NA
92	DMSO	YJR059W	NA
93	DMSO	YML063W	NA
94	DMSO	YOR125C	NA
95	DMSO	YGL009C	NA
96	DMSO	YMR016C	NA
97	DMSO	YOR377W	NA
98	DMSO	YDR174W	NA
99	DMSO	YDR289C	NA
100	DMSO	YNR041C	NA
101	DMSO	YDR393W	NA
102	DMSO	YIL020C	NA
103	DMSO	YJL046W	NA
104	DMSO	YGR188C	NA
105	DMSO	YGL010W	NA
106	DMSO	YFL001W	NA
107	DMSO	YKR057W	NA
108	DMSO	YOR221C	NA
109	DMSO	YPL102C	NA
110	DMSO	YLR239C	NA
111	DMSO	YJL101C	NA
112	DMSO	YDL001W	NA
113	DMSO	YGL195W	NA
114	DMSO	YPL178W	NA
115	DMSO	YBL005W	NA
116	DMSO	YOR106W	NA
117	DMSO	YKL212W	NA
118	DMSO	YMR060C	NA
119	DMSO	YGL084C	NA
120	DMSO	YLR315W	NA
