Inhibitor	Significant_up_deletions	Significant_down_deletions
1	FeruloylAmide	YBR115C	YGL054C
2	FeruloylAmide	YDR006C	YHL031C
3	FeruloylAmide	YGL005C	YMR274C
4	FeruloylAmide	YHR018C	YIL160C
5	FeruloylAmide	YBR005W	YAL026C
6	FeruloylAmide	YDL013W	YPR119W
7	FeruloylAmide	YJL071W	YDL119C
8	FeruloylAmide	YDR276C	YML003W
9	FeruloylAmide	YOL095C	YIL079C
10	FeruloylAmide	YBR266C	YAL024C
11	FeruloylAmide	YPR191W	YML124C
12	FeruloylAmide	YDL002C	YLL057C
13	FeruloylAmide	YPR173C	YCR053W
14	FeruloylAmide	YNR041C	YIL066C
15	FeruloylAmide	YML001W	YCL010C
16	FeruloylAmide	YNL081C	YMR111C
17	FeruloylAmide	YDR393W	YBR164C
18	FeruloylAmide	YDL006W	YLR385C
19	FeruloylAmide	YDR019C	YIL107C
20	FeruloylAmide	YGL009C	YMR255W
21	FeruloylAmide	YGL105W	YDR485C
22	FeruloylAmide	YGR032W	YJL004C
23	FeruloylAmide	YMR143W	YOL116W
24	FeruloylAmide	YDL001W	YAL011W
25	FeruloylAmide	YIL094C	YBR270C
26	FeruloylAmide	YKL124W	YJR140C
27	FeruloylAmide	YDR007W	YBR239C
28	FeruloylAmide	YGL017W	YDR074W
29	FeruloylAmide	YGR101W	YML033W
30	FeruloylAmide	YGR022C	YIL161W
31	FeruloylAmide	YGL010W	YGL177W
32	FeruloylAmide	YIL020C	YLR006C
33	FeruloylAmide	YCR028C-A	YOL012C
34	FeruloylAmide	YPL178W	YNR031C
35	FeruloylAmide	YNL273W	YDL215C
36	FeruloylAmide	YBL005W	YBR209W
37	FeruloylAmide	YDL012C	YNL049C
38	FeruloylAmide	YLR239C	YCL011C
39	FeruloylAmide	YEL063C	YIL055C
40	FeruloylAmide	YDR004W	YLR049C
41	FeruloylAmide	YNL003C	YGR026W
42	FeruloylAmide	YLR420W	YLR381W
43	FeruloylAmide	YGL154C	YBR231C
44	FeruloylAmide	YER177W	YCR095C
45	FeruloylAmide	YJL046W	YER062C
46	FeruloylAmide	YGL004C	YHR025W
47	FeruloylAmide	YCR071C	YLR349W
48	FeruloylAmide	YDR126W	YML097C
49	FeruloylAmide	YOR125C	YER167W
50	FeruloylAmide	YGL007W	YJL057C
51	FeruloylAmide	YBR248C	YML048W
52	FeruloylAmide	YOR182C	YPL051W
53	FeruloylAmide	YGR040W	YLR102C
54	FeruloylAmide	YLR176C	YNL027W
55	FeruloylAmide	YGR089W	YGL244W
56	FeruloylAmide	YDR024W	YDR334W
57	FeruloylAmide	YBL051C	YOL047C
58	FeruloylAmide	YBR113W	YGL215W
59	FeruloylAmide	YBL017C	YLR085C
60	FeruloylAmide	YGL027C	YDR108W
61	FeruloylAmide	YER151C	YKL050C
62	FeruloylAmide	YBL089W	YJR043C
63	FeruloylAmide	YDR014W	YBR205W
64	FeruloylAmide	YER074W	YHR200W
65	FeruloylAmide	YOR221C	YJR073C
66	FeruloylAmide	YMR092C	YDL155W
67	FeruloylAmide	YDL077C	YCR010C
68	FeruloylAmide	YHR021C	YLR252W
69	FeruloylAmide	YDR174W	YOR038C
70	FeruloylAmide	YML129C	YML071C
71	FeruloylAmide	YDR001C	YML022W
72	FeruloylAmide	YGR017W	YMR226C
73	FeruloylAmide	YPL095C	YLR234W
74	FeruloylAmide	YGL136C	YPL105C
75	FeruloylAmide	YDR146C	NA
76	FeruloylAmide	YDL011C	NA
77	FeruloylAmide	YMR269W	NA
78	FeruloylAmide	YFL047W	NA
79	FeruloylAmide	YDR009W	NA
80	FeruloylAmide	YDR049W	NA
81	FeruloylAmide	YDL018C	NA
82	FeruloylAmide	YHR081W	NA
83	FeruloylAmide	YGR184C	NA
84	FeruloylAmide	YDR005C	NA
85	FeruloylAmide	YBR289W	NA
86	FeruloylAmide	YDR018C	NA
87	FeruloylAmide	YDR026C	NA
88	FeruloylAmide	YBR267W	NA
89	FeruloylAmide	YDL083C	NA
90	FeruloylAmide	YDL020C	NA
91	FeruloylAmide	YGR055W	NA
92	FeruloylAmide	YJR118C	NA
93	FeruloylAmide	YML121W	NA
94	FeruloylAmide	YBL009W	NA
95	FeruloylAmide	YJL101C	NA
96	FeruloylAmide	YDR202C	NA
97	FeruloylAmide	YOR209C	NA
98	FeruloylAmide	YBR084C-A	NA
99	FeruloylAmide	YBR009C	NA
100	FeruloylAmide	YOL029C	NA
