Inhibitor	Significant_up_deletions	Significant_down_deletions
1	Isobutanol	YMR216C	YER090W
2	Isobutanol	YML103C	YHL031C
3	Isobutanol	YOL050C	YIL160C
4	Isobutanol	YBR291C	YCR076C
5	Isobutanol	YJL120W	YOL116W
6	Isobutanol	YLL045C	YOL124C
7	Isobutanol	YML128C	YGL244W
8	Isobutanol	YNL147W	YDR354W
9	Isobutanol	YHR004C	YPR119W
10	Isobutanol	YMR039C	YML111W
11	Isobutanol	NA	YMR312W
12	Isobutanol	NA	YGL023C
13	Isobutanol	NA	YKL110C
14	Isobutanol	NA	YCR088W
15	Isobutanol	NA	YKL211C
16	Isobutanol	NA	YDR162C
17	Isobutanol	NA	YFL001W
18	Isobutanol	NA	YML003W
19	Isobutanol	NA	YAL059W
20	Isobutanol	NA	YDR058C
21	Isobutanol	NA	YER178W
22	Isobutanol	NA	YBL051C
23	Isobutanol	NA	YHR034C
24	Isobutanol	NA	YLL025W
25	Isobutanol	NA	YDR033W
26	Isobutanol	NA	YCL029C
27	Isobutanol	NA	YGR058W
28	Isobutanol	NA	YBR205W
29	Isobutanol	NA	YLR182W
30	Isobutanol	NA	YDR455C
31	Isobutanol	NA	YER155C
32	Isobutanol	NA	YGL027C
33	Isobutanol	NA	YBR134W
34	Isobutanol	NA	YMR183C
35	Isobutanol	NA	YNL098C
36	Isobutanol	NA	YAL024C
37	Isobutanol	NA	YJR137C
38	Isobutanol	NA	YLR021W
39	Isobutanol	NA	YNL140C
40	Isobutanol	NA	YOR091W
41	Isobutanol	NA	YGL043W
42	Isobutanol	NA	YOL035C
43	Isobutanol	NA	YAL010C
44	Isobutanol	NA	YMR036C
45	Isobutanol	NA	YOL129W
46	Isobutanol	NA	YFL031W
47	Isobutanol	NA	YDR074W
48	Isobutanol	NA	YGR078C
49	Isobutanol	NA	YDR101C
50	Isobutanol	NA	YGR200C
51	Isobutanol	NA	YDR424C
52	Isobutanol	NA	YIL012W
53	Isobutanol	NA	YBL064C
54	Isobutanol	NA	YDR503C
55	Isobutanol	NA	YKL048C
56	Isobutanol	NA	YMR226C
57	Isobutanol	NA	YKL008C
58	Isobutanol	NA	YCL063W
59	Isobutanol	NA	YCR060W
60	Isobutanol	NA	YIL076W
61	Isobutanol	NA	YNL307C
62	Isobutanol	NA	YGL219C
63	Isobutanol	NA	YML121W
64	Isobutanol	NA	YOL112W
65	Isobutanol	NA	YLR292C
66	Isobutanol	NA	YGR170W
67	Isobutanol	NA	YJR066W
68	Isobutanol	NA	YMR241W
69	Isobutanol	NA	YPL155C
70	Isobutanol	NA	YJR073C
71	Isobutanol	NA	YGR092W
72	Isobutanol	NA	YLR386W
73	Isobutanol	NA	YDR207C
74	Isobutanol	NA	YLR102C
75	Isobutanol	NA	YJR145C
76	Isobutanol	NA	YGR157W
77	Isobutanol	NA	YLR217W
78	Isobutanol	NA	YGL211W
79	Isobutanol	NA	YOR067C
80	Isobutanol	NA	YDR452W
81	Isobutanol	NA	YKL101W
82	Isobutanol	NA	YNL167C
83	Isobutanol	NA	YLR373C
84	Isobutanol	NA	YLR125W
85	Isobutanol	NA	YER016W
86	Isobutanol	NA	YDR326C
87	Isobutanol	NA	YNL153C
88	Isobutanol	NA	YDR497C
89	Isobutanol	NA	YIL098C
90	Isobutanol	NA	YEL061C
91	Isobutanol	NA	YKL006W
92	Isobutanol	NA	YJR054W
93	Isobutanol	NA	YLR315W
94	Isobutanol	NA	YER139C
95	Isobutanol	NA	YEL011W
96	Isobutanol	NA	YDR293C
97	Isobutanol	NA	YOR058C
98	Isobutanol	NA	YLR184W
99	Isobutanol	NA	YAL013W
100	Isobutanol	NA	YPL105C
101	Isobutanol	NA	YKR007W
102	Isobutanol	NA	YBR200W
103	Isobutanol	NA	YGR019W
104	Isobutanol	NA	YDL074C
105	Isobutanol	NA	YIL134W
106	Isobutanol	NA	YOR338W
107	Isobutanol	NA	YNL064C
108	Isobutanol	NA	YDR127W
109	Isobutanol	NA	YDR222W
110	Isobutanol	NA	YNL293W
111	Isobutanol	NA	YGR163W
112	Isobutanol	NA	YGL148W
113	Isobutanol	NA	YDL119C
114	Isobutanol	NA	YHL025W
115	Isobutanol	NA	YLR413W
116	Isobutanol	NA	YNL242W
117	Isobutanol	NA	YPL101W
118	Isobutanol	NA	YER111C
119	Isobutanol	NA	YDR252W
120	Isobutanol	NA	YNL198C
121	Isobutanol	NA	YPL066W
122	Isobutanol	NA	YGL020C
123	Isobutanol	NA	YGR224W
124	Isobutanol	NA	YDR093W
125	Isobutanol	NA	YLR262C
126	Isobutanol	NA	YBR016W
127	Isobutanol	NA	YMR282C
128	Isobutanol	NA	YNL020C
129	Isobutanol	NA	YAR003W
130	Isobutanol	NA	YLR216C
131	Isobutanol	NA	YPL026C
132	Isobutanol	NA	YDL219W
133	Isobutanol	NA	YGR136W
134	Isobutanol	NA	YPL161C
135	Isobutanol	NA	YCR079W
136	Isobutanol	NA	YDR120C
137	Isobutanol	NA	YFL032W
138	Isobutanol	NA	YML016C
139	Isobutanol	NA	YDR083W
140	Isobutanol	NA	YJR120W
141	Isobutanol	NA	YCR082W
142	Isobutanol	NA	YPL152W
143	Isobutanol	NA	YDR309C
144	Isobutanol	NA	YPL180W
145	Isobutanol	NA	YGR149W
146	Isobutanol	NA	YOR059C
147	Isobutanol	NA	YGR055W
148	Isobutanol	NA	YPL055C
149	Isobutanol	NA	YLR405W
150	Isobutanol	NA	YHR180W
