Inhibitor	Significant_up_deletions	Significant_down_deletions
1	Methylglyoxal	YMR021C	YDR272W
2	Methylglyoxal	YLR426W	YML131W
3	Methylglyoxal	YIL128W	YPR189W
4	Methylglyoxal	YLL045C	YBR162W-A
5	Methylglyoxal	YML071C	YMR232W
6	Methylglyoxal	YEL042W	YOL092W
7	Methylglyoxal	YOL068C	YGL007W
8	Methylglyoxal	YJL120W	YBR258C
9	Methylglyoxal	YLR412W	YGR157W
10	Methylglyoxal	YBR250W	YNL323W
11	Methylglyoxal	YDR310C	YGL217C
12	Methylglyoxal	YNL242W	YKR023W
13	Methylglyoxal	YOL112W	YLR032W
14	Methylglyoxal	YGR224W	YNL094W
15	Methylglyoxal	YCR034W	YGL213C
16	Methylglyoxal	YBR161W	YBR164C
17	Methylglyoxal	YOL083W	YLR049C
18	Methylglyoxal	YGL147C	YOR059C
19	Methylglyoxal	YIL098C	YBR290W
20	Methylglyoxal	YDR293C	YDR049W
21	Methylglyoxal	YLR372W	YOR131C
22	Methylglyoxal	YER091C	YOR001W
23	Methylglyoxal	YBR016W	YLR398C
24	Methylglyoxal	YDR503C	YBR006W
25	Methylglyoxal	YMR060C	YKL090W
26	Methylglyoxal	NA	YML035C-A
27	Methylglyoxal	NA	YHL039W
28	Methylglyoxal	NA	YJL101C
29	Methylglyoxal	NA	YGL214W
30	Methylglyoxal	NA	YLR234W
31	Methylglyoxal	NA	YLR380W
32	Methylglyoxal	NA	YMR190C
33	Methylglyoxal	NA	YGL087C
34	Methylglyoxal	NA	YGL114W
35	Methylglyoxal	NA	YJR087W
36	Methylglyoxal	NA	YOR307C
37	Methylglyoxal	NA	YJL092W
38	Methylglyoxal	NA	YGR170W
39	Methylglyoxal	NA	YML007W
40	Methylglyoxal	NA	YBR104W
41	Methylglyoxal	NA	YPL168W
42	Methylglyoxal	NA	YGL166W
43	Methylglyoxal	NA	YCL069W
44	Methylglyoxal	NA	YER056C-A
45	Methylglyoxal	NA	YBR086C
46	Methylglyoxal	NA	YDL155W
47	Methylglyoxal	NA	YML013C-A
48	Methylglyoxal	NA	YDR007W
49	Methylglyoxal	NA	YGL165C
50	Methylglyoxal	NA	YCR059C
51	Methylglyoxal	NA	YIL152W
52	Methylglyoxal	NA	YJR054W
53	Methylglyoxal	NA	YBR025C
54	Methylglyoxal	NA	YGL115W
55	Methylglyoxal	NA	YDR257C
56	Methylglyoxal	NA	YMR016C
57	Methylglyoxal	NA	YGR206W
58	Methylglyoxal	NA	YIR033W
59	Methylglyoxal	NA	YFL025C
60	Methylglyoxal	NA	YGL163C
61	Methylglyoxal	NA	YHR025W
62	Methylglyoxal	NA	YCR053W
63	Methylglyoxal	NA	YDR048C
64	Methylglyoxal	NA	YOR298C-A
65	Methylglyoxal	NA	YOR138C
66	Methylglyoxal	NA	YOL003C
67	Methylglyoxal	NA	YDR004W
68	Methylglyoxal	NA	YDR477W
69	Methylglyoxal	NA	YGR022C
70	Methylglyoxal	NA	YJL071W
71	Methylglyoxal	NA	YML032C
72	Methylglyoxal	NA	YKR097W
73	Methylglyoxal	NA	YDR076W
74	Methylglyoxal	NA	YNL293W
75	Methylglyoxal	NA	YLR239C
76	Methylglyoxal	NA	YMR202W
77	Methylglyoxal	NA	YJR073C
78	Methylglyoxal	NA	YNL001W
79	Methylglyoxal	NA	YOR076C
